abbreviation,equation,direction,officialName,geneAssociation,subsystem,reaction_ID,Enzyme,Genes
"5,10-Methylenetetrahydromethanopterin reductase","5,10-Methylenetetrahydromethanopterin + Reduced coenzyme F420 <=> 5-Methyl-5,6,7,8-tetrahydromethanopterin + Coenzyme F420",Bidirectional,1.5.98.2,K00320,Methanogenesis  with CO2,R04464,Mer,mer
Methylenetetrahydrofolate dehydrogenase (NADP+),"5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",Bidirectional,1.5.1.5,"K00300, K10714",Methanogenesis  with CO2,R01220,"MtdA, MtdB","mtdA, mtdB"
Coenzyme F420 hydrogenase,Coenzyme F420 + Hydrogen <=> Reduced coenzyme F420,Bidirectional,1.12.98.1,"K00440, K00441, K00442, K00443",Methanogenesis  with CO2,R03025,"FrhA, FrhB, FrhD, FrhG","frhA, frhB, frhD, frhG"
Tetrahydromethanopterin S-methyltransferase,"5-Methyl-5,6,7,8-tetrahydromethanopterin + Coenzyme M + 2 Na+[side 1] <=> 5,6,7,8-Tetrahydromethanopterin + 2-(Methylthio)ethanesulfonate + 2 Na+[side 2]",Bidirectional,7.2.1.4,"K00577, K00578, K00579, K00580, K00581, K00582, K00583, K00584",Methanogenesis  with CO2,R04347,"MtrA, MtrB, MtrC, MtrD, MtrE, MtrE, MtrF, MtrG, MtrH","mtrA, mtrB, mtrC, mtrD, mtrE, mtrE, mtrF, mtrG, mtrH"
Methyl-Coenzyme_M reductase,Coenzyme B + 2-(Methylthio)ethanesulfonate <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + Methane,Bidirectional,2.8.4.1,"K00399, K00401, K00402",Methanogenesis  with CO2,R04541,"McrA, McrB, McrG","mcrA, mcrB, mcrG"
Ferredoxin:CoB-CoM heterodisulfide reductase,Coenzyme B + Coenzyme M + 2 Oxidized ferredoxin <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Reduced ferredoxin + 2 H+,Bidirectional,"1.8.7.3, 1.8.98.4, 1.8.98.5, 1.8.98.6","K03388, K03389, K03390",Methanogenesis  with CO2,R11931,"HdrA2, HdrB2, HdrC2","hdrA2, hdrB2, hdrC2"
Ferredoxin:CoB-CoM heterodisulfide reductase,Coenzyme B + Coenzyme M + 2 Oxidized ferredoxin <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Reduced ferredoxin + 2 H+,Bidirectional,1.8.7.3,"K22480, K22481, K22482",Methanogenesis  with CO2,R11931,"HdrA1, HdrB1, HdrC1","hdrA1, hdrB1, hdrC1"
Dihydromethanophenazine:CoB-CoM heterodisulfide reductase,Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + Dihydromethanophenazine <=> Coenzyme B + Coenzyme M + Methanophenazine,Bidirectional,1.8.98.1,"K08264, K08265",Methanogenesis  with CO2,R04540,"HrdD, HrdE","hrdD, hrdE"
"Coenzyme F420:CoB-CoM heterodisulfide,ferredoxin reductase",Coenzyme B + Coenzyme M + 2 Coenzyme F420 + 2 Reduced ferredoxin + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Reduced coenzyme F420 + 2 Oxidized ferredoxin,Bidirectional,1.8.98.4,"K03388, K03389, K03390",Methanogenesis  with CO2,R11928,"HdrA2, HdrB2, HdrC2","hdrA2, hdrB2, hdrC2"
"H2:CoB-CoM heterodisulfide,ferredoxin reductase",Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Hydrogen,Bidirectional,1.8.98.5,"K03388, K03389, K03390, K14126, K14127, K14128",Methanogenesis  with CO2,R11943 ,"HdrA2, HdrB2, HdrC2, MvhA, MvhD, MvhG","hdrA2, hdrB2, hdrC2, mvhA, mvhD, mvhG"
"Formate:CoB-CoM heterodisulfide,ferredoxin reductase",Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate,Bidirectional,1.8.98.6,"K00125, K03388, K03389, K03390, K14126, K14127, K22516",Methanogenesis  with CO2,R11944,"FdhB, HdrA2, HdrB2, HdrC2, MvhD, FdhA","fdhB, hdrA2, hdrB2, hdrC2, mvhD, fdhA"
[Methyl-Co_III_ methanol-specific corrinoid protein]---Coenzyme_M methyltransferase,Methanol + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + H2O,Bidirectional,"2.1.1.246, 2.1.1.377","K14080, K04480, K14081",Methanogenesis with methanol,R09098,"MtaA, MtaB, MtaC","mtaA, mtaB, mtaC"
Acetate kinase,ATP + Acetate <=> ADP + Acetyl phosphate,Bidirectional,2.7.2.1 ,K00925,Methanogenesis with acetate,R00315,AckA,ackA
Phosphate acetyltransferase,Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate,Bidirectional,2.3.1.8,K00625,Methanogenesis with acetate,R00230,Pta,pta
Acetate---CoA ligase,ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA,Bidirectional,6.2.1.1,K01895,Methanogenesis with acetate,R00235,ACSS1_2,ACSS1_2
CO-methylating acetyl-CoA synthase,"Acetyl-CoA + 5,6,7,8-Tetrahydromethanopterin <=> CoA + 5-Methyl-5,6,7,8-tetrahydromethanopterin + CO",Bidirectional,2.1.1.245,K00193,Methanogenesis with acetate,R09096,"CdhC, CdhE, CdhD","cdhC, cdhE, cdhD"
Anaerobic carbon monoxide dehydrogenase,CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+,Bidirectional,1.2.7.4,"K00192, K00195, K00196, K00198",Methanogenesis with acetate,R07157,"CdhA, CdhB, CooF, CooS","cdhA, cdhB, cooF, cooS"
Methylamine---corrinoid protein Co-methyltransferase,Methylamine + Coenzyme M <=> Ammonia + 2-(Methylthio)ethanesulfonate,Bidirectional,"2.1.1.247, 2.1.1.248",K14082,Methanogenesis with methyamines,R09998,MtbA,mtbA
Methylamine---corrinoid protein Co-methyltransferase,Methylamine + Coenzyme M <=> Ammonia + 2-(Methylthio)ethanesulfonate,Bidirectional,"2.1.1.247, 2.1.1.248","K16177, K16176",Methanogenesis with methyamines,R09998,"mtmC, mtmB","mtmC, mtmB"
Dimethylamine---corrinoid protein Co-methyltransferase,Dimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Methylamine,Bidirectional,"2.1.1.247, 2.1.1.249",K14082,Methanogenesis with methyamines,R09999,MtbA,mtbA
Dimethylamine---corrinoid protein Co-methyltransferase,Dimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Methylamine,Bidirectional,"2.1.1.247, 2.1.1.249","K16179, K16178",Methanogenesis with methyamines,R09999,"MtbC, MtbB","mtbC, mtbB"
Trimethylamine---corrinoid protein Co-methyltransferase,Trimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Dimethylamine,Bidirectional,"2.1.1.247, 2.1.1.250",K14082,Methanogenesis with methyamines,R09124,MtbA,mtbA
Trimethylamine---corrinoid protein Co-methyltransferase,Trimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Dimethylamine,Bidirectional,"2.1.1.247, 2.1.1.250","K14084, K14083",Methanogenesis with methyamines,R09124,"MttC, MttB","mttC, mttB"
