Phylum,Class,Order,Family,Genus,Species
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Faecalicatena,contorta
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,fermentans
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,histaminiformans
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,flavefaciens
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,schinkii
Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,NA
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,ruminantium
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,albus
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parafannyhessea,umbonata
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,ruminantium
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Kandleria,vitulina
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio,lipolyticus
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,gallolyticus
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,necrophorum
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,mirabilis
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Sharpea,azabuensis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,NA,NA
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,fibrisolvens
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,cadaveris
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Sarcina,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,xylanivorans
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,NA
Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptostreptococcus,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,NA,NA
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,ruminantium
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,mirabilis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,NA
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Basfia,succiniciproducens
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,thermophilum
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,ruminantium
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,gallolyticus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnobacterium,bovis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,aerotolerans
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,pseudolongum
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,clostridioformis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,hungatei
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,ruminantium
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,acnes
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Acetitomaculum,ruminis
Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,ruminantium
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,jalaludinii
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,NA
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Ruminobacter,amylophilus
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,plantarum
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,ruminis
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,mucosae
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,bovis
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,gallinarum
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,ruminis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,gallolyticus
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Kandleria,vitulina
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Denitrobacterium,detoxificans
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,fibrisolvens
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,flavefaciens
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,lundense
Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptostreptococcus,anaerobius
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,ruminis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parafannyhessea,umbonata
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Bowdeniella,nasicola
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Basfia,succiniciproducens
Actinomycetota,Actinomycetes,Micrococcales,NA,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,bryantii
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,flavefaciens
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,elsdenii
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Faecalicatena,orotica
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,wexlerae
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succiniclasticum,ruminis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,ruminicola
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,pyruvativorans
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,epidermidis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Kandleria,vitulina
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,ruminantium
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,garvieae
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,succinogenes
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,NA,NA
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,ruminantium
Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,longicatena
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,citroniae
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,mucosae
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,ruminantium
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,polysaccharolyticum
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,paraputrificum
Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,hungatei
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,denticolens
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,legallii
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,bryantii
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,NA,NA
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,brevis
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,ruminicola
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,oxidoreducens
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,casseliflavus
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,ruminantium
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira,multipara
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,coli
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptostreptococcus,russellii
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,mucosae
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,sonnei
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,epidermidis
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,butyricum
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,brevis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,aminophilum
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,ruminantium
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,proteoclasticus
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Proteiniclasticum,ruminis
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,acidilactici
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,flavefaciens
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,fibrisolvens
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,proteoclasticus
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,NA
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,xylanisolvens
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,fermentans
Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,ruminantium
Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,cereus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,elsdenii
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,proteoclasticus
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,ruminis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,ruminantium
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira,multipara
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira,pectinoschiza
Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,bryantii
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,ruminantium
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron
Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,NA,NA
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,ruminis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides,mangenotii
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,licheniformis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,NA
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,vulgatus
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,longum
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,cadaveris
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,faecalis
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnobacterium,bovis
Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,vitaeruminis
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,albus
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira,multipara
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,ruminantium
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,bromii
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,beijerinckii
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,innocuum
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Ruminobacter,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnobacterium,bovis
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,algidicarnis
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Sharpea,azabuensis
Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,bryantii
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,NA,NA
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,pyruvativorans
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,breve
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,ruminicola
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,cochlearium
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,pseudolongum
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,xylanisolvens
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,clostridioformis
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Kandleria,vitulina
Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,NA
Bacillota,Clostridia,Eubacteriales,NA,NA,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,fibrisolvens
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,NA
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Sharpea,azabuensis
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,faecalis
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,NA
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,flavefaciens
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,NA,NA
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,NA
Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,bryantii
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,gallolyticus
