Taxonomy
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae 1; g__Aeribacillus
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Proteus
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Dialister
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Butyricicoccus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospiracea_incertae_sedis
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Facklamia
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Clostridium sensu stricto
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelotrichaceae_incertae_sedis
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Clostridium IV
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__Gordonibacter
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__?
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia/Shigella
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Clostridium sensu stricto
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Veillonella
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__?
k__Bacteria; p__Firmicutes; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium
k__Bacteria; p__Firmicutes; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Chryseobacterium
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium XVIII
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Butyricimonas
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Clostridium IV
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Azospirillum
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia/Shigella
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__Peredibacter
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Chryseobacterium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Megamonas
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales_Incertae Sedis XI; g__Parvimonas
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__?
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium XlVa
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Clostridium XI
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Saprospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Candidatus Saccharibacteria; c__Saccharibacteria_genera_incertae_sedis; o__Saccharibacteria_genera_incertae_sedis; f__Saccharibacteria_genera_incertae_sedis; g__Saccharibacteria_genera_incertae_sedis
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Anaeroglobus
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Megasphaera
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospiracea_incertae_sedis
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Clostridium sensu stricto
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingopyxis
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__?; g__?
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae; g__Pyramidobacter
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Veillonella
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia/Shigella
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium XVIII
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillibacter
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelotrichaceae_incertae_sedis
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium XlVb
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiales_incertae_sedis; g__Tepidimonas
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__Gordonibacter
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Clostridium IV
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales_Incertae Sedis XI; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae; g__Janibacter
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Allisonella
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__?
k__Bacteria; p__Bacteroidetes; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Acholeplasmatales; f__Acholeplasmataceae; g__Acholeplasma
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus
k__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Proteus
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium XVIII
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Proteiniclasticum
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Clostridium sensu stricto
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia
k__Bacteria; p__Bacteroidetes; c__?; o__?; f__?; g__?
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales_Incertae Sedis XIII; g__Mogibacterium
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae 1; g__Peptococcus
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__?; g__?
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanosphaera
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Marinobacter
k__Bacteria; p__Firmicutes; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Ruminococcus2
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__?; c__?; o__?; f__?; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__?
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__?; g__?
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus
