ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Salt conc."
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,1,"Achromobacter ruhlandii",Achromobacter,ruhlandii,0-6
,,,,,,,,10
,,,,,,,,8
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,1,"Achromobacter spanius",Achromobacter,spanius,0-4
,,,,,,,,10
,,,,,,,,6
,,,,,,,,8
168915,,"LMG 30378, CCUG 71558",1,1,"Achromobacter veterisilvae",Achromobacter,veterisilvae,1.0-7.0
,,,,,,,,8.0-10.0
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,1,"Acidibrevibacterium fodinaquatile",Acidibrevibacterium,fodinaquatile,1
133383,SK-11,"DSM 100508, NBRC 111227",1,1,"Acidicapsa acidisoli",Acidicapsa,acidisoli,0.0-0.1
,,,,,,,,0.0-0.4
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,1,"Acidicapsa borealis",Acidicapsa,borealis,>2.0
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,1,"Acidicapsa dinghuensis",Acidicapsa,dinghuensis,0-1
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,1,"Acidicapsa ligni",Acidicapsa,ligni,<2.0
6149,V6,"DSM 14174, JCM 32253",1,1,"Acidihalobacter aeolianus",Acidihalobacter,aeolianus,0.06-1-283
,,,,,,,,0.428
24820,V8,"DSM 14175, JCM 32254",1,1,"Acidihalobacter ferrooxydans",Acidihalobacter,ferrooxydans,0.06-0.856
,,,,,,,,0.428
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,1,"Acidimangrovimonas sediminis",Acidimangrovimonas,sediminis,0.5-10.0
,,,,,,,,4
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,1,"Acidiphilium cryptum",Acidiphilium,cryptum,3
,,,,,,,,7
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,1,"Silvibacterium dinghuense",Silvibacterium,dinghuense,0-1
158421,JS278,"DSM 106790, VTT E-113202",1,1,"Acidipropionibacterium virtanenii",Acidipropionibacterium,virtanenii,0
,,,,,,,,0-1.1
,,,,,,,,6.5
82,TPB606,"DSM 21000, VKM B-2487",1,1,"Acidisoma sibiricum",Acidisoma,sibiricum,>2.5
81,WM1,"DSM 19999, VKM B-2488",1,1,"Acidisoma tundrae",Acidisoma,tundrae,>1.5
133033,PMMR2,"DSM 27394, LMG 28340",1,1,"Acidobacterium ailaaui",Acidobacterium,ailaaui,1
2900,P1G31,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,1,"Acidovorax anthurii",Acidovorax,anthurii,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,1,"Acidovorax avenae",Acidovorax,avenae,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
2903,R-24608,"DSM 19327, LMG 24103",1,1,"Acidovorax caeni",Acidovorax,caeni,0.5-2
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,1,"Acidovorax cattleyae",Acidovorax,cattleyae,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
2898,,"DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,1,"Acidovorax defluvii",Acidovorax,defluvii,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
2885,"133, FD-6","CCUG 1779, LMG 5943, DSM 64, ATCC 17505, DSM 50263, DSM 50403, CIP 103303, NCIMB 11476",1,1,"Acidovorax delafieldii",Acidovorax,delafieldii,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
2888,,"DSM 649, ATCC 11228, CCUG 2113, LMG 6221, LMG 2193, CCM 4561, CIP 103302, NCIMB 9938",1,1,"Acidovorax facilis",Acidovorax,facilis,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,1,"Acidovorax kalamii",Acidovorax,kalamii,0
,,,,,,,,0-0.5
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,1,"Acidovorax konjaci",Acidovorax,konjaci,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
2905,N35,"DSM 23535, LMG 25767",1,1,"Acidovorax radicis",Acidovorax,radicis,0.0
,,,,,,,,0.0-2.0
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,1,"Acidovorax soli",Acidovorax,soli,0-1
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,1,"Acidovorax temperans",Acidovorax,temperans,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,1,"Acidovorax valerianellae",Acidovorax,valerianellae,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
8093,"2208, 81","DSM 30007, ATCC 19606, CIP 70.34, DSM 6974, JCM 6841, CCUG 19096, CGMCC 1.6769, IAM 12088, KCTC 2508, LMG 1041, LMG 10545, NBRC 109757, NCIMB 12457, NCTC 12156",1,1,"Acinetobacter baumannii",Acinetobacter,baumannii,0-4
,,,,,,,,10
,,,,,,,,6
,,,,,,,,8
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,1,"Acinetobacter baylyi",Acinetobacter,baylyi,0-4
,,,,,,,,10
,,,,,,,,6
,,,,,,,,8
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,1,"Acinetobacter bereziniae",Acinetobacter,bereziniae,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
8131,"4BO2, 4B02","CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,1,"Acinetobacter bouvetii",Acinetobacter,bouvetii,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
8057,,"DSM 30006, ATCC 23055, CIP 81.08, CIP 81.8, LMD 22.16, CCUG 12804, LMG 1046, IFO 13718, Delft L360, JCM 6842, CECT 441, IAM 12087, KCTC 2357, LMG 10511, NBIMCC 3730, NBRC 13718, NCCB 22016, NCIMB 10694, NCTC 12983, VTT E-981117, LMD 98116",1,1,"Acinetobacter calcoaceticus",Acinetobacter,calcoaceticus,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
164592,WCHAc060005,"JCM 33509, CCTCC AB 2019139, GDMCC 1.1622",1,1,"Acinetobacter chengduensis",Acinetobacter,chengduensis,0.5-1.5
,,,,,,,,2.5
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,1,"Acinetobacter defluvii",Acinetobacter,defluvii,0-3
8132,"9AO1, 9A01","DSM 14967, CIP 107464, CCM 7197",1,1,"Acinetobacter gerneri",Acinetobacter,gerneri,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, NCIMB 8250",1,1,"Acinetobacter guillouiae",Acinetobacter,guillouiae,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
8092,2446/60,"DSM 6962, ATCC 17906, CIP 64.3, NCTC 10305, CCUG 888, KCTC 12404, CCM 2358, LMG 996, NCIMB 12458",1,1,"Acinetobacter haemolyticus",Acinetobacter,haemolyticus,0-4
,,,,,,,,10
,,,,,,,,6
,,,,,,,,8
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,1,"Acinetobacter indicus",Acinetobacter,indicus,0-5
,,,,,,,,1
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154, LMG 999, NCIMB 12460",1,1,"Acinetobacter johnsonii",Acinetobacter,johnsonii,0-4
,,,,,,,,10
,,,,,,,,6
,,,,,,,,8
8086,64.5,"DSM 6964, ATCC 17908, NCTC 10307, CCUG 889, KCTC 12406, CIP 64.5, CCM 2376, LMG 998, NCIMB 12459",1,1,"Acinetobacter junii",Acinetobacter,junii,0-4
,,,,,,,,10
,,,,,,,,6
,,,,,,,,8
140631,,"CCUG 68785, NRRL B-41902",1,1,"Acinetobacter lactucae",Acinetobacter,lactucae,5
133403,BRTC-1,"ACCC 19936, JCM 31367",1,1,"Acinetobacter larvae",Acinetobacter,larvae,0
,,,,,,,,0.0-5.0
8139,,"DSM 16617, CCM 7030, CCUG 48866, LMG 21765, NIPH 384, LUH 4616, CIP 108168",1,1,"Acinetobacter parvus",Acinetobacter,parvus,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,1,"Acinetobacter piscicola",Acinetobacter,piscicola,0
,,,,,,,,0-2
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,1,"Acinetobacter pittii",Acinetobacter,pittii,0-4
,,,,,,,,10
,,,,,,,,6
,,,,,,,,8
164465,S23,"JCM 33150, KACC 19921",1,1,"Acinetobacter pullicarnis",Acinetobacter,pullicarnis,0
,,,,,,,,0-2
132918,BQ4-1,"DSM 105039, CFCC 10780, JCM 18011, CCUG 69709, CIP 110585",1,1,"Acinetobacter puyangensis",Acinetobacter,puyangensis,0-3
8096,FO-1,"DSM 6976, ATCC 43998, IAM 13186, CCUG 56440, CIP 103788, LMG 10613, JCM 9326, NBRC 102413, NCIMB 12753",1,1,"Acinetobacter radioresistens",Acinetobacter,radioresistens,0-4
,,,,,,,,10
,,,,,,,,6
,,,,,,,,8
8134,,"DSM 16038, CNCTC 6736, LMG 19576, NIPH 1034, CCUG 45560, KCTC 12409, CIP 107287, LUH 5832",1,1,"Acinetobacter schindleri",Acinetobacter,schindleri,0-4
,,,,,,,,10
,,,,,,,,6
,,,,,,,,8
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,1,"Acinetobacter sichuanensis",Acinetobacter,sichuanensis,0-2
8133,4N13,"DSM 14970, CIP 107469, CCM 7199",1,1,"Acinetobacter tandoii",Acinetobacter,tandoii,0-4
,,,,,,,,10
,,,,,,,,6
,,,,,,,,8
8130,7N16,"DSM 14971, CIP 107465, CCUG 50768, CCM 7200",1,1,"Acinetobacter tjernbergiae",Acinetobacter,tjernbergiae,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
8123,AB1110,"DSM 14962, CIP 107472, CCUG 50769, CCM 7201",1,1,"Acinetobacter towneri",Acinetobacter,towneri,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
8135,,"CCUG 45559, ATCC BAA-617, KCTC 12410, CCM 7024, CIP 107286, DSM 16037, CNCTC 6735, LMG 19575, NIPH 137, LUH 3792",1,1,"Acinetobacter ursingii",Acinetobacter,ursingii,0-4
,,,,,,,,10
,,,,,,,,6
,,,,,,,,8
159758,WCHA60,"CCTCC AB 2016204, GDMCC 1.1100, KCTC 52505",1,1,"Acinetobacter wuhouensis",Acinetobacter,wuhouensis,0-3
16504,"E 90","DSM 43316, ATCC 29331, IFO 13972, NBRC 13972, NCIB 11120, JCM 3181, BCRC 12360, BCRC 16357, IMSNU 20325, KCTC 9431, NCIMB 11120",1,1,"Acrocarpospora corrugata",Acrocarpospora,corrugata,2.5
23319,PS33-18,"DSM 45867, BCC 46906, NBRC 108782",1,1,"Acrocarpospora phusangensis",Acrocarpospora,phusangensis,0
,,,,,,,,0-1
134305,JC2129,"KCTC 12704, JCM 14002",1,1,"Actibacter sediminis",Actibacter,sediminis,01-10
,,,,,,,,2
24522,R46,"DSM 28448, CECT 7668, KCTC 23349",1,1,"Actibacterium mucosum",Actibacterium,mucosum,1.7-5
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,1,"Actibacterium pelagium",Actibacterium,pelagium,0
,,,,,,,,0.5-5.0
,,,,,,,,3
141055,LS-811,"BCRC 80823, JCM 30681",1,1,"Actibacterium ureilyticum",Actibacterium,ureilyticum,1-6
,,,,,,,,3
23336,2614A723,"DSM 45727, CCTCC AA 2012001, JCM 31201",1,1,"Actinoallomurus acanthiterrae",Actinoallomurus,acanthiterrae,0-3.5
,,,,,,,,0-5
17007,TT00-28,"DSM 45447, KCTC 19537, NBRC 103682",1,1,"Actinoallomurus amamiensis",Actinoallomurus,amamiensis,0-2
,,,,,,,,1
132110,A3015,"DSM 45445, KCTC 19535, NBCR 103678, NBRC 103678",1,1,"Actinoallomurus caesius",Actinoallomurus,caesius,0-2
,,,,,,,,1
17008,TT04-09,"DSM 45450, KCTC 19542, NBRC 103688",1,1,"Actinoallomurus coprocola",Actinoallomurus,coprocola,0-3
,,,,,,,,1.5
17010,TT02-47,"DSM 45448, KCTC 19539, NBRC 103685",1,1,"Actinoallomurus iriomotensis",Actinoallomurus,iriomotensis,0-2
,,,,,,,,1
17011,TT02-15,"DSM 45452, KCTC 19538, NBRC 103683",1,1,"Actinoallomurus luridus",Actinoallomurus,luridus,0-2
,,,,,,,,1
17015,,"DSM 45651, BCC 31373, NBRC 105246, GMKU 370, JCM 17933, TBRC 390",1,1,"Actinoallomurus oryzae",Actinoallomurus,oryzae,0-4
,,,,,,,,2.5
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,1,"Actinoallomurus purpureus",Actinoallomurus,purpureus,0-5
,,,,,,,,2.5
17006,"FYU A 116, A-116","DSM 43459, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, IFO 14099, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIB 11118, NRRL B-16128, IMSNU 20015, MTCC 2556, NCIMB 11118, CCRC 13386, BRCC 13386",1,1,"Actinoallomurus spadix",Actinoallomurus,spadix,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,2.5
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
17013,TTN02-22,"DSM 45451, KCTC 19540, NBRC 103686",1,1,"Actinoallomurus yoronensis",Actinoallomurus,yoronensis,0-1
,,,,,,,,0.5
13195,,"DSM 45655, CGMCC 4.5714, NBRC 106685, NEAU 119, JCM 18314",1,1,"Actinoalloteichus nanshanensis",Actinoalloteichus,nanshanensis,5
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194, BCRC 16823, CBS 11706, CIP 109023, NBRC 102582, NCIMB 14384",1,1,"Actinoalloteichus spitiensis",Actinoalloteichus,spitiensis,<2
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,1,"Actinobaculum suis",Actinobaculum,suis,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
135256,101342,"CIP 107936",1,1,"Actinobaculum timonae",Actinobaculum,timonae,0-10
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,1,"Actinocatenispora rupis",Actinocatenispora,rupis,0-4
,,,,,,,,7.1
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,1,"Actinocatenispora thailandica",Actinocatenispora,thailandica,0-7
16912,I-226,"DSM 44360, IFO 15960, JCM 9376, NBRC 15960, IMSNU 22179",1,1,"Actinocorallia glomerata",Actinocorallia,glomerata,0
132532,3H-GS17,"DSM 100595, CGMCC 4.7282, JCM 31763",1,1,"Actinocorallia lasiicapitis",Actinocorallia,lasiicapitis,0-3
16913,I-497,"DSM 44361, CIP 105488, IFO 15961, JCM 9377, NBRC 15961, IMSNU 22180, NCIMB 14385",1,1,"Actinocorallia longicatena",Actinocorallia,longicatena,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
159707,A251,"CGMCC 4.7421, JCM 32178",1,1,"Actinocorallia populi",Actinocorallia,populi,0-3
132668,MI503-A4,"DSM 45934, NBRC 109632",1,1,"Actinocrispum wychmicini",Actinocrispum,wychmicini,0
,,,,,,,,0.0-3.0
140670,R434,"KEMB 9005-403, KACC 18904, JCM 31557",1,1,"Actinokineospora acnipugnans",Actinokineospora,acnipugnans,0
,,,,,,,,3
13511,03-9939,"DSM 45114, CCM 7461, KCTC 19294, JCM 17965, NBRC 106985",1,1,"Actinokineospora alba",Actinokineospora,alba,0-3
13206,"YU 961-1","DSM 44650, IFO 16518, NBRC 16518, JCM 11646, CIP 107896",1,1,"Actinokineospora auranticolor",Actinokineospora,auranticolor,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
13207,"ID 03-0561","DSM 45656, BTCC B554, NBRC 104211",1,1,"Actinokineospora baliensis",Actinokineospora,baliensis,0-1
24443,44EHW,"DSM 46700, BCC 53155, NBRC 108932",1,1,"Actinokineospora bangkokensis",Actinokineospora,bangkokensis,01-03
13209,"ID 03-0810","DSM 45657, BTCC B-558, NBRC 105526",1,1,"Actinokineospora cianjurensis",Actinokineospora,cianjurensis,1
13208,"ID 03-0784","DSM 45658, BTCC B555, NBRC 104212",1,1,"Actinokineospora cibodasensis",Actinokineospora,cibodasensis,1
13199,,"DSM 44255, IFO 15665, JCM 9921, KCTC 9569, MTCC 2687, NBRC 15665, IMSNU 22098, NCIMB 13657, NRRL B-24047, VKM Ac-1984",1,1,"Actinokineospora diospyrosa",Actinokineospora,diospyrosa,2.5
13205,"YU 924-101","DSM 44649, IFO 16517, NBRC 16517, JCM 11647, CIP 107895",1,1,"Actinokineospora enzanensis",Actinokineospora,enzanensis,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
13200,,"DSM 44256, IFO 15664, JCM 9922, KCTC 9570, MTCC 2686, NBRC 15664, NCIMB 13658, NRRL B-24048, VKM Ac-1981",1,1,"Actinokineospora globicatena",Actinokineospora,globicatena,5
13202,,"DSM 44258, IFO 15663, JCM 9923, KCTC 9571, MTCC 2685, NBRC 15663, NCIMB 13659, NRRL B-24050, VKM Ac-1982",1,1,"Actinokineospora inagensis",Actinokineospora,inagensis,10
13203,,"DSM 44259, ATCC 49499, CCRC 13450, IFO 14541, JCM 7471, MTCC 2712, NBRC 14541, NCIMB 13255, NRRL B-16432, BCRC 13450, IMSNU 21272, KACC 20059, KCCM 40232, KCTC 9291, VKM Ac-1980",1,1,"Actinokineospora riparia",Actinokineospora,riparia,0
13210,,"DSM 45613, JCM 17695, YIM 75948, NBRC 111522",1,1,"Actinokineospora soli",Actinokineospora,soli,0-5
,,,,,,,,1
13204,,"DSM 44260, IFO 15668, JCM 9924, KCTC 9572, MTCC 2688, NBRC 15668, IMSNU 22094, NCIMB 13660, NRRL B-24049, VKM Ac-1983",1,1,"Actinokineospora terrae",Actinokineospora,terrae,2.5
132565,ACD12,"DSM 46745, CECT 8842, JCM 31696",1,1,"Actinomadura adrarensis",Actinomadura,adrarensis,0
131551,ACD1,"DSM 46744, CECT 8841",1,1,"Actinomadura algeriensis",Actinomadura,algeriensis,0-2.5
16924,SF2197,"DSM 43919, IFO 14695, JCM 6250, NBRC 14695, CGMCC 4.2100, CIP 107393, HUT 6547, IMSNU 22157, IMSNU 22161, KCTC 9620, MTCC 2560, NCIMB 12618",1,1,"Actinomadura atramentaria",Actinomadura,atramentaria,0-2
,,,,,,,,10
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
16996,3-46-b(3),"DSM 45347, JCM 13933, MTCC 8057",1,1,"Actinomadura bangladeshensis",Actinomadura,bangladeshensis,4
158373,,"DSM 108647, NBRC 113074, TBRC 7225, GKU 128",1,1,"Actinomadura barringtoniae",Actinomadura,barringtoniae,0-5
16988,3.24,"DSM 44772, AS 4.1522, IFO 16341, NBRC 16341, JCM 10667, CGMCC 4.1522, CIP 107903",1,1,"Actinomadura catellatispora",Actinomadura,catellatispora,0
,,,,,,,,10
,,,,,,,,2
,,,,,,,,4
,,,,,,,,6
,,,,,,,,8
16997,3-45-a(11),"DSM 45346, JCM 13932, MTCC 8056",1,1,"Actinomadura chokoriensis",Actinomadura,chokoriensis,7
16926,,"DSM 43675, ATCC 33576, INA 765, JCM 3320, CGMCC 4.1515, IFO 14679, IMET 9580, IMSNU 20002, KCTC 9337, NBRC 14679, VKM Ac-1511",1,1,"Actinomadura coerulea",Actinomadura,coerulea,2.5
158480,LHW63021,"DSM 106125, CCTCC AA 2018015",1,1,"Actinomadura craniellae",Actinomadura,craniellae,0-2.5
,,,,,,,,0-4
16927,,"DSM 43676, ATCC 33577, INA 292, JCM 3308, BCRC 13394, IFO 14182, IMET 9578, IMSNU 22199, NBRC 14182, NRRL B-16605, VKM Ac-912",1,1,"Actinomadura cremea",Actinomadura,cremea,2.5
159889,,"CGMCC 4.7432, KCTC 39998, BMP B8004, JCM 33401",1,1,"Actinomadura deserti",Actinomadura,deserti,0
,,,,,,,,0-4
16980,,"DSM 44224, ATCC 49459, NRRL 18348, JCM 9371, IMSNU 22177",1,1,"Actinomadura fibrosa",Actinomadura,fibrosa,2.5
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,1,"Actinomadura flavalba",Actinomadura,flavalba,0-10
