ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,Antibiotic resistance,Metabolite (antibiotic)
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,1,Achromobacter xylosoxidans,Achromobacter,xylosoxidans,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,1,Acidaminococcus fermentans,Acidaminococcus,fermentans,1,optochin
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,1,Acidicapsa borealis,Acidicapsa,borealis,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,neomycin
,,,,,,,,1,streptomycin
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,1,Acidicapsa dinghuensis,Acidicapsa,dinghuensis,1,Amikacin
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,netilmycin
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,1,Acidicapsa ligni,Acidicapsa,ligni,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,lincomycin
,,,,,,,,1,neomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,streptomycin
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,1,Acidiphilium cryptum,Acidiphilium,cryptum,1,erythromycin
,,,,,,,,1,neomycin
,,,,,,,,1,penicillin
,,,,,,,,1,streptomycin
82,TPB606,"DSM 21000, VKM B-2487",1,1,Acidisoma sibiricum,Acidisoma,sibiricum,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,lincomycin
,,,,,,,,1,neomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,streptomycin
81,WM1,"DSM 19999, VKM B-2488",1,1,Acidisoma tundrae,Acidisoma,tundrae,1,ampicillin
,,,,,,,,1,lincomycin
2900,P1G31,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,1,Acidovorax anthurii,Acidovorax,anthurii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,1,Acidovorax avenae,Acidovorax,avenae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,1,Acidovorax cattleyae,Acidovorax,cattleyae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
2885,"133, FD-6","CCUG 1779, LMG 5943, DSM 64, ATCC 17505, DSM 50263, DSM 50403, CIP 103303, NCIMB 11476",1,1,Acidovorax delafieldii,Acidovorax,delafieldii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,1,Acidovorax temperans,Acidovorax,temperans,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,1,Acidovorax valerianellae,Acidovorax,valerianellae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8093,"2208, 81","DSM 30007, ATCC 19606, CIP 70.34, DSM 6974, JCM 6841, CCUG 19096, CGMCC 1.6769, IAM 12088, KCTC 2508, LMG 1041, LMG 10545, NBRC 109757, NCIMB 12457, NCTC 12156",1,1,Acinetobacter baumannii,Acinetobacter,baumannii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,1,Acinetobacter baylyi,Acinetobacter,baylyi,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,1,Acinetobacter bereziniae,Acinetobacter,bereziniae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8131,"4BO2, 4B02","CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,1,Acinetobacter bouvetii,Acinetobacter,bouvetii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
164592,WCHAc060005,"JCM 33509, CCTCC AB 2019139, GDMCC 1.1622",1,1,Acinetobacter chengduensis,Acinetobacter,chengduensis,1,ciprofloxacin
8132,"9AO1, 9A01","DSM 14967, CIP 107464, CCM 7197",1,1,Acinetobacter gerneri,Acinetobacter,gerneri,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, NCIMB 8250",1,1,Acinetobacter guillouiae,Acinetobacter,guillouiae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8092,2446/60,"DSM 6962, ATCC 17906, CIP 64.3, NCTC 10305, CCUG 888, KCTC 12404, CCM 2358, LMG 996, NCIMB 12458",1,1,Acinetobacter haemolyticus,Acinetobacter,haemolyticus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154, LMG 999, NCIMB 12460",1,1,Acinetobacter johnsonii,Acinetobacter,johnsonii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8086,64.5,"DSM 6964, ATCC 17908, NCTC 10307, CCUG 889, KCTC 12406, CIP 64.5, CCM 2376, LMG 998, NCIMB 12459",1,1,Acinetobacter junii,Acinetobacter,junii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8139,,"DSM 16617, CCM 7030, CCUG 48866, LMG 21765, NIPH 384, LUH 4616, CIP 108168",1,1,Acinetobacter parvus,Acinetobacter,parvus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,1,Acinetobacter pittii,Acinetobacter,pittii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8134,,"DSM 16038, CNCTC 6736, LMG 19576, NIPH 1034, CCUG 45560, KCTC 12409, CIP 107287, LUH 5832",1,1,Acinetobacter schindleri,Acinetobacter,schindleri,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,1,Acinetobacter sichuanensis,Acinetobacter,sichuanensis,1,meropenem
8133,4N13,"DSM 14970, CIP 107469, CCM 7199",1,1,Acinetobacter tandoii,Acinetobacter,tandoii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8130,7N16,"DSM 14971, CIP 107465, CCUG 50768, CCM 7200",1,1,Acinetobacter tjernbergiae,Acinetobacter,tjernbergiae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8123,AB1110,"DSM 14962, CIP 107472, CCUG 50769, CCM 7201",1,1,Acinetobacter towneri,Acinetobacter,towneri,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
8135,,"CCUG 45559, ATCC BAA-617, KCTC 12410, CCM 7024, CIP 107286, DSM 16037, CNCTC 6735, LMG 19575, NIPH 137, LUH 3792",1,1,Acinetobacter ursingii,Acinetobacter,ursingii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,1,Actibacterium pelagium,Actibacterium,pelagium,1,bacitracin
,,,,,,,,1,gentamicin
,,,,,,,,1,nystatin
,,,,,,,,1,streptomycin
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,1,Actinobaculum massiliense,Actinobaculum,massiliense,1,ciprofloxacin
,,,,,,,,1,colistin
,,,,,,,,1,gentamicin
159707,A251,"CGMCC 4.7421, JCM 32178",1,1,Actinocorallia populi,Actinocorallia,populi,1,chloramphenicol
,,,,,,,,1,oxacillin
,,,,,,,,1,penicillin
,,,,,,,,1,piperacillin
13205,YU 924-101,"DSM 44649, IFO 16517, NBRC 16517, JCM 11647, CIP 107895",1,1,Actinokineospora enzanensis,Actinokineospora,enzanensis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
158373,,"DSM 108647, NBRC 113074, TBRC 7225, GKU 128",1,1,Actinomadura barringtoniae,Actinomadura,barringtoniae,1,amphotericin b
,,,,,,,,1,ampicillin
,,,,,,,,1,cycloheximide
,,,,,,,,1,penicillin g
16966,C-36820,"DSM 43997, ATCC 49059, IFO 14204, JCM 7474, NBRC 14204, BCRC 16355, CIP 105595, IFO 15870, IMSNU 22194, KCTC 9647, LMG 29178, NBRC 15870, NCIMB 12773, NRRL B-16984, VKM Ac-1954",1,1,Actinomadura formosensis,Actinomadura,formosensis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
16987,80-60,"DSM 44770, AS 4.1202, CIP 107902, DSM 43891, IFO 14668, JCM 6161, NBRC 14668, VKM Ac-1273, CGMCC 4.1202",1,1,Actinomadura glauciflava,Actinomadura,glauciflava,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
16932,"FD 25934, A-0287","DSM 43862, ATCC 31286, IFO 14102, IMET 9754, JCM 3287, KCC A-0287, NBRC 14102, BCC 49509, BCRC 13378, CGMCC 4.1513, CIP 105532, IMSNU 22164, KCTC 9342, MTCC 2559, NCIMB 14303, NRRL B-16124, TBRC 2223",1,1,Actinomadura macra,Actinomadura,macra,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
16933,,"DSM 43067, ATCC 19425, CCM 136, IAM 14277, IFO 14623, IMRU 1190, JCM 7436, NBRC 14623, NCTC 5654, CCUG 32944, CCTCC AB 2010169, CECT 3043, CGMCC 4.1224, CIP 105487, HAMBI 1926, IFM 0585, IMET 9585, KCTC 9192, MTCC 1120, NCIMB 13469, NRRL B-3843, VKM Ac-809, IFO 13909, NBRC 13909",1,1,Actinomadura madurae,Actinomadura,madurae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
16975,,"DSM 44130, IFO 14382, JCM 3366, NBRC 14382, NRRL B-16566, ATCC 51643, BCRC 13608, CIP 105482, IMSNU 22195, KCTC 9494, MTCC 1140, NCIMB 14345, CCRC 13608",1,1,Actinomadura rugatobispora,Actinomadura,rugatobispora,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
134407,"LL-C23024, LL-C23024.","CIP 105436, ATCC 43060, IFO 14689, JCM 3369, NRRL 12515, DSM 108649, KCTC 9495, NBRC 14689, DSM 43931, IMSNU 22167, NBIMCC 1535",1,1,Actinomadura yumaensis,Actinomadura,yumaensis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
189,R18165,"DSM 19115, CCUG 48064, CIP 108337, KCTC 15232",1,1,Actinomyces dentalis,Actinomyces,dentalis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
23522,B71,"DSM 27982, CGMCC 1.5030, JCM 13352, CIP 109388, CGMCC 15030",1,1,Actinomyces ruminicola,Actinomyces,ruminicola,1,novobiocin
2385,M,"DSM 3133, ATCC 43279, CFBP 4259, CIP 103003, JCM 9966, LMG 16154, NBRC 105374, NBRC 15517, BCRC 14866, IFO 15517, KCTC 3251, LMG 17239",1,1,Actinotalea fermentans,Actinotalea,fermentans,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
145,B 5329,"DSM 15541, CCUG 27420, CIP 105739, LMG 18293, CCM 4738",1,1,Actinotignum schaalii,Actinotignum,schaalii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
385,,"DSM 23814, CCUG 45225, LMG 22250, CIP 108657",1,1,Advenella incenata,Advenella,incenata,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
140229,D-24,"DSM 101732, KCTC 42708",1,1,Aequorivita aquimaris,Aequorivita,aquimaris,1,bacitracin
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,polymyxin b
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
158560,N.8,"KCTC 33824, JCM 31580",1,1,Aeribacillus composti,Aeribacillus,composti,1,nystatin
260,218,"CCUG 41859, CIP 74.30, DSM 13956, ATCC 51108, CIP 7430, LMG 13444",1,1,Aeromonas bestiarum,Aeromonas,bestiarum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,1,Aeromonas bivalvium,Aeromonas,bivalvium,1,amoxicillin
,,,,,,,,1,ampicillin
,,,,,,,,1,clavulanic acid
,,,,,,,,1,erythromycin
,,,,,,,,1,penicillin g
,,,,,,,,1,vibriostat
253,B-968,"DSM 7323, ATCC 15468, NRRL B-968, WDCM 00062, NCTC 12244, JCM 1060, BCRC 16001, CCM 4491, CCUG 25939, CECT 838, CGMCC 1.1960, CIP 76.16, GTC 00465, LMG 12160, LMG 3775, NCAIM B.01931, NCIMB 13016, CIP 110812",1,1,Aeromonas caviae,Aeromonas,caviae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
269,P21,"DSM 17689, CCM 7146, CCUG 45377, CIP 107500, LMG 19562",1,1,Aeromonas dhakensis,Aeromonas,dhakensis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
258,"S181, S-181","DSM 11577, CECT 4342, LMG 16330, CIP 104608, ATCC 51929",1,1,Aeromonas encheleia,Aeromonas,encheleia,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
,,,,,,,,1,amoxicillin
,,,,,,,,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,fosfomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,phenoxymethylpenicillin
,,,,,,,,1,sulfadimethoxine
,,,,,,,,1,sulfanilamide
,,,,,,,,1,trimethoprim
248,J11,"DSM 6394, ATCC 49803, JCM 8355, CECT 4487, CIP 104434, LMG 12646, NCIMB 13209",1,1,Aeromonas enteropelogenes,Aeromonas,enteropelogenes,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
265,546,"DSM 17534, ATCC 23309, CCEB 704, CCTM 885, CDC RH63, CIP 76.17, LMG 3774, NCIMB 74, JCM 8238, BCRC 13017, BCRC 14134, CCM 4354, CCUG 25942, CCUG 30340, CECT 4224, CNCTC 5356",1,1,Aeromonas eucrenophila,Aeromonas,eucrenophila,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
283,717,"DSM 23621, CECT 7401, LMG 24681, CIP 110205",1,1,Aeromonas fluvialis,Aeromonas,fluvialis,1,amoxicillin
,,,,,,,,1,clavulanic acid
,,,,,,,,1,ticarcillin
,,,,,,,,1,vibriostat
241,"NCIMB(QC) 50013, 543","DSM 30187, ATCC 7966, LMG 2844, NCDC 359-60, NCMB 86, NCTC 8049, WDCM 00063, CCUG 14551, CIP 76.14, JCM 1027, BCRC 13018, CCM 7232, CDC 359-60, CECT 839, HAMBI 1847, IAM 12337, IAM 12460, KCTC 2358, LMG 12156, LMG 13439, NCAIM B.01923, NCIMB 9240",1,1,Aeromonas hydrophila,Aeromonas,hydrophila,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
270,Au-1D12,"DSM 17695, CCM 7147, CCUG 46211, CIP 107985, LMG 19707",1,1,Aeromonas hydrophila subsp. ranae,Aeromonas,hydrophila,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
254,0787-80,"DSM 7311, ATCC 49568, CDC 0787-80, JCM 8316, BCRC 15862, CCM 4355, CCUG 29543, CCUG 30349, CCUG 30353, CECT 4228, CIP 104171, CNCTC 5357, LMG 12221, LMG 13704",1,1,Aeromonas jandaei,Aeromonas,jandaei,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
242,RM,"CCUG 14453, CCM 3653, JCM 2385, LMG 9073, DSM 4881, ATCC 33907, BCRC 12211, BCRC 14129, CECT 4232, CIP 103208, LMG 7907, NCIMB 2237",1,1,Aeromonas media,Aeromonas,media,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
262,"848T, 848","DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,1,Aeromonas molluscorum,Aeromonas,molluscorum,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
,,,,,,,,1,ampicillin
,,,,,,,,1,erythromycin
,,,,,,,,1,penicillin g
,,,,,,,,1,vibriostat
279,O-a-10-3,"CCUG 39350, ATCC BAA-243, NCIMB 13618, DSM 19604, CCM 4708, CECT 5176, CIP 105493, LMG 17541, DSM 1904",1,1,Aeromonas popoffii,Aeromonas,popoffii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
,,,,,,,,1,amoxicillin
,,,,,,,,1,ampicillin
,,,,,,,,1,clarithromycin
,,,,,,,,1,oxacillin
,,,,,,,,1,penicillin g
,,,,,,,,1,teicoplanin
,,,,,,,,1,vancomycin
,,,,,,,,1,vibriostat
288,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511, CIP 110301",1,1,Aeromonas rivuli,Aeromonas,rivuli,1,vibriostat
278,,"DSM 21281, ATCC 33659, CECT 895, CIP 104001, HAMBI 1990, JCM 7875, LMG 14900, NCIMB 1110, CCUG 42781, BCRC 80543, LMG 3781",1,1,Aeromonas salmonicida subsp. achromogenes,Aeromonas,salmonicida,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
274,"T. Kimura 1-a-1, I-a-1","DSM 21760, ATCC 27013, CCM 4124, CECT 896, CIP 103210, IFO 13784, JCM 8191, LMG 3782, NCIMB 2020, JCM 7873, JCM 8234, NBRC 13784",1,1,Aeromonas salmonicida subsp. masoucida,Aeromonas,salmonicida,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
259,"34mel, 34 mel","DSM 12609, CAIM 16, CECT 5752, CCUG 44929, CIP 107036",1,1,Aeromonas salmonicida subsp. pectinolytica,Aeromonas,salmonicida,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
275,20,"DSM 19634, ATCC 33658, CAIM 346, CECT 894, CIP 103209, JCM 7874, LMG 3780, NCIMB 1102, NCTC 12959, GTC 02802, IMET 11051, KCTC 12266, DSM 3241",1,1,Aeromonas salmonicida,Aeromonas,salmonicida,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
286,A2-67,"DSM 24094, CECT 7402, LMG 24682, CIP 110203",1,1,Aeromonas sanarellii,Aeromonas,sanarellii,1,amoxicillin
,,,,,,,,1,cefoxitin
,,,,,,,,1,cephalothin
,,,,,,,,1,clavulanic acid
,,,,,,,,1,erythromycin
,,,,,,,,1,ticarcillin
,,,,,,,,1,vibriostat
261,,"DSM 16559, CCUG 47378, CIP 107798, IBS S6874",1,1,Aeromonas simiae,Aeromonas,simiae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
,,,,,,,,1,ampicillin
,,,,,,,,1,vibriostat
276,,"DSM 19176, ATCC 43979, CCM 2807, CCUG 14830, CECT 4245, CIP 74.33, JCM 2139, LMG 3783, NCIMB 12065, NCTC 12979, CIP 74-33, BCRC 13066, CECT 837, HAMBI 1974, LMG 12159, VTT E-032002",1,1,Aeromonas sobria,Aeromonas,sobria,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
285,A2-50,"DSM 24096, CECT 7403, LMG 24683, CIP 110204",1,1,Aeromonas taiwanensis,Aeromonas,taiwanensis,1,amoxicillin
,,,,,,,,1,cephalothin
,,,,,,,,1,clavulanic acid
,,,,,,,,1,erythromycin
,,,,,,,,1,ticarcillin
,,,,,,,,1,vibriostat
158658,DBTF-13,"KACC 19432, NBRC 113038",1,1,Aestuariibius insulae,Aestuariibius,insulae,1,ampicillin
,,,,,,,,1,lincomycin
,,,,,,,,1,oleandomycin
,,,,,,,,1,penicillin g
,,,,,,,,1,polymyxin b
158355,OITF-44,"DSM 105891, KACC 19569, KCTC 62197, NBRC 113118",1,1,Aestuariimonas insulae,Aestuariimonas,insulae,1,carbenicillin
,,,,,,,,1,cephalothin
,,,,,,,,1,penicillin g
131429,SBSr002,"DSM 24601, NCCB 100377",1,1,Aetherobacter fasciculatus,Aetherobacter,fasciculatus,1,ampicillin
,,,,,,,,1,apramycin
,,,,,,,,1,bacitracin
,,,,,,,,1,cephalothin
,,,,,,,,1,gentamicin
,,,,,,,,1,hygromycin
,,,,,,,,1,neomycin
,,,,,,,,1,polymyxin
,,,,,,,,1,streptomycin
,,,,,,,,1,tobramycin
130794,SBSr003,"DSM 24628, NCCB 100378",1,1,Aetherobacter rufus,Aetherobacter,rufus,1,ampicillin
,,,,,,,,1,apramycin
,,,,,,,,1,gentamicin
13874,BN 126,"DSM 2698, ATCC 35675, CIP 104405, NBRC 100434, NCIMB 2201",1,1,Afifella marina,Afifella,marina,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
159752,2p52,"KCTC 52473, MCCC 1H00151",1,1,Agaribacter flavus,Agaribacter,flavus,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,lincomycin
,,,,,,,,1,tetracycline
,,,,,,,,1,vancomycin
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,1,Agarilytica rhodophyticola,Agarilytica,rhodophyticola,1,acetylspiramycin
,,,,,,,,1,clindamycin
,,,,,,,,1,lincomycin
,,,,,,,,1,penicillin
,,,,,,,,1,tetracycline
,,,,,,,,1,vancomycin
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,1,Agarivorans aestuarii,Agarivorans,aestuarii,1,kanamycin
,,,,,,,,1,streptomycin
,,,,,,,,1,vancomycin
134643,AF3.10,"CIP 107320, ATCC 51759, CFBP 5473, KCTC 12935, NCPPB 4096",1,1,Agrobacterium larrymoorei,Agrobacterium,larrymoorei,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
13580,,"DSM 30147, ATCC 19358, IFO 13532, NBRC 13532, NCIB 9042, CCUG 3354, IAM 12048, EX 3.24.2 (L 624), JCM 20371, BCRC 10372, CECT 4112, CIP 104325, HAMBI 1814, ICMP 5785, KACC 10798, KCTC 22091, LMG 140, NCCB 27005, NCIMB 9042, NCPPB 3001, EX 3.24.2",1,1,Agrobacterium radiobacter,Agrobacterium,radiobacter,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
13573,"TR3, TR 3","DSM 6772, ATCC 13335, NCPPB 1854, JCM 20918, CFBP 1317, CIP 104332, HAMBI 1812, IAM 13569, ICMP 6428, ICPB TR3, IFO 13261, LMG 13935, LMG 156, NBRC 13261",1,1,Agrobacterium rubi,Agrobacterium,rubi,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
