ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Colony size"
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,1,"Acetomicrobium mobile",Acetomicrobium,mobile,1.0-1.5
159212,N93,"DSM 106692, NCTC 14351, ATCC TSD-139",1,1,"Acholeplasma equirhinis",Acholeplasma,equirhinis,1
140509,,"LMG 3411, CCUG 62454",1,1,"Achromobacter agilis",Achromobacter,agilis,1-1.5
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,1,"Achromobacter aloeverae",Achromobacter,aloeverae,1.0-2.0
140506,,"LMG 3458, CCUG 62433",1,1,"Achromobacter deleyi",Achromobacter,deleyi,1-1.5
140507,,"CCUG 62449, LMG 3441",1,1,"Achromobacter kerstersii",Achromobacter,kerstersii,1-1.5
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,1,"Achromobacter marplatensis",Achromobacter,marplatensis,1-2
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,1,"Achromobacter pestifer",Achromobacter,pestifer,1-1.5
168915,,"LMG 30378, CCUG 71558",1,1,"Achromobacter veterisilvae",Achromobacter,veterisilvae,1.0-1.5
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,1,"Acidaminococcus intestini",Acidaminococcus,intestini,0.3-0.5
133383,SK-11,"DSM 100508, NBRC 111227",1,1,"Acidicapsa acidisoli",Acidicapsa,acidisoli,0.4-2.8
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,1,"Acidimangrovimonas sediminis",Acidimangrovimonas,sediminis,0.5-1.0
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,1,"Acidiphilium cryptum",Acidiphilium,cryptum,0.2-0.5
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,1,"Silvibacterium dinghuense",Silvibacterium,dinghuense,1.9-2.6
158421,JS278,"DSM 106790, VTT E-113202",1,1,"Acidipropionibacterium virtanenii",Acidipropionibacterium,virtanenii,2-3
82,TPB606,"DSM 21000, VKM B-2487",1,1,"Acidisoma sibiricum",Acidisoma,sibiricum,2.0-5.0
81,WM1,"DSM 19999, VKM B-2488",1,1,"Acidisoma tundrae",Acidisoma,tundrae,2.0-5.0
67,HS-AP3,"DSM 16009, JCM 10600",1,1,"Acidisphaera rubrifaciens",Acidisphaera,rubrifaciens,2
133295,,"ANC 4603, CCM 8700, CCUG 69239, CNCTC 7549, CIP 111639",1,1,"Acinetobacter celticus",Acinetobacter,celticus,1.5
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,1,"Acinetobacter colistiniresistens",Acinetobacter,colistiniresistens,1-2
139534,,"CIP 110480, NIPH 3623, ANC 3623, CCUG 67960, CCM 8635",1,1,"Acinetobacter courvalinii",Acinetobacter,courvalinii,1.5-2
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,1,"Acinetobacter defluvii",Acinetobacter,defluvii,0.8-1.2
133175,JVAP01,"CECT 9134, LMG 29605",1,1,"Acinetobacter lactucae",Acinetobacter,lactucae,1.0-2.0
139490,,"CIP 110500, ANC 4105, CCUG 67961, CCM 8636",1,1,"Acinetobacter dispersus",Acinetobacter,dispersus,1-1.5
140912,114,"CCUG 65204, DSM 27228",1,1,"Acinetobacter equi",Acinetobacter,equi,1-2
140631,,"CCUG 68785, NRRL B-41902",1,1,"Acinetobacter lactucae",Acinetobacter,lactucae,1-2
133403,BRTC-1,"ACCC 19936, JCM 31367",1,1,"Acinetobacter larvae",Acinetobacter,larvae,1.0-3.0
139492,,"CIP 110444, NIPH 236, CCUG 67964, CCM 8639",1,1,"Acinetobacter modestus",Acinetobacter,modestus,1-1.5
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,1,"Acinetobacter piscicola",Acinetobacter,piscicola,1-3
133162,,"ANC 4149, CCM 8637, CCUG 67962, CNCTC 7530, CIP 111641",1,1,"Acinetobacter pragensis",Acinetobacter,pragensis,1.5
139427,,"CIP 110482, NIPH 809, CCUG 14818, CCUG 67965, CCM 8640",1,1,"Acinetobacter proteolyticus",Acinetobacter,proteolyticus,1-1.5
164465,S23,"JCM 33150, KACC 19921",1,1,"Acinetobacter pullicarnis",Acinetobacter,pullicarnis,1-2
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,1,"Acinetobacter sichuanensis",Acinetobacter,sichuanensis,1-2
139493,,"CIP 110483, NIPH 2168, RUH 65, CCUG 67967, CCM 8642",1,1,"Acinetobacter vivianii",Acinetobacter,vivianii,1.5-2
159758,WCHA60,"CCTCC AB 2016204, GDMCC 1.1100, KCTC 52505",1,1,"Acinetobacter wuhouensis",Acinetobacter,wuhouensis,1-1.5
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,1,"Actibacterium pelagium",Actibacterium,pelagium,2
141055,LS-811,"BCRC 80823, JCM 30681",1,1,"Actibacterium ureilyticum",Actibacterium,ureilyticum,1-2
166219,W1618,"LMG 30745, NCTC 14090",1,1,"Actinobacillus vicugnae",Actinobacillus,vicugnae,2.0-3.0
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,1,"Actinobaculum massiliense",Actinobaculum,massiliense,0.5-1.5
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,1,"Actinobaculum suis",Actinobaculum,suis,0.3-0.5
,,,,,,,,3.0-5.0
132014,OB1,"DSM 45618, ATCC BAA-2771",1,1,"Actinocrinis puniceicyclus",Actinocrinis,puniceicyclus,0.5
177,"M1327/95/1, M1327/96/1","DSM 15435, CCUG 37421, CIP 106647",1,1,"Actinomyces bowdenii",Actinomyces,bowdenii,2.0
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,1,"Actinomyces gaoshouyii",Actinomyces,gaoshouyii,<1
159,2-606-032,"DSM 6844, ATCC 23860, CDC W838, CIP 105418, JCM 12963, VPI 12594, CCUG 32936, CCUG 34703",1,1,"Actinomyces gerencseriae",Actinomyces,gerencseriae,0.2
186,,"DSM 15540, CCUG 27294, CIP 105737, CCM 4739",1,1,"Actinomyces graevenitzii",Actinomyces,graevenitzii,0.2
159350,410,"DSM 106201, CGMCC 1.16361",1,1,"Actinomyces qiguomingii",Actinomyces,qiguomingii,1
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,1,"Actinomyces vulturis",Actinomyces,vulturis,<1
132380,,"DSM 45410, CCTCC AA 209065, YIM 75728",1,1,"Actinorectispora indica",Actinorectispora,indica,0.1-0.2
158625,THG-T121,"KACC 19191, CGMCC 4.7389, JCM 32747",1,1,"Actinotalea solisilvae",Actinotalea,solisilvae,2
140913,,"ACCC 06485, JCM 30465, LAM 0050",1,1,"Advenella alkanexedens",Advenella,alkanexedens,2.5-4
166411,,"KACC 15529, NBRC 108213, IMCC 3088",1,1,"Aequoribacter fuscus",Aequoribacter,fuscus,0.5-1.5
140229,D-24,"DSM 101732, KCTC 42708",1,1,"Aequorivita aquimaris",Aequorivita,aquimaris,1-2
158560,N.8,"KCTC 33824, JCM 31580",1,1,"Aeribacillus composti",Aeribacillus,composti,1
224,SS-1647,"DSM 15633, CCUG 43001, CDC 348-00, CIP 106533, JCM 11549, ATCC BAA-465",1,1,"Aerococcus sanguinicola",Aerococcus,sanguinicola,<1.0
227,1821/02,"DSM 21500, CCUG 52530, CECT 7139, JCM 18035, CIP 109714",1,1,"Aerococcus suis",Aerococcus,suis,<1.0
225,,"CCUG 42038 B, CCM 7338, DSM 15634, ATCC BAA-464, CIP 106675, JCM 18987, CCUG 42038",1,1,"Aerococcus urinaehominis",Aerococcus,urinaehominis,<1.0
133328,9H-4,"ZIM B1021, LMG 29165, CCM 8650, JCM 32379",1,1,"Aeromicrobium choanae",Aeromicrobium,choanae,1.8-2.0
159668,,"DSM 105424, NBRC 112936, CPCC 204604",1,1,"Aeromicrobium lacus",Aeromicrobium,lacus,1-1.4
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,1,"Aeromonas bivalvium",Aeromonas,bivalvium,3-4
283,717,"DSM 23621, CECT 7401, LMG 24681, CIP 110205",1,1,"Aeromonas fluvialis",Aeromonas,fluvialis,4-5
242,RM,"CCUG 14453, CCM 3653, JCM 2385, LMG 9073, DSM 4881, ATCC 33907, BCRC 12211, BCRC 14129, CECT 4232, CIP 103208, LMG 7907, NCIMB 2237",1,1,"Aeromonas media",Aeromonas,media,2
262,"848T, 848","DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,1,"Aeromonas molluscorum",Aeromonas,molluscorum,3-4
288,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511, CIP 110301",1,1,"Aeromonas rivuli",Aeromonas,rivuli,2.0-2.5
286,A2-67,"DSM 24094, CECT 7402, LMG 24682, CIP 110203",1,1,"Aeromonas sanarellii",Aeromonas,sanarellii,4-5
285,A2-50,"DSM 24096, CECT 7403, LMG 24683, CIP 110204",1,1,"Aeromonas taiwanensis",Aeromonas,taiwanensis,2-5
158658,DBTF-13,"KACC 19432, NBRC 113038",1,1,"Aestuariibius insulae",Aestuariibius,insulae,0.5-1
158420,D6,"DSM 105824, KCTC 39995",1,1,"Aestuariimicrobium soli",Aestuariimicrobium,soli,1-3
158355,OITF-44,"DSM 105891, KACC 19569, KCTC 62197, NBRC 113118",1,1,"Aestuariimonas insulae",Aestuariimonas,insulae,0.3-0.8
141009,feces2,"MCCC 1A11450, KCTC 52708",1,1,"Agaribacterium haliotis",Agaribacterium,haliotis,0.8
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,1,"Agarilytica rhodophyticola",Agarilytica,rhodophyticola,2-3
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,1,"Agarivorans aestuarii",Agarivorans,aestuarii,1.5-2
132395,"JK 623","DSM 29029, LMG 28559",1,1,"Agathobacter ruminis",Agathobacter,ruminis,3-4
164664,54-2,"JCM 33824, CCM 8896, KCTC 21120, LMG 31058, NCIMB 15154",1,1,"Agrilactobacillus yilanensis",Agrilactobacillus,yilanensis,1.5
140485,,"LMG 29287, HAMBI 3646, YIC 5082",1,1,"Agrobacterium salinitolerans",Agrobacterium,salinitolerans,2-3
132534,"OAct-353, OAct353","DSM 28305, CGMCC 4.7180, NRRL B-59115, JCM 32487",1,1,"Agromyces binzhouensis",Agromyces,binzhouensis,0.5-1
168515,FW100M-8,"KACC 19308, NBRC 113048",1,1,"Agromyces protaetiae",Agromyces,protaetiae,1
132966,LZD062,"DSM 28886, JCM 30117, MCCC 1K00254",1,1,"Ahrensia marina",Ahrensia,marina,0.8-1.2
132956,Pyt,"DSM 100705, CIP 110913",1,1,"Akkermansia glycaniphila",Akkermansia,glycaniphila,0.7
158801,MT13131,"MCCC 1A11581, KCTC 52985",1,1,"Alcanivorax mobilis",Alcanivorax,mobilis,0.2
140512,19-m-6,"MCCC 1A05629, KCTC 52137",1,1,"Alcanivorax nanhaiticus",Alcanivorax,nanhaiticus,1-2
5480,"M-3Alg 15-1","DSM 15365, KCTC 12103, KMM 3902, JCM 21761, IAM 15311, LMG 23347, LMG 22573, NBRC 100591",1,1,"Algibacter lectus",Algibacter,lectus,3-4
166449,,"KCTC 62395, MCCC 1K03486, HHTR 118",1,1,"Algihabitans albus",Algihabitans,albus,0.5-1
140706,KEM-10,"KCTC 52839, NBRC 112780",1,1,"Algoriphagus aquaemixtae",Algoriphagus,aquaemixtae,0.5-1
164479,F21,"JCM 33187, KCTC 72106, KEMB 2250-007",1,1,"Algoriphagus aquimaris",Algoriphagus,aquimaris,1-2
140941,HJM-2,"KCTC 42704, NBRC 111222",1,1,"Algoriphagus confluentis",Algoriphagus,confluentis,1-1.5
133329,S61,"DSM 102044, CCTCC AB 2015446",1,1,"Algoriphagus iocasae",Algoriphagus,iocasae,0.8-1.0
170941,N3,"KCTC 62622, MCCC 1H00308",1,1,"Algoriphagus lacus",Algoriphagus,lacus,0.5-1.5
133258,OITF-19,"KCTC 52456, NBRC 112418",1,1,"Algoriphagus litorisediminis",Algoriphagus,litorisediminis,0.5-1.0
140525,am2,"KCTC 52549, MCCC 1H00178",1,1,"Algoriphagus marinus",Algoriphagus,marinus,1-2
141011,KEM-106,"KCTC 52979, NBRC 112904",1,1,"Algoriphagus marisflavi",Algoriphagus,marisflavi,0.5-1.0
133121,NH1,"MCCC 1H00140, KCTC 52228",1,1,"Algoriphagus resistens",Algoriphagus,resistens,2
164064,M8-2,"JCM 31446, LMG 29969",1,1,"Algoriphagus sanaruensis",Algoriphagus,sanaruensis,1.5-2.0
170901,F199,"CECT 9230, LMG 30050",1,1,"Arcobacter vitoriensis",Arcobacter,vitoriensis,2-4
414,TA-67,"DSM 14558, IAM 14935, NRIC 0496, JCM 21417, CIP 107723, NBRC 100859, NRIC 6496",1,1,"Alicyclobacillus acidiphilus",Alicyclobacillus,acidiphilus,1.1-3.8
158721,USBA-GBX-503,"CMPUJ UGB U503, CBMAI 1927",1,1,"Alicyclobacillus montanus",Alicyclobacillus,montanus,1-2
166424,F3105,"MCCC 1H00223, KCTC 52891",1,1,"Aliidiomarina celeris",Aliidiomarina,celeris,1-2
140844,GBPy7,"IBRC-M 10763, CECT 8339",1,1,"Aliidiomarina iranensis",Aliidiomarina,iranensis,3-6
140532,GBSy1,"CECT 8340, IBRC-M 10764",1,1,"Aliidiomarina sedimenti",Aliidiomarina,sedimenti,1-2
133375,Y4G10-17,"CGMCC 1.15759, KCTC 52381",1,1,"Aliidiomarina soli",Aliidiomarina,soli,3-4
133344,7M-Z19,"NBRC 112240, KCTC 52134, CGMCC 1.15725, DSM 107831",1,1,"Aliidongia dinghuensis",Aliidongia,dinghuensis,1.0-3.0
140832,2W32,"KCTC 42497, CICC 23869",1,1,"Fodinibius halophilus",Fodinibius,halophilus,1
166301,WN023,"KCTC 52855, ACCC 19978",1,1,"Aliifodinibius salipaludis",Aliifodinibius,salipaludis,5.0-8.0
167643,A6024,"KCTC 72114, MCCC 1K03595",1,1,"Aliiroseovarius marinus",Aliiroseovarius,marinus,1-2
166218,MYP11,"KCTC 62899 NBRC 113544",1,1,"Aliishimia ponticola",Aliishimia,ponticola,1.5-2.0
159608,5CBH24,"DSM 108979, JCM 32850",1,1,"Alistipes communis",Alistipes,communis,0.1-0.2
,,,,,,,,0.1-1
140264,BZ-SZ-XJ29,"DSM 29191, CGMCC 1.12936, JCM 30193",1,1,"Alkalicoccus halolimnae",Alkalicoccus,halolimnae,1-2
132547,BZ-SZ-XJ18,"DSM 29145, JCM 30195",1,1,"Alkalicoccus urumqiensis",Alkalicoccus,urumqiensis,1-2
572,1,"DSM 485, ATCC 27647, JCM 5262, NCIB 10436, NCIB 8772, NCTC 4553, CCUG 28516, NRRL B-14309, BCRC 15419, CECT 1, CGMCC 1.3604, CIP 103410, IAM 12461, IFO 15653, KCTC 1824, KCTC 3884, LMG 17938, LMG 7120, NBRC 15653, NCIMB 10436, NCIMB 8772, NRRL NRS-1548, VTT E-87298",1,1,"Alkalihalobacillus alcalophilus",Alkalihalobacillus,alcalophilus,2.3
166505,34079,"KCTC 62428, MCCC 1K03493",1,1,"Alkalilacustris brevis",Alkalilacustris,brevis,1.0-1.5
132993,H94,"DSM 24882, CGMCC 1.10800, JCM 17555",1,1,"Allohahella marinimesophila",Allohahella,marinimesophila,1-2
163970,CC-HIH110,"JCM 31228, BCRC 80932",1,1,"Allorhizobium terrae",Allorhizobium,terrae,2-3
160006,"GLDI 4/2, GLDI4/2","DSM 106019, JCM 32430",1,1,"Alloscardovia theropitheci",Alloscardovia,theropitheci,1-2
140346,MOZIV/2,"DSM 100237, CCM 8604, LMG 28781",1,1,"Alloscardovia venturai",Alloscardovia,venturai,1.2-2.6
159775,SH9,"JCM 32501, CCTCC AB 2017284",1,1,"Alsobacter soli",Alsobacter,soli,1
133228,100921-2,"CFCC 14287, KCTC 42844",1,1,"Tsuneonella aeria",Tsuneonella,aeria,0.3-0.5
140729,JSSK-8,"KCTC 52763, NBRC 112764",1,1,"Pontixanthobacter aquaemixtae",Pontixanthobacter,aquaemixtae,0.5-1
166167,SSKS-13,"KACC 19863, KCTC 62900, NBRC 113545",1,1,"Alteraurantiacibacter aquimixticola",Alteraurantiacibacter,aquimixticola,0.2-0.5
133169,KEM-4,"KCTC 52259, NBRC 112305",1,1,"Pontixanthobacter confluentis",Pontixanthobacter,confluentis,0.5-1.0
140988,BR-75,"CECT 9129, LMG 29518, BR 75, UCCCB41",1,1,"Altericroceibacterium endophyticum",Altericroceibacterium,endophyticum,0.5-1.2
158660,S-54,"KEMB 9005-542, KACC 19119, NBRC 112676",1,1,"Altererythrobacter fulvus",Altererythrobacter,fulvus,2-3
140987,CPA5,"CECT 9130, LMG 29519, UCCCB42",1,1,"Alteriqipengyuania halimionae",Alteriqipengyuania,halimionae,0.5-1.0
166460,BPTF-M16,"KCTC 62421, KACC 19609, NBRC 113190",1,1,"Altererythrobacter insulae",Altererythrobacter,insulae,0.5-1
166532,GH1-16,"KCTC 52845, NBRC 113275",1,1,"Parerythrobacter lutipelagi",Parerythrobacter,lutipelagi,0.5
158561,C9-11,"MCCC 1K03311, JCM 32056",1,1,"Tsuneonella mangrovi",Tsuneonella,mangrovi,0.5-2
5398,MSW-14,"DSM 21428, KCTC 22370, UCCCB27",1,1,"Pelagerythrobacter marensis",Pelagerythrobacter,marensis,0.8-1.0
166512,,"KCTC 32463, KACC 17617, CECT 8417, HME 9302",1,1,"Alteripontixanthobacter maritimus",Alteripontixanthobacter,maritimus,0.8-1
140815,WW3,"KCTC 42620, JCM 30975",1,1,"Tsuneonella rigui",Tsuneonella,rigui,1-2
133411,XY-R17,"KCTC 52267, MCCC 1K01500",1,1,"Croceibacterium salegens",Croceibacterium,salegens,1-3
133352,MN-1,"KCTC 52135, MCCC 1K02066",1,1,"Croceibacterium soli",Croceibacterium,soli,1
140743,S36,"CGMCC 1.12804, NBRC 110413",1,1,"Croceibacterium xixiisoli",Croceibacterium,xixiisoli,1-2
164197,M30,"JCM 32118, CGMCC 1.16739, MCC 3010",1,1,"Alteribacter natronophilus",Alteribacter,natronophilus,2.0-3.0
158381,FJAT-45347,"DSM 104632, CCTCC AB 2016257",1,1,"Alteribacter populi",Alteribacter,populi,3.4
449,R10SW13,"DSM 15446, KCTC 12195, KMM 3600, LMG 22532, CIP 108794",1,1,"Alteromonas stellipolaris",Alteromonas,stellipolaris,2-3
140995,JDTF-113,"KCTC 52655, NBRC 112708",1,1,"Alteromonas aestuariivivens",Alteromonas,aestuariivivens,2.0-3.0
159352,"1, 1T","DSM 106819, ATCC 43554, RCC 5933, CIP 111645",1,1,"Alteromonas fortis",Alteromonas,fortis,2.0-3.0
450,,"DSM 23844, CCUG 55340, LMG 24078",1,1,"Alteromonas genovensis",Alteromonas,genovensis,2
159815,IO390401,"JCM 32638, CGMCC 1.13554, CCTCC AB 2018072, CGMCC AB 2018072",1,1,"Alteromonas alterisediminis",Alteromonas,alterisediminis,1-3
133345,JW12,"CGMCC 1.15735, KCTC 52408, MCCC 1K03175",1,1,"Alteromonas lipolytica",Alteromonas,lipolytica,1.0-2.0
140746,5.12,"LMG 29661, MCC 3250",1,1,"Alteromonas pelagimontana",Alteromonas,pelagimontana,1-2
166518,U0105,"KCTC 62080, MCCC 1H00299",1,1,"Alteromonas sediminis",Alteromonas,sediminis,0.5-1.5
447,"ANT69a, R-15466","DSM 15691, LMG 21861, CIP 108513, ANT 69a",1,1,"Alteromonas stellipolaris",Alteromonas,stellipolaris,2-5
158714,1T4Z-3,"KCTC 39983, CGMCC 1.16066",1,1,"Amnibacterium endophyticum",Amnibacterium,endophyticum,0.2-0.3
1408,JW/BP-GSL-QD,"DSM 23721, ATCC BAA-2118, NBRC 11149",1,1,"Amphibacillus cookii",Amphibacillus,cookii,0.8-2.0
166509,ANRC-JH13,"MCCC 1K03512, KCTC 62532",1,1,"Amphritea opalescens",Amphritea,opalescens,1
5429,L2-7,"DSM 17630, KCTC 15707",1,1,"Anaerobutyricum soehngenii",Anaerobutyricum,soehngenii,4.5
166118,MJB2,"KCTC 15800, MCCC 1K03631",1,1,"Anaerophilus nitritogenes",Anaerophilus,nitritogenes,0.5-1.0
140747,SH021,"JCM 31556, DSM 103575, KCTC 15705",1,1,"Anaerotignum aminivorans",Anaerotignum,aminivorans,0.5-0.7
17679,277,"DSM 17241, CCUG 45055, CIP 107754, WAL 14565, JCM 15631, VTT E-062942",1,1,"Anaerotruncus colihominis",Anaerotruncus,colihominis,2-3
158256,E130,"DSM 102029, LMG 29367",1,1,"Ancylobacter pratisalsi",Ancylobacter,pratisalsi,0.3-0.5
,,,,,,,,0.5-1
157183,Osot,"CCUG 70237, JCM 32039, DSM 106440, VKM B-3145",1,1,"Ancylobacter sonchi",Ancylobacter,sonchi,1
,,,,,,,,2
166210,SHSM-M15,"KACC 19862, NBRC 113749",1,1,"Ancylomarina salipaludis",Ancylomarina,salipaludis,0.5-1.0
133003,FA102,"DSM 28825, CICC 10902, KCTC 42257",1,1,"Ancylomarina subtilis",Ancylomarina,subtilis,1.0-1.5
5416,MK-1,"DSM 1989, ATCC 43737",1,1,"Andreesenia angusta",Andreesenia,angusta,0.5-1.5
140685,1-10M-8-7-50,"KEMB 563-460, JCM 31819",1,1,"Aneurinibacillus sediminis",Aneurinibacillus,sediminis,3-5
141003,YC2-20,"KCTC 39842, DSM 103769, JCM 32752",1,1,"Angustibacter speluncae",Angustibacter,speluncae,0.5-1.2
6140,,"DSM 4255, ATCC 43788",1,1,"Annwoodia aquaesulis",Annwoodia,aquaesulis,1-2
140522,GSsed3,"CCOS 808, ATCC BAA-2555",1,1,"Anoxybacillus geothermalis",Anoxybacillus,geothermalis,0.8-1.1
158772,JB01H24,"GDMCC 1.1229, KCTC 52984",1,1,"Antarcticibacterium flavum",Antarcticibacterium,flavum,1
140874,wkB301,"NRRL B-65307, NCIMB 14986",1,1,"Apibacter adventoris",Apibacter,adventoris,0.5
132969,R-53146,"DSM 100903, LMG 28357",1,1,"Apibacter mensalis",Apibacter,mensalis,1
166268,Sn-9-2,"KCTC 62308, CCTCC AB 2018270",1,1,"Aquabacter cavernae",Aquabacter,cavernae,1-2
140473,THG-SQE6,"CCTCC AB 2016081, KACC 18846, JCM 30429",1,1,"Aquaspirillum soli",Aquaspirillum,soli,1.0-2.0
140816,Ar-125,"CGMCC 1.15295, JCM 30876, NRIC 0975",1,1,"Aquaticitalea lipolytica",Aquaticitalea,lipolytica,1-2
166539,Z0201,"KCTC 62450, MCCC 1H00328",1,1,"Cognataquiflexum aquatile",Cognataquiflexum,aquatile,2
140504,RZW4-3-2,"JCM 30824, MCCC 1K00698",1,1,"Aquimarina aggregata",Aquimarina,aggregata,0.5-1.0
158636,"9Alg 151","KCTC 23622, KMM 6462",1,1,"Aquimarina algiphila",Aquimarina,algiphila,1-2
158803,NS08,"KCTC 52897, MCCC 1H00191",1,1,"Aquimarina celericrescens",Aquimarina,celericrescens,1.0-2.0
140593,SS2-9,"KCTC 52274, MCCC 1H00142",1,1,"Aquimarina rubra",Aquimarina,rubra,1-2
158701,122CH820-2,"KACC 19274, LMG 30078",1,1,"Aquimarina spongiicola",Aquimarina,spongiicola,1-2
133335,CBA3207,"KACC 17666, JCM 19528",1,1,"Aquimarina versatilis",Aquimarina,versatilis,0.5-2.0
166171,KYPY4,"BCRC 81010, KCTC 52441",1,1,"Rubrivivax rivuli",Rubrivivax,rivuli,0.8-1.2
140856,D11M-2,"CGMCC 1.12921, KCTC 42673",1,1,"Aquisalinus flavus",Aquisalinus,flavus,0.1-0.4
140914,P1297,"CCM 7557, LMG 28989, CCUG 67440",1,1,"Aquitalea pelogenes",Aquitalea,pelogenes,2-3
133396,,"DSM 22792, JCM 30984, KCTC 22820, Gsoil 809",1,1,"Arachidicoccus ginsenosidivorans",Arachidicoccus,ginsenosidivorans,2.0-3.5
2094,D2686,"DSM 8739, ATCC 49616, CDC D2686, LMG 10828, WDCM 00065, CCUG 30485, NCTC 12481, RM 4018, JCM 31724, CECT 8221, CIP 103493",1,1,"Arcobacter butzleri",Arcobacter,butzleri,2-4
158655,F138-33,"CECT 8984, LMG 29148, CIP 111615",1,1,"Malaciobacter canalis",Malaciobacter,canalis,2-4
2096,KH-2,"DSM 17680, CCUG 48482, LMG 21996, CIP 108697, CECT 7203",1,1,"Arcobacter cibarius",Arcobacter,cibarius,2
140702,MA5,"LMG 28652, JCM 31147",1,1,"Arcobacter lekithochrous",Arcobacter,lekithochrous,1
2097,LA31B,"CCUG 53805, DSM 18005, ATCC BAA-1022, CIP 108450",1,1,"Arcobacter halophilus",Arcobacter,halophilus,1-2
2095,"WCDM 00067, 449/80","DSM 7302, ATCC 51132, CCUG 10374, LMG 6621, WRI 449/80, JCM 33358, CIP 103538, CIP 103588, NCTC 12713, WDCM 00067, CECT 8223, CIP 1035838T",1,1,"Arcobacter skirrowii",Arcobacter,skirrowii,2-3
140651,MN12-7,"KCTC 32015, CIP 110422",1,1,"Arcticibacter svalbardensis",Arcticibacter,svalbardensis,1
133367,SM1504,"KCTC 42716, CCTCC AB 2015348",1,1,"Arcticibacterium luteifluviistationis",Arcticibacterium,luteifluviistationis,1.0-2.0
140943,SM1212,"MCCC 1K00234, KCTC 32514",1,1,"Psychroserpens luteus",Psychroserpens,luteus,1-3
158564,R18H21,"GDMCC 1.1159, KCTC 52924",1,1,"Arenibacter antarcticus",Arenibacter,antarcticus,1
