"","ID","designation_header","strain_number_header","is_type_strain_header","is_type_strain","species","Temperature_for_growth"
"91",1580,"P","DSM 20664, ATCC 43122",1,1,"Acetomicrobium flavidum","55"
"92",17779,"OS1","DSM 22491, ATCC BAA-1850",1,1,"Acetomicrobium hydrogeniformans","40-65"
"93",NA,"","",NA,NA,"","55"
"94",17777,"NGA","DSM 13181, ATCC BAA-54, JCM 12221",1,1,"Acetomicrobium mobile","35-65"
"95",NA,"","",NA,NA,"","55"
"96",17778,"RWcit2","DSM 13490, ACM 5076",1,1,"Acetomicrobium thermoterrenum","28-60"
"97",NA,"","",NA,NA,"","50"
"98",17111,"APO-1","DSM 6540, ATCC 51454",1,1,"Acetonema longum","30"
"99",159212,"N93","DSM 106692, NCTC 14351, ATCC TSD-139",1,1,"Acholeplasma equirhinis","22-41"
"100",NA,"","",NA,NA,"","35"
"101",97,"PG 8, PG8","DSM 23060, ATCC 23206, CIP 75.27, IFO (now NBRC) 14400, NCTC 10116, CCUG 32754",1,1,"Acholeplasma laidlawii","37"
"102",135224,"FC 097-2","CIP 107001, ATCC 700667",1,1,"Acholeplasma vituli","37"
"103",156528,"LiPuma AU4014, Vandamme R-31134","CCUG 62438, LMG 26852, CIP 110713",1,1,"Achromobacter aegrifaciens","37"
"104",140509,"","LMG 3411, CCUG 62454",1,1,"Achromobacter agilis","30"
"105",NA,"","",NA,NA,"","37"
"106",133323,"AVA-1","LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,1,"Achromobacter aloeverae","20.0-42.0"
"107",NA,"","",NA,NA,"","40"
"108",NA,"","",NA,NA,"","42"
"109",130142,"AU15230, AU 15230, R-46662","DSM 29601, CCUG 61966, LMG 26690, CIP 110841",1,1,"Achromobacter animicus","30"
"110",156534,"Vandamme R-47433, LiPuma AU11412","CCUG 62444, LMG 26857, CIP 110712",1,1,"Achromobacter anxifer","37"
"111",140506,"","LMG 3458, CCUG 62433",1,1,"Achromobacter deleyi","30"
"112",NA,"","",NA,NA,"","37"
"113",318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,1,"Achromobacter denitrificans","15-41"
"114",NA,"","",NA,NA,"","24"
"115",NA,"","",NA,NA,"","30"
"116",134918,"Vandamme R-47430, LiPuma AU4012","CIP 110711, LMG 26840, CCUG 62421",1,1,"Achromobacter dolens","37"
"117",322,"","DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,1,"Achromobacter insolitus","15-37"
"118",NA,"","",NA,NA,"","28"
"119",NA,"","",NA,NA,"","28-37"
"120",NA,"","",NA,NA,"","30-37"
"121",NA,"","",NA,NA,"","37"
"122",136698,"LiPuma AU15210, Vandamme R-47438","CIP 110710, LMG 26845, CCUG 62426",1,1,"Achromobacter insuavis","30"
"123",NA,"","",NA,NA,"","37"
"124",140507,"","CCUG 62449, LMG 3441",1,1,"Achromobacter kerstersii","30"
"125",NA,"","",NA,NA,"","37"
"126",140854,"B2","CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,1,"Achromobacter marplatensis","30"
"127",130143,"AU 13054, R-46658","DSM 29602, LMG 26685, CCUG 61961, CIP 110844",1,1,"Achromobacter mucicolens","30"
"128",NA,"","",NA,NA,"","37"
"129",140508,"","LMG 3431, CCUG 61959, ATCC 15445",1,1,"Achromobacter pestifer","30"
"130",NA,"","",NA,NA,"","37"
"131",320,"366-5","DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,1,"Achromobacter piechaudii","15-37"
"132",NA,"","",NA,NA,"","25"
"133",NA,"","",NA,NA,"","30"
"134",130144,"E38/27-S, R-16442","DSM 29617, CCUG 61972, LMG 26696, CIP 110842",1,1,"Achromobacter pulmonis","30"
"135",309,"","DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,1,"Achromobacter ruhlandii","15-41"
"136",NA,"","",NA,NA,"","30"
"137",323,"","CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,1,"Achromobacter spanius","15-37"
"138",NA,"","",NA,NA,"","28"
"139",NA,"","",NA,NA,"","28-37"
"140",NA,"","",NA,NA,"","30-42"
"141",NA,"","",NA,NA,"","37"
"142",168915,"","LMG 30378, CCUG 71558",1,1,"Achromobacter veterisilvae","4.0-45.0"
"143",297,"KM543","DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,1,"Achromobacter xylosoxidans","15-41"
"144",NA,"","",NA,NA,"","30"
"145",NA,"","",NA,NA,"","37"
"146",17960,"","DSM 2784, Glu 65, CIP 106102",1,1,"Acidaminobacter hydrogenoformans","30"
"147",98,"VR4","CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,1,"Acidaminococcus fermentans","37"
"148",99,"","DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,1,"Acidaminococcus intestini","37"
"149",16643,"","DSM 3772, JCM 9191, LEI 10",1,1,"Acidianus ambivalens","80"
"150",16640,"","DSM 1651, IFO 15269, NBRC 15269",1,1,"Acidianus brierleyi","70"
"151",16642,"So4a","DSM 3191, NBRC 106462, JCM 8955, IFO 15270, NBRC 15270",1,1,"Acidianus infernus","85"
"152",NA,"","",NA,NA,"","88"
"153",16644,"JP7","DSM 18786, JCM 13667",1,1,"Acidianus sulfidivorans","70"
"154",132568,"","DSM 27237, NCCB 100460, MCF 85",1,1,"Acidibacter ferrireducens","28"
"155",166226,"G45-3","CGMCC 1.16069, KCTC 62275",1,1,"Acidibrevibacterium fodinaquatile","20-45"
"156",79,"Y008","DSM 16953",1,1,"Acidicaldus organivorans","50"
"157",133054,"","DSM 29819, NCCB 100576, MCF 10",1,1,"Acidicapsa acidiphila","30"
"158",133383,"SK-11","DSM 100508, NBRC 111227",1,1,"Acidicapsa acidisoli","10-35"
"159",NA,"","",NA,NA,"","25"
"160",142,"KA1","DSM 23886, LMG 25897, VKM B-2678",1,1,"Acidicapsa borealis","20"
"161",159709,"4GSKX","CGMCC 1.15449, LMG 29213",1,1,"Acidicapsa dinghuensis","12-37"
"162",133053,"","DSM 28997, NCCB 100575, MCF 9",1,1,"Acidicapsa ferrireducens","30"
"163",143,"WH120","DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,1,"Acidicapsa ligni","25"
"164",159903,"RGM 2506, USS-CCA1","DSM 106828",1,1,"Acidiferrimicrobium australe","28"
"165",4303,"m-1","DSM 2392, JCM 17358",1,1,"Acidiferrobacter thiooxydans","30"
"166",NA,"","",NA,NA,"","37"
"167",6149,"V6","DSM 14174, JCM 32253",1,1,"Acidihalobacter aeolianus","26-42"
"168",NA,"","",NA,NA,"","35"
"169",24820,"V8","DSM 14175, JCM 32254",1,1,"Acidihalobacter ferrooxydans","26-43"
"170",NA,"","",NA,NA,"","35"
"171",6148,"LM3","DSM 5130, JCM 30709",1,1,"Acidihalobacter prosperus","35"
"172",160601,"F5","DSM 105917, JCM 32255",1,1,"Acidihalobacter yilgarnensis","30"
"173",17799,"1904","DSM 11585, ATCC BAA-268, JCM 11320",1,1,"Acidilobus aceticus","80"
"174",17800,"345-15","DSM 16705, JCM 18335, VKM B-2471",1,1,"Acidilobus saccharovorans","80"
"175",164656,"","JCM 33804, MCCC 1K03817",1,1,"Acidiluteibacter ferrifornacis","30"
"176",166169,"MS2-2","MCCC 1K02682, NBRC 112978",1,1,"Acidimangrovimonas sediminis","16-41"
"177",106,"ICP","DSM 10331, NBRC 103882, JCM 15462",1,1,"Acidimicrobium ferrooxidans","45"
"178",30,"","DSM 700, ATCC 27807, CIP 104483",1,1,"Acidiphilium acidophilum","26"
"179",NA,"","",NA,NA,"","30"
"180",26,"Lhet2","DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,1,"Acidiphilium cryptum","27"
"181",NA,"","",NA,NA,"","28"
"182",31,"","DSM 11245, JCM 8867, NBRC 100785, NBRC 100883",1,1,"Acidiphilium multivorum","30"
"183",132354,"DHOF10","DSM 103429, CGMCC 1.13007, KCTC 42631",1,1,"Silvibacterium dinghuense","10-37"
"184",NA,"","",NA,NA,"","30"
"185",132249,"AP8","DSM 103428, KCTC 23427, NBRC 107607",1,1,"Acidipila rosea","30"
"186",5459,"V","DSM 18409, JCM 14615",1,1,"Acidiplasma aeolicum","40"
"187",5460,"BH2","DSM 16651, JCM 13668",1,1,"Acidiplasma cupricumulans","55"
"188",12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,1,"Acidipropionibacterium acidipropionici","30"
"189",NA,"","",NA,NA,"","37"
"190",130545,"IGBL13","DSM 25450, CECT 8062",1,1,"Acidipropionibacterium damnosum","30"
"191",12651,"29","CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,1,"Acidipropionibacterium jensenii","30"
"192",NA,"","",NA,NA,"","37"
"193",12656,"M5","DSM 13435, CIP 109962, CNCM I-2360",1,1,"Acidipropionibacterium microaerophilum","30"
"194",130544,"IGBL1","DSM 25436, CECT 8061, KCTC 15514",1,1,"Acidipropionibacterium olivae","30"
"195",12654,"15","DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,1,"Acidipropionibacterium thoenii","30"
"196",NA,"","",NA,NA,"","37"
"197",158421,"JS278","DSM 106790, VTT E-113202",1,1,"Acidipropionibacterium virtanenii","12-37"
"198",NA,"","",NA,NA,"","30"
"199",168482,"HW T5.17","DSM 111007, UBOCC M-3365",1,1,"Acidisoma cellulosilyticum","20"
"200",82,"TPB606","DSM 21000, VKM B-2487",1,1,"Acidisoma sibiricum","2.0-30.0"
"201",NA,"","",NA,NA,"","20"
"202",168457,"HW T2.11","UBOCC M-3364, DSM 111006",1,1,"Acidisoma silvae","20"
"203",81,"WM1","DSM 19999, VKM B-2488",1,1,"Acidisoma tundrae","2.0-30.0"
"204",NA,"","",NA,NA,"","20"
"205",67,"HS-AP3","DSM 16009, JCM 10600",1,1,"Acidisphaera rubrifaciens","20-40"
"206",NA,"","",NA,NA,"","30"
"207",17890,"IC-180","DSM 45281, JCM 15389",1,1,"Aciditerrimonas ferrireducens","50"
"208",128,"","DSM 14366, ATCC 35403",1,1,"Acidithiobacillus albertensis","30"
"209",126,"KU","DSM 8584, ATCC 51756",1,1,"Acidithiobacillus caldus","45"
"210",160797,"MG","DSM 107098, JCM 33084",1,1,"Acidithiobacillus ferrianus","30"
"211",130138,"11Fe","DSM 29468, ATCC 33020, JCM 18981",1,1,"Acidithiobacillus ferridurans","30"
"212",132357,"M20","DSM 100412, JCM 30830",1,1,"Acidithiobacillus ferriphilus","30"
"213",129,"NO-37","DSM 22755, JCM 15606",1,1,"Acidithiobacillus ferrivorans","30"
"214",118,"","DSM 14882, ATCC 23270, NCIMB 8455",1,1,"Acidithiobacillus ferrooxidans","25"
"215",159192,"CJ-2","DSM 105150, KCTC 4683",1,1,"Acidithiobacillus sulfuriphilus","15-30"
"216",NA,"","",NA,NA,"","28"
"217",NA,"","",NA,NA,"","30"
"218",125,"3/TA","DSM 14887, ATCC 19377, JCM 3867, NCIMB 8343, CIP 104597, IAM 12134",1,1,"Acidithiobacillus thiooxidans","25"
"219",NA,"","",NA,NA,"","30"
"220",133033,"PMMR2","DSM 27394, LMG 28340",1,1,"Acidobacterium ailaaui","15.0-55.0"
"221",NA,"","",NA,NA,"","40"
"222",131,"161","DSM 11244, ATCC 51196, JCM 7670, NCIMB 13165, BCRC 80197, IFO 15755, NBRC 15755",1,1,"Acidobacterium capsulatum","30"
"223",133532,"AL46","NBRC 104303, DSM 108313, VTCC D9-1",1,1,"Acidocella aluminiidurans","17-42"
"224",NA,"","",NA,NA,"","28"
"225",32,"","DSM 11237, ATCC 51361, JCM 8796",1,1,"Acidiphilium aminilyticum","37"
"226",158255,"Ok2G","DSM 104037, NBRC 112502",1,1,"Acidocella aquatica","28"
"227",NA,"","",NA,NA,"","4-35"
"228",23490,"PFBC","DSM 27026, NCCB 100456",1,1,"Acidocella aromatica","30"
"229",33,"MB 58","DSM 5432, ATCC 43581, IMET 10945, CCUG 37300, LMG 1668, JCM 6891, BCC 12263, BCRC 16049, CCM 4121, CIP 103167, NBRC 104435, NRIC 0498, VKM B-2104",1,1,"Acidomonas methanolica","30"
"230",140650,"11B","ATCC 43068",1,1,"Acidothermus cellulolyticus","37-70"
"231",2900,"P1G31","DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,1,"Acidovorax anthurii","25-37"
"232",NA,"","",NA,NA,"","28"
"233",NA,"","",NA,NA,"","30"
"234",2891,"","DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,1,"Acidovorax avenae","25"
"235",NA,"","",NA,NA,"","25-41"
"236",NA,"","",NA,NA,"","30"
"237",2903,"R-24608","DSM 19327, LMG 24103",1,1,"Acidovorax caeni","15-37"
"238",NA,"","",NA,NA,"","28"
"239",139835,"NA3","DSM 105008",1,1,"Acidovorax carolinensis","30"
"240",2902,"","DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,1,"Acidovorax cattleyae","25-37"
"241",NA,"","",NA,NA,"","28"
"242",NA,"","",NA,NA,"","30"
"243",2901,"","CCUG 17393, CIP 106436, DSM 17060, ATCC 29625, CCUG 1739, ICMP 7500, LMG 5376",1,1,"Acidovorax citrulli","25"
"244",NA,"","",NA,NA,"","28"
"245",2898,"","DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,1,"Acidovorax defluvii","30"
"246",NA,"","",NA,NA,"","5-30"
"247",2885,"133, FD-6","CCUG 1779, LMG 5943, DSM 64, ATCC 17505, DSM 50263, DSM 50403, CIP 103303, NCIMB 11476",1,1,"Acidovorax delafieldii","25"
"248",NA,"","",NA,NA,"","30"
"249",NA,"","",NA,NA,"","5-37"
"250",2888,"","DSM 649, ATCC 11228, CCUG 2113, LMG 6221, LMG 2193, CCM 4561, CIP 103302, NCIMB 9938",1,1,"Acidovorax facilis","10-30"
"251",NA,"","",NA,NA,"","25"
"252",NA,"","",NA,NA,"","30"
"253",158808,"KNDSW-TSA6","MTCC 12652, KCTC 52819, VTCC B-910010",1,1,"Acidovorax kalamii","20-37"
"254",2893,"K2","DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,1,"Acidovorax konjaci","25-37"
"255",NA,"","",NA,NA,"","28"
"256",NA,"","",NA,NA,"","30"
"257",164150,"","JCM 31890, KCTC 52220",1,1,"Acidovorax lacteus","25"
"258",2905,"N35","DSM 23535, LMG 25767",1,1,"Acidovorax radicis","10.0-35.0"
"259",NA,"","",NA,NA,"","28"
"260",2904,"BL21","DSM 25157, JCM 15909, KCTC 22399",1,1,"Acidovorax soli","10-42"
"261",NA,"","",NA,NA,"","28"
"262",NA,"","",NA,NA,"","30"
"263",2892,"","DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,1,"Acidovorax temperans","25"
"264",NA,"","",NA,NA,"","25-41"
"265",NA,"","",NA,NA,"","28"
"266",2899,"","DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,1,"Acidovorax valerianellae","10-30"
"267",NA,"","",NA,NA,"","25"
"268",NA,"","",NA,NA,"","28"
"269",23868,"NF 1078","DSM 27981, CCUG 62584, LMG 26971",1,1,"Acidovorax wautersii","28"
"270",23434,"T469","DSM 19572",1,1,"Aciduliprofundum boonei","70"
"271",156949,"","CCUG 67281, CCM 8611, CIP 111640, ANC 4874",1,1,"Acinetobacter albensis","30"
"272",157122,"","JCM 18575, KACC 16906, CCUG 69584",1,1,"Acinetobacter apis","25"
"273",NA,"","",NA,NA,"","30"
"274",8093,"2208, 81","DSM 30007, ATCC 19606, CIP 70.34, DSM 6974, JCM 6841, CCUG 19096, CGMCC 1.6769, IAM 12088, KCTC 2508, LMG 1041, LMG 10545, NBRC 109757, NCIMB 12457, NCTC 12156",1,1,"Acinetobacter baumannii","22-44"
"275",NA,"","",NA,NA,"","30"
"276",NA,"","",NA,NA,"","37"
"277",8126,"B2","DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,1,"Acinetobacter baylyi","10-41"
"278",NA,"","",NA,NA,"","30"
"279",NA,"","",NA,NA,"","30-37"
"280",8141,"58a","DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,1,"Acinetobacter beijerinckii","25-37"
"281",NA,"","",NA,NA,"","28"
"282",NA,"","",NA,NA,"","30"
"283",8145,"69","DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,1,"Acinetobacter bereziniae","10-37"
"284",NA,"","",NA,NA,"","25-38"
"285",NA,"","",NA,NA,"","30"
"286",132192,"","DSM 102855, CCM 8462, CCUG 63842, CIP 110496, ANC 3994",1,1,"Acinetobacter bohemicus","30"
"287",130449,"SAP284.1","DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,1,"Acinetobacter boissieri","04-30"
"288",NA,"","",NA,NA,"","30"
"289",8131,"4BO2, 4B02","CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,1,"Acinetobacter bouvetii","10-41"
