ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Motility
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,1,Achromobacter piechaudii,1
130144,"E38/27-S, R-16442","DSM 29617, CCUG 61972, LMG 26696, CIP 110842",1,1,Achromobacter pulmonis,1
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,1,Achromobacter ruhlandii,1
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,1,Achromobacter spanius,1
168915,,"LMG 30378, CCUG 71558",1,1,Achromobacter veterisilvae,1
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,1,Achromobacter xylosoxidans,1
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,1,Acidaminococcus fermentans,0
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,1,Acidaminococcus intestini,0
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,1,Acidibrevibacterium fodinaquatile,0
133383,SK-11,"DSM 100508, NBRC 111227",1,1,Acidicapsa acidisoli,0
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,1,Acidicapsa borealis,0
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,1,Acidicapsa dinghuensis,0
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,1,Acidicapsa ligni,0
6149,V6,"DSM 14174, JCM 32253",1,1,Acidihalobacter aeolianus,1
24820,V8,"DSM 14175, JCM 32254",1,1,Acidihalobacter ferrooxydans,1
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,1,Acidimicrobium ferrooxidans,1
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,1,Acidiphilium cryptum,1
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,1,Silvibacterium dinghuense,0
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,1,Acidipropionibacterium acidipropionici,0
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,1,Acidipropionibacterium jensenii,0
12656,M5,"DSM 13435, CIP 109962, CNCM I-2360",1,1,Acidipropionibacterium microaerophilum,0
130544,IGBL1,"DSM 25436, CECT 8061, KCTC 15514",1,1,Acidipropionibacterium olivae,0
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,1,Acidipropionibacterium thoenii,0
82,TPB606,"DSM 21000, VKM B-2487",1,1,Acidisoma sibiricum,0
81,WM1,"DSM 19999, VKM B-2488",1,1,Acidisoma tundrae,0
67,HS-AP3,"DSM 16009, JCM 10600",1,1,Acidisphaera rubrifaciens,0
160797,MG,"DSM 107098, JCM 33084",1,1,Acidithiobacillus ferrianus,1
132357,M20,"DSM 100412, JCM 30830",1,1,Acidithiobacillus ferriphilus,1
159192,CJ-2,"DSM 105150, KCTC 4683",1,1,Acidithiobacillus sulfuriphilus,1
125,3/TA,"DSM 14887, ATCC 19377, JCM 3867, NCIMB 8343, CIP 104597, IAM 12134",1,1,Acidithiobacillus thiooxidans,1
133033,PMMR2,"DSM 27394, LMG 28340",1,1,Acidobacterium ailaaui,0
133532,AL46,"NBRC 104303, DSM 108313, VTCC D9-1",1,1,Acidocella aluminiidurans,0
158255,Ok2G,"DSM 104037, NBRC 112502",1,1,Acidocella aquatica,0
2900,P1G31,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,1,Acidovorax anthurii,1
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,1,Acidovorax avenae,1
2903,R-24608,"DSM 19327, LMG 24103",1,1,Acidovorax caeni,1
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,1,Acidovorax cattleyae,1
2898,,"DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,1,Acidovorax defluvii,1
2885,"133, FD-6","CCUG 1779, LMG 5943, DSM 64, ATCC 17505, DSM 50263, DSM 50403, CIP 103303, NCIMB 11476",1,1,Acidovorax delafieldii,1
2888,,"DSM 649, ATCC 11228, CCUG 2113, LMG 6221, LMG 2193, CCM 4561, CIP 103302, NCIMB 9938",1,1,Acidovorax facilis,1
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,1,Acidovorax kalamii,1
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,1,Acidovorax konjaci,1
2905,N35,"DSM 23535, LMG 25767",1,1,Acidovorax radicis,1
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,1,Acidovorax soli,0
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,1,Acidovorax temperans,0
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,1,Acidovorax valerianellae,1
23868,NF 1078,"DSM 27981, CCUG 62584, LMG 26971",1,1,Acidovorax wautersii,1
156949,,"CCUG 67281, CCM 8611, CIP 111640, ANC 4874",1,1,Acinetobacter albensis,0
8093,"2208, 81","DSM 30007, ATCC 19606, CIP 70.34, DSM 6974, JCM 6841, CCUG 19096, CGMCC 1.6769, IAM 12088, KCTC 2508, LMG 1041, LMG 10545, NBRC 109757, NCIMB 12457, NCTC 12156",1,1,Acinetobacter baumannii,0
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,1,Acinetobacter baylyi,0
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,1,Acinetobacter beijerinckii,0
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,1,Acinetobacter bereziniae,0
132192,,"DSM 102855, CCM 8462, CCUG 63842, CIP 110496, ANC 3994",1,1,Acinetobacter bohemicus,0
130449,SAP284.1,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,1,Acinetobacter boissieri,0
8131,"4BO2, 4B02","CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,1,Acinetobacter bouvetii,0
8140,5YN5-8,"DSM 18516, CIP 110357, KACC 11602, CCUG 61636, CIP 110501, ANC 4119",1,1,Acinetobacter brisouii,0
8057,,"DSM 30006, ATCC 23055, CIP 81.08, CIP 81.8, LMD 22.16, CCUG 12804, LMG 1046, IFO 13718, Delft L360, JCM 6842, CECT 441, IAM 12087, KCTC 2357, LMG 10511, NBIMCC 3730, NBRC 13718, NCCB 22016, NCIMB 10694, NCTC 12983, VTT E-981117, LMD 98116",1,1,Acinetobacter calcoaceticus,0
133295,,"ANC 4603, CCM 8700, CCUG 69239, CNCTC 7549, CIP 111639",1,1,Acinetobacter celticus,0
164592,WCHAc060005,"JCM 33509, CCTCC AB 2019139, GDMCC 1.1622",1,1,Acinetobacter chengduensis,0
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,1,Acinetobacter colistiniresistens,0
139534,,"CIP 110480, NIPH 3623, ANC 3623, CCUG 67960, CCM 8635",1,1,Acinetobacter courvalinii,0
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,1,Acinetobacter defluvii,0
133175,JVAP01,"CECT 9134, LMG 29605",1,1,Acinetobacter lactucae,0
139490,,"CIP 110500, ANC 4105, CCUG 67961, CCM 8636",1,1,Acinetobacter dispersus,0
140912,114,"CCUG 65204, DSM 27228",1,1,Acinetobacter equi,0
8132,"9AO1, 9A01","DSM 14967, CIP 107464, CCM 7197",1,1,Acinetobacter gerneri,0
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, NCIMB 8250",1,1,Acinetobacter guillouiae,0
8142,1271,"DSM 22705, CCM 7267, CCUG 51248, NIPH 2150, RUH 422, CIP 110306",1,1,Acinetobacter gyllenbergii,0
8092,2446/60,"DSM 6962, ATCC 17906, CIP 64.3, NCTC 10305, CCUG 888, KCTC 12404, CCM 2358, LMG 996, NCIMB 12458",1,1,Acinetobacter haemolyticus,0
130451,CGMCC1.12528,"DSM 100418, CGMCC 1.12528, HITLi 7, KCTC 32411, CCUG 69700, CIP 110764",1,1,Acinetobacter harbinensis,0
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,1,Acinetobacter indicus,0
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154, LMG 999, NCIMB 12460",1,1,Acinetobacter johnsonii,0
8086,64.5,"DSM 6964, ATCC 17908, NCTC 10307, CCUG 889, KCTC 12406, CIP 64.5, CCM 2376, LMG 998, NCIMB 12459",1,1,Acinetobacter junii,0
24224,11-0202,"DSM 29071, JCM 18512, KCTC 32033, CCUG 69703, CIP 110699",1,1,Acinetobacter kookii,0
140631,,"CCUG 68785, NRRL B-41902",1,1,Acinetobacter lactucae,0
133403,BRTC-1,"ACCC 19936, JCM 31367",1,1,Acinetobacter larvae,0
8058,,"DSM 2403, ATCC 15309, CIP 644.10, JCM 6840, NCTC 5866, ATCC 17986, CCM 5581, CCUG 12805, CCUG 33984, CECT 453, CIP 64.10, LMG 1029, LMG 1240, NBRC 109760, NCIMB 12456, CIP 110687, KCTC 12407, NCIB 12456",1,1,Acinetobacter lwoffii,0
8137,SW-3,"DSM 16312, CIP 110634, KCTC 12259, CCUG 56484",1,1,Acinetobacter marinus,0
139492,,"CIP 110444, NIPH 236, CCUG 67964, CCM 8639",1,1,Acinetobacter modestus,0
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,1,Acinetobacter nectaris,0
132120,,"DSM 102856, CCM 7791, CNCTC 7433, LMG 10619, NIPH 2119, CCUG 61663, RUH 2376, CIP 110470",1,1,Acinetobacter nosocomialis,0
135099,B23,"CIP 110628, LMG 25575, CGMCC 1.10689, CCUG 69706",1,1,Acinetobacter oryzae,0
8139,,"DSM 16617, CCM 7030, CCUG 48866, LMG 21765, NIPH 384, LUH 4616, CIP 108168",1,1,Acinetobacter parvus,0
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,1,Acinetobacter piscicola,0
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,1,Acinetobacter pittii,0
133162,,"ANC 4149, CCM 8637, CCUG 67962, CNCTC 7530, CIP 111641",1,1,Acinetobacter pragensis,0
139427,,"CIP 110482, NIPH 809, CCUG 14818, CCUG 67965, CCM 8640",1,1,Acinetobacter proteolyticus,0
156978,,"CCUG 67963, CIP 111642, CCM 8638, ANC 5044",1,1,Acinetobacter pseudolwoffii,0
164465,S23,"JCM 33150, KACC 19921",1,1,Acinetobacter pullicarnis,0
132918,BQ4-1,"DSM 105039, CFCC 10780, JCM 18011, CCUG 69709, CIP 110585",1,1,Acinetobacter puyangensis,0
132921,2BJ1,"DSM 104971, CFCC 10890, KCTC 32225, CIP 110715",1,1,Acinetobacter qingfengensis,0
8096,FO-1,"DSM 6976, ATCC 43998, IAM 13186, CCUG 56440, CIP 103788, LMG 10613, JCM 9326, NBRC 102413, NCIMB 12753",1,1,Acinetobacter radioresistens,0
8147,G30,"DSM 24031, CCUG 57889, CECT 7818, LMG 26107, CIP 110305",1,1,Acinetobacter rudis,0
8134,,"DSM 16038, CNCTC 6736, LMG 19576, NIPH 1034, CCUG 45560, KCTC 12409, CIP 107287, LUH 5832",1,1,Acinetobacter schindleri,0
132199,Gerner-Smidt 10090,"DSM 102854, CCM 8535, CCUG 34785, CIP 110471, NIPH 973, NIPH 973 (<Gerner-Smidt 10090)",1,1,Acinetobacter seifertii,0
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,1,Acinetobacter sichuanensis,0
8143,"B1, CR11, IBFC2009","DSM 22956, JCM 15062, KCTC 22184, CCUG 59023, KCTC 22814, CIP 110264, CCTCC AB 209162",1,1,Acinetobacter soli,0
167144,KPC-SM-21,"DSM 102168, LMG 29413, CIP 111016",1,1,Acinetobacter stercoris,0
8133,4N13,"DSM 14970, CIP 107469, CCM 7199",1,1,Acinetobacter tandoii,0
8130,7N16,"DSM 14971, CIP 107465, CCUG 50768, CCM 7200",1,1,Acinetobacter tjernbergiae,0
8123,AB1110,"DSM 14962, CIP 107472, CCUG 50769, CCM 7201",1,1,Acinetobacter towneri,0
8135,,"CCUG 45559, ATCC BAA-617, KCTC 12410, CCM 7024, CIP 107286, DSM 16037, CNCTC 6735, LMG 19575, NIPH 137, LUH 3792",1,1,Acinetobacter ursingii,0
132198,strain Tjernberg & Ursing 151a,"DSM 102977, CCM 8555, CCUG 26390, CIP 110486, NIPH 2171",1,1,Acinetobacter variabilis,0
8144,"RAG-1, Vaneechoutte ACI 403","KCTC 2702, BCRC 14357, DSM 23050, ATCC 31012, CCUG 45561, LMG 19082, LUH 3904, NIPH 1925, CIP 110063",1,1,Acinetobacter venetianus,0
139493,,"CIP 110483, NIPH 2168, RUH 65, CCUG 67967, CCM 8642",1,1,Acinetobacter vivianii,0
134305,JC2129,"KCTC 12704, JCM 14002",1,1,Actibacter sediminis,0
24522,R46,"DSM 28448, CECT 7668, KCTC 23349",1,1,Actibacterium mucosum,0
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,1,Actibacterium pelagium,0
141055,LS-811,"BCRC 80823, JCM 30681",1,1,Actibacterium ureilyticum,1
23336,2614A723,"DSM 45727, CCTCC AA 2012001, JCM 31201",1,1,Actinoallomurus acanthiterrae,0
17007,TT00-28,"DSM 45447, KCTC 19537, NBRC 103682",1,1,Actinoallomurus amamiensis,0
132110,A3015,"DSM 45445, KCTC 19535, NBCR 103678, NBRC 103678",1,1,Actinoallomurus caesius,0
17008,TT04-09,"DSM 45450, KCTC 19542, NBRC 103688",1,1,Actinoallomurus coprocola,0
17010,TT02-47,"DSM 45448, KCTC 19539, NBRC 103685",1,1,Actinoallomurus iriomotensis,0
17011,TT02-15,"DSM 45452, KCTC 19538, NBRC 103683",1,1,Actinoallomurus luridus,0
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,1,Actinoallomurus purpureus,0
17006,"FYU A 116, A-116","DSM 43459, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, IFO 14099, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIB 11118, NRRL B-16128, IMSNU 20015, MTCC 2556, NCIMB 11118, CCRC 13386, BRCC 13386",1,1,Actinoallomurus spadix,0
17013,TTN02-22,"DSM 45451, KCTC 19540, NBRC 103686",1,1,Actinoallomurus yoronensis,0
13192,"Y388=As 4.1159, Y-388","DSM 43889, IFO 14455, IMET 43868, JCM 6095, NBRC 14455, NRRL B-16252, CGMCC 4.1159, CIP 106755, KCCM 12121, VKM Ac-1271, AS 4.1159",1,1,Actinoalloteichus caeruleus,0
13194,,"DSM 45092, CGMCC 4.2500, CIP 109428, JCM 13436, HPA 177, BCRC 16835, NCIMB 14383, NRRL B-24537",1,1,Actinoalloteichus hymeniacidonis,0
11691,F66,"DSM 26423, CCM 7846, CCUG 60324",1,1,Actinobacillus anseriformium,0
11688,P. 907,"DSM 22258, ATCC 13376, CCUG 24862, CIP 107664, MCCM 00398, CCM 5500, Wetmore 1706, HIM 1034-2",1,1,Actinobacillus arthritidis,0
11671,M906/93,"CCUG 41362, CIP 106129, NCIMB 13567, DSM 11374, NCTC 12870",1,1,Actinobacillus delphinicola,0
11689,PM 30/53,"ATCC 19392, MCCM 00142, DSM 19655, CCUG 2041, CIP 103284, JCM 2432, NCTC 8529, LMG 3736",1,1,Actinobacillus equuli,0
11690,"F 154, 8-11272","DSM 22436, CCUG 19799, NCTC 13195, CIP 107709",1,1,Actinobacillus equuli subsp. haemolyticus,0
11677,"12, P 578, P578","DSM 22262, ATCC 49457, CCUG 19800, CIP 102631, NCTC 11529",1,1,Actinobacillus hominis,0
11685,46KC2,"DSM 22264, CCUG 39029, CIP 105316",1,1,Actinobacillus indolicus,0
138198,"NM305, NM 305","CIP 105314, CCUG 38923, DSM 113419",1,1,Actinobacillus minor,0
11684,"NM319, NM 319","DSM 22435, CCUG 38924, CIP 105315",1,1,Actinobacillus porcinus,0
173546,192,"CIP 102634, ATCC 27072, CCM 5946, NCTC 10801",1,1,Actinobacillus rossii,0
11686,M2000/95/1,"DSM 22205, CCUG 46379, CIP 105697, NCTC 12922",1,1,Actinobacillus scotiae,0
11683,"5, A51 and A65, K3844/C","DSM 22263, ATCC 15768, CCUG 27187, CIP 102633, NCTC 10851, Simmons K3844-C",1,1,Actinobacillus seminis,0
11687,130Z,"DSM 22257, ATCC 55618, CCUG 43843, CIP 106512",1,1,Actinobacillus succinogenes,0
11682,1276/61,"DSM 22433, ATCC 33415, CCM 5586, CCUG 11624, CIP 103354, NCTC 12996",1,1,Actinobacillus suis,0
11670,3520/59,"DSM 5568, ATCC 25976, NCTC 10219, CCUG 2139, CIP 62.8, CCM 5774",1,1,Actinobacillus ureae,0
166219,W1618,"LMG 30745, NCTC 14090",1,1,Actinobacillus vicugnae,0
137579,,"CIP 108856, CRIB 21",1,1,Actinobaculum lemanensis,0
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,1,Actinobaculum massiliense,0
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,1,Actinobaculum suis,0
135256,101342,CIP 107936,1,1,Actinobaculum timonae,1
7796,KV-744,"DSM 45336, NBRC 101916, NRRL B-24477, JCM 15920",1,1,Actinocatenispora sera,0
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,1,Actinocatenispora thailandica,0
132532,3H-GS17,"DSM 100595, CGMCC 4.7282, JCM 31763",1,1,Actinocorallia lasiicapitis,0
16913,I-497,"DSM 44361, CIP 105488, IFO 15961, JCM 9377, NBRC 15961, IMSNU 22180, NCIMB 14385",1,1,Actinocorallia longicatena,0
132014,OB1,"DSM 45618, ATCC BAA-2771",1,1,Actinocrinis puniceicyclus,0
132668,MI503-A4,"DSM 45934, NBRC 109632",1,1,Actinocrispum wychmicini,0
140670,R434,"KEMB 9005-403, KACC 18904, JCM 31557",1,1,Actinokineospora acnipugnans,0
13206,YU 961-1,"DSM 44650, IFO 16518, NBRC 16518, JCM 11646, CIP 107896",1,1,Actinokineospora auranticolor,0
13207,ID 03-0561,"DSM 45656, BTCC B554, NBRC 104211",1,1,Actinokineospora baliensis,1
24443,44EHW,"DSM 46700, BCC 53155, NBRC 108932",1,1,Actinokineospora bangkokensis,0
13209,ID 03-0810,"DSM 45657, BTCC B-558, NBRC 105526",1,1,Actinokineospora cianjurensis,1
13208,ID 03-0784,"DSM 45658, BTCC B555, NBRC 104212",1,1,Actinokineospora cibodasensis,1
13205,YU 924-101,"DSM 44649, IFO 16517, NBRC 16517, JCM 11647, CIP 107895",1,1,Actinokineospora enzanensis,0
13210,,"DSM 45613, JCM 17695, YIM 75948, NBRC 111522",1,1,Actinokineospora soli,0
132565,ACD12,"DSM 46745, CECT 8842, JCM 31696",1,1,Actinomadura adrarensis,0
16995,,"DSM 45045, CCTCC AA 206005, CIP 109812, JCM 14906, NBRC 103884, YIM 45681",1,1,Actinomadura alba,0
16924,SF2197,"DSM 43919, IFO 14695, JCM 6250, NBRC 14695, CGMCC 4.2100, CIP 107393, HUT 6547, IMSNU 22157, IMSNU 22161, KCTC 9620, MTCC 2560, NCIMB 12618",1,1,Actinomadura atramentaria,0
158373,,"DSM 108647, NBRC 113074, TBRC 7225, GKU 128",1,1,Actinomadura barringtoniae,0
16988,3.24,"DSM 44772, AS 4.1522, IFO 16341, NBRC 16341, JCM 10667, CGMCC 4.1522, CIP 107903",1,1,Actinomadura catellatispora,0
158480,LHW63021,"DSM 106125, CCTCC AA 2018015",1,1,Actinomadura craniellae,0
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,1,Actinomadura flavalba,0
16966,C-36820,"DSM 43997, ATCC 49059, IFO 14204, JCM 7474, NBRC 14204, BCRC 16355, CIP 105595, IFO 15870, IMSNU 22194, KCTC 9647, LMG 29178, NBRC 15870, NCIMB 12773, NRRL B-16984, VKM Ac-1954",1,1,Actinomadura formosensis,0
17005,A8036,"DSM 45508, KCTC 19868, JCM 19952",1,1,Actinomadura geliboluensis,0
16987,80-60,"DSM 44770, AS 4.1202, CIP 107902, DSM 43891, IFO 14668, JCM 6161, NBRC 14668, VKM Ac-1273, CGMCC 4.1202",1,1,Actinomadura glauciflava,0
16998,WCC-2265,"DSM 45195, BCC 72026, CCUG 56181, NBRC 105837, JCM 17316, TBRC 4745",1,1,Actinomadura keratinilytica,0
16931,S-0203,"DSM 40398, ATCC 25469, CBS 702.69, CGMCC AS 4.1382, IFO 13057, ISP 5398, JCM 4203, KCC S-0203, KCC S-0491, NBRC 13057, RIA 1249, OEU 719, BCRC 16250, CECT 3283, CGMCC 4.1382, CGMCC 4.1516, CIP 105484, IMET 9672, IMSNU 20009, JCM 4491, KCTC 9341, NRRL B-12327, VKM Ac-1509",1,1,Actinomadura luteofluorescens,0
