ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet
131392,ST07-YE,"DSM 27512, JCM 19400",1,1,"Acetoanaerobium pronyense",Acetoanaerobium,pronyense
2717,HF,"DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485",1,1,"Acetoanaerobium sticklandii",Acetoanaerobium,sticklandii
2,"L 40","DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,1,"Acetobacter aceti",Acetobacter,aceti
163302,,"JCM 25076, LMG 1590",1,1,"Acetobacter pasteurianus",Acetobacter,pasteurianus
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,1,"Acetobacter cerevisiae",Acetobacter,cerevisiae
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,1,"Acetobacter cibinongensis",Acetobacter,cibinongensis
167133,,"LMG 1627, NCIMB 8945",1,1,"Acetobacter conturbans",Acetobacter,conturbans
10,,"DSM 4493, ATCC 23753, CCUG 18130, IAM 14359, LMG 1626, NCIMB 8935, JCM 21172, BCRC 12953, CCM 3613, IFO 13751, NBRC 13751",1,1,"Acetobacter estunensis",Acetobacter,estunensis
23,"985, R-36330","DSM 19596, LMG 24244",1,1,"Acetobacter fabarum",Acetobacter,fabarum
166754,,"NCIMB 8956, LMG 1636",1,1,"Acetobacter fallax",Acetobacter,fallax
167683,"G360-1, PCU 319","BCC 44845, NBRC 107750",1,1,"Acetobacter farinalis",Acetobacter,farinalis
167103,MS16-SU-2,"LMG 32243T, TBRC 12339T",1,1,"Acetobacter garciniae",Acetobacter,garciniae
22,"430A, R-29337","DSM 18895, LMG 23848",1,1,"Acetobacter ghanensis",Acetobacter,ghanensis
18,5H-1,"DSM 15552, IFO 16471, JCM 10948, NBRC 16471, NRIC 0313, BCRC 17167, LMG 19824",1,1,"Acetobacter indonesiensis",Acetobacter,indonesiensis
23489,R-49742,"DSM 27328, LMG 27439",1,1,"Acetobacter lambici",Acetobacter,lambici
9,,"DSM 4491, ATCC 12875, CCUG 18127, IMET 10734, JCM 17121, LMD 31.2, LMG 1579, LMG 1617, NCIMB 8620, CCM 3606, ICMP 8610, IFO 13753, NBRC 13753, NCCB 31002",1,1,"Acetobacter lovaniensis",Acetobacter,lovaniensis
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,1,"Acetobacter malorum",Acetobacter,malorum
132413,Bo7,"DSM 23824, CECT 7722",1,1,"Acetobacter musti",Acetobacter,musti
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,1,"Acetobacter nitrogenifigens",Acetobacter,nitrogenifigens
132838,"B 13","DSM 17891, CECT 5830, LMG 21952",1,1,"Acetobacter oeni",Acetobacter,oeni
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,1,"Acetobacter oeni",Acetobacter,oeni
163333,,"JCM 25146, KACC 19723, LMG 26457, NBRC 111467, NRIC 0658",1,1,"Acetobacter okinawensis",Acetobacter,okinawensis
16,21F-2,"DSM 15550, IFO 16606, JCM 1195, NBRC 16606, NRIC 0481, CIP 107379",1,1,"Acetobacter orientalis",Acetobacter,orientalis
8,,"DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463",1,1,"Acetobacter orleanensis",Acetobacter,orleanensis
163947,,"JCM 31096, KACC 19301, LMG 31327",1,1,"Acetobacter oryzifermentans",Acetobacter,oryzifermentans
164536,,"JCM 33371, KACC 21201",1,1,"Acetobacter oryzoeni",Acetobacter,oryzoeni
163331,,"JCM 25143, KACC 19722, LMG 26456, NBRC 111466, NRIC 0655",1,1,"Acetobacter papayae",Acetobacter,papayae
4,190,"DSM 3509, ATCC 33445, LMD 22.1, JCM 7640, BCRC 14145, CCM 2374, CCUG 18125, CGMCC 1.1810, CIP 103108, ICMP 8808, LMG 1262, NBRC 106471, NCCB 22001, NCIMB 12228, VTT E-97830, IMET 10733",1,1,"Acetobacter pasteurianus",Acetobacter,pasteurianus
163337,,"JCM 25330, KACC 19724, LMG 26458, NBRC 111468, NRIC 0961",1,1,"Acetobacter persici",Acetobacter,persici
11,,"DSM 11825, LTH 2458, CIP 105762",1,1,"Acetobacter pomorum",Acetobacter,pomorum
167334,VTH-­Ai14,"BCC 67843, NRIC 0977, TBRC 11175, VTCC 910031",1,1,"Acetobacter sacchari",Acetobacter,sacchari
21,CWBI-B418,"DSM 18889, LMG 23690",1,1,"Acetobacter senegalensis",Acetobacter,senegalensis
167819,"NCIB 8941","LMG 1531, NCIMB 8941",1,1,"Acetobacter sicerae",Acetobacter,sicerae
167719,AI32,"BCC 26087, NBRC 111399",1,1,"Acetobacter suratthaniensis",Acetobacter,suratthaniensis
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,1,"Acetobacter syzygii",Acetobacter,syzygii
168976,AD25,"BCC 15839, NBRC 103583",1,1,"Acetobacter thailandicus",Acetobacter,thailandicus
17,,"DSM 15551, IFO 16470, NBRC 16470, NRIC 0312, JCM 10947, BCRC 17166, LMG 19825",1,1,"Acetobacter tropicalis",Acetobacter,tropicalis
170685,C17-3,"KACC 21233, LMG 31758",1,1,"Acetobacter vaccinii",Acetobacter,vaccinii
5409,"Z-4391, Z-S11","DSM 8239",1,1,"Acetobacterium bakii",Acetobacterium,bakii
5399,,"DSM 2925, WoProp 1",1,1,"Acetobacterium carbinolicum",Acetobacterium,carbinolicum
5408,"Z-4290, Z-M13","DSM 8238",1,1,"Acetobacterium fimetarium",Acetobacterium,fimetarium
5400,"MuME 1","DSM 4132",1,1,"Acetobacterium malicum",Acetobacterium,malicum
5407,"Z-4092, Z-B12","DSM 8237",1,1,"Acetobacterium paludosum",Acetobacterium,paludosum
5411,Z-4493,"DSM 9173",1,1,"Acetobacterium tundrae",Acetobacterium,tundrae
5401,C,"DSM 1911, ATCC 43740, JCM 2380",1,1,"Acetobacterium wieringae",Acetobacterium,wieringae
5402,,"DSM 1030, ATCC 29683, JCM 2381, WB 1",1,1,"Acetobacterium woodii",Acetobacterium,woodii
131580,RL-C,"DSM 24657, CGMCC 1.5173, JCM 17603",1,1,"Acetobacteroides hydrogenigenes",Acetobacteroides,hydrogenigenes
168291,MN,"DSM 20769",1,1,"Acetofilamentum rigidum",Acetofilamentum,rigidum
5978,Z-7288,"DSM 5501, ATCC 49924",1,1,"Acetohalobium arabaticum",Acetohalobium,arabaticum
1580,P,"DSM 20664, ATCC 43122",1,1,"Acetomicrobium flavidum",Acetomicrobium,flavidum
17779,OS1,"DSM 22491, ATCC BAA-1850",1,1,"Acetomicrobium hydrogeniformans",Acetomicrobium,hydrogeniformans
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,1,"Acetomicrobium mobile",Acetomicrobium,mobile
17778,RWcit2,"DSM 13490, ACM 5076",1,1,"Acetomicrobium thermoterrenum",Acetomicrobium,thermoterrenum
17111,APO-1,"DSM 6540, ATCC 51454",1,1,"Acetonema longum",Acetonema,longum
168033,TN,"DSM 20768",1,1,"Acetothermus paucivorans",Acetothermus,paucivorans
168738,S-743,"ATCC 25176, NCTC 10138",1,1,"Acholeplasma axanthum",Acholeplasma,axanthum
167887,0502,"ATCC 49388",1,1,"Acholeplasma brassicae",Acholeplasma,brassicae
167728,,"ATCC 29724, NCTC 10171",1,1,"Acholeplasma equifetale",Acholeplasma,equifetale
159212,N93,"DSM 106692, NCTC 14351, ATCC TSD-139",1,1,"Acholeplasma equirhinis",Acholeplasma,equirhinis
168827,,"NBRC 14847, ATCC 19168, NCTC 10128, IFO 14847",1,1,"Acholeplasma granularum",Acholeplasma,granularum
167814,,"NCTC 10172, ATCC 29725",1,1,"Acholeplasma hippikon",Acholeplasma,hippikon
97,"PG 8, PG8","DSM 23060, ATCC 23206, CIP 75.27, IFO (now NBRC) 14400, NCTC 10116, CCUG 32754",1,1,"Acholeplasma laidlawii",Acholeplasma,laidlawii
168793,"PG 49","NCTC 10134, ATCC 29102",1,1,"Acholeplasma modicum",Acholeplasma,modicum
167571,72-043,"NCTC 10188, ATCC 33211",1,1,"Acholeplasma morum",Acholeplasma,morum
169011,PN525,"ATCC 49900, NCTC 11723",1,1,"Acholeplasma multilocale",Acholeplasma,multilocale
167615,"19L ATCC 27350","ATCC 27350, NCTC 10150",1,1,"Acholeplasma oculi",Acholeplasma,oculi
168834,H23M,"ATCC 29892, NCTC 10198",1,1,"Acholeplasma parvum",Acholeplasma,parvum
135224,"FC 097-2","CIP 107001, ATCC 700667",1,1,"Acholeplasma vituli",Acholeplasma,vituli
156528,"LiPuma AU4014, Vandamme R-31134","CCUG 62438, LMG 26852, CIP 110713",1,1,"Achromobacter aegrifaciens",Achromobacter,aegrifaciens
140509,,"LMG 3411, CCUG 62454",1,1,"Achromobacter agilis",Achromobacter,agilis
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,1,"Achromobacter aloeverae",Achromobacter,aloeverae
130142,"AU15230, AU 15230, R-46662","DSM 29601, CCUG 61966, LMG 26690, CIP 110841",1,1,"Achromobacter animicus",Achromobacter,animicus
156534,"Vandamme R-47433, LiPuma AU11412","CCUG 62444, LMG 26857, CIP 110712",1,1,"Achromobacter anxifer",Achromobacter,anxifer
140506,,"LMG 3458, CCUG 62433",1,1,"Achromobacter deleyi",Achromobacter,deleyi
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,1,"Achromobacter denitrificans",Achromobacter,denitrificans
134918,"Vandamme R-47430, LiPuma AU4012","CIP 110711, LMG 26840, CCUG 62421",1,1,"Achromobacter dolens",Achromobacter,dolens
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,1,"Achromobacter insolitus",Achromobacter,insolitus
136698,"LiPuma AU15210, Vandamme R-47438","CIP 110710, LMG 26845, CCUG 62426",1,1,"Achromobacter insuavis",Achromobacter,insuavis
140507,,"CCUG 62449, LMG 3441",1,1,"Achromobacter kerstersii",Achromobacter,kerstersii
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,1,"Achromobacter marplatensis",Achromobacter,marplatensis
130143,"AU 13054, R-46658","DSM 29602, LMG 26685, CCUG 61961, CIP 110844",1,1,"Achromobacter mucicolens",Achromobacter,mucicolens
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,1,"Achromobacter pestifer",Achromobacter,pestifer
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,1,"Achromobacter piechaudii",Achromobacter,piechaudii
130144,"E38/27-S, R-16442","DSM 29617, CCUG 61972, LMG 26696, CIP 110842",1,1,"Achromobacter pulmonis",Achromobacter,pulmonis
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,1,"Achromobacter ruhlandii",Achromobacter,ruhlandii
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,1,"Achromobacter spanius",Achromobacter,spanius
168915,,"LMG 30378, CCUG 71558",1,1,"Achromobacter veterisilvae",Achromobacter,veterisilvae
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,1,"Achromobacter xylosoxidans",Achromobacter,xylosoxidans
17960,,"DSM 2784, Glu 65, CIP 106102",1,1,"Acidaminobacter hydrogenoformans",Acidaminobacter,hydrogenoformans
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,1,"Acidaminococcus fermentans",Acidaminococcus,fermentans
170399,"NSJ 142","KCTC 25346, CGMCC 1.17903",1,1,"Acidaminococcus hominis",Acidaminococcus,hominis
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,1,"Acidaminococcus intestini",Acidaminococcus,intestini
16643,,"DSM 3772, JCM 9191, LEI 10",1,1,"Acidianus ambivalens",Acidianus,ambivalens
16640,,"DSM 1651, IFO 15269, NBRC 15269",1,1,"Acidianus brierleyi",Acidianus,brierleyi
16642,So4a,"DSM 3191, NBRC 106462, JCM 8955, IFO 15270, NBRC 15270",1,1,"Acidianus infernus",Acidianus,infernus
16644,JP7,"DSM 18786, JCM 13667",1,1,"Acidianus sulfidivorans",Acidianus,sulfidivorans
132568,,"DSM 27237, NCCB 100460, MCF 85",1,1,"Acidibacter ferrireducens",Acidibacter,ferrireducens
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,1,"Acidibrevibacterium fodinaquatile",Acidibrevibacterium,fodinaquatile
79,Y008,"DSM 16953",1,1,"Acidicaldus organivorans",Acidicaldus,organivorans
133054,,"DSM 29819, NCCB 100576, MCF 10",1,1,"Acidicapsa acidiphila",Acidicapsa,acidiphila
133383,SK-11,"DSM 100508, NBRC 111227",1,1,"Acidicapsa acidisoli",Acidicapsa,acidisoli
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,1,"Acidicapsa borealis",Acidicapsa,borealis
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,1,"Acidicapsa dinghuensis",Acidicapsa,dinghuensis
133053,,"DSM 28997, NCCB 100575, MCF 9",1,1,"Acidicapsa ferrireducens",Acidicapsa,ferrireducens
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,1,"Acidicapsa ligni",Acidicapsa,ligni
159903,"RGM 2506, USS-CCA1","DSM 106828",1,1,"Acidiferrimicrobium australe",Acidiferrimicrobium,australe
4303,m-1,"DSM 2392, JCM 17358",1,1,"Acidiferrobacter thiooxydans",Acidiferrobacter,thiooxydans
6149,V6,"DSM 14174, JCM 32253",1,1,"Acidihalobacter aeolianus",Acidihalobacter,aeolianus
24820,V8,"DSM 14175, JCM 32254",1,1,"Acidihalobacter ferrooxydans",Acidihalobacter,ferrooxydans
6148,LM3,"DSM 5130, JCM 30709",1,1,"Acidihalobacter prosperus",Acidihalobacter,prosperus
160601,F5,"DSM 105917, JCM 32255",1,1,"Acidihalobacter yilgarnensis",Acidihalobacter,yilgarnensis
17799,1904,"DSM 11585, ATCC BAA-268, JCM 11320",1,1,"Acidilobus aceticus",Acidilobus,aceticus
17800,345-15,"DSM 16705, JCM 18335, VKM B-2471",1,1,"Acidilobus saccharovorans",Acidilobus,saccharovorans
164656,,"JCM 33804, MCCC 1K03817",1,1,"Acidiluteibacter ferrifornacis",Acidiluteibacter,ferrifornacis
170480,JN-28,"JCM 39087, CCAM 418",1,1,"Acidilutibacter cellobiosedens",Acidilutibacter,cellobiosedens
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,1,"Acidimangrovimonas sediminis",Acidimangrovimonas,sediminis
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,1,"Acidimicrobium ferrooxidans",Acidimicrobium,ferrooxidans
30,,"DSM 700, ATCC 27807, CIP 104483",1,1,"Acidiphilium acidophilum",Acidiphilium,acidophilum
168531,KLB,"NCCB 86036, ATCC 35903",1,1,"Acidiphilium angustum",Acidiphilium,angustum
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,1,"Acidiphilium cryptum",Acidiphilium,cryptum
167073,MS8,"KCTC 23505, NBRC 107608",1,1,"Acidiphilium iwatense",Acidiphilium,iwatense
31,,"DSM 11245, JCM 8867, NBRC 100785, NBRC 100883",1,1,"Acidiphilium multivorum",Acidiphilium,multivorum
168238,,"NCCB 86037, ATCC 43141",1,1,"Acidiphilium organovorum",Acidiphilium,organovorum
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,1,"Silvibacterium dinghuense",Silvibacterium,dinghuense
132249,AP8,"DSM 103428, KCTC 23427, NBRC 107607",1,1,"Acidipila rosea",Acidipila,rosea
5459,V,"DSM 18409, JCM 14615",1,1,"Acidiplasma aeolicum",Acidiplasma,aeolicum
5460,BH2,"DSM 16651, JCM 13668",1,1,"Acidiplasma cupricumulans",Acidiplasma,cupricumulans
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,1,"Acidipropionibacterium acidipropionici",Acidipropionibacterium,acidipropionici
130545,IGBL13,"DSM 25450, CECT 8062",1,1,"Acidipropionibacterium damnosum",Acidipropionibacterium,damnosum
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,1,"Acidipropionibacterium jensenii",Acidipropionibacterium,jensenii
12656,M5,"DSM 13435, CIP 109962, CNCM I-2360",1,1,"Acidipropionibacterium microaerophilum",Acidipropionibacterium,microaerophilum
130544,IGBL1,"DSM 25436, CECT 8061, KCTC 15514",1,1,"Acidipropionibacterium olivae",Acidipropionibacterium,olivae
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,1,"Acidipropionibacterium thoenii",Acidipropionibacterium,thoenii
158421,JS278,"DSM 106790, VTT E-113202",1,1,"Acidipropionibacterium virtanenii",Acidipropionibacterium,virtanenii
169956,SBC82,"KCTC 82304, VKM B-3225",1,1,"Acidisarcina polymorpha",Acidisarcina,polymorpha
168482,"HW T5.17","DSM 111007, UBOCC M-3365",1,1,"Acidisoma cellulosilyticum",Acidisoma,cellulosilyticum
82,TPB606,"DSM 21000, VKM B-2487",1,1,"Acidisoma sibiricum",Acidisoma,sibiricum
168457,"HW T2.11","UBOCC M-3364, DSM 111006",1,1,"Acidisoma silvae",Acidisoma,silvae
81,WM1,"DSM 19999, VKM B-2488",1,1,"Acidisoma tundrae",Acidisoma,tundrae
67,HS-AP3,"DSM 16009, JCM 10600",1,1,"Acidisphaera rubrifaciens",Acidisphaera,rubrifaciens
17890,IC-180,"DSM 45281, JCM 15389",1,1,"Aciditerrimonas ferrireducens",Aciditerrimonas,ferrireducens
128,,"DSM 14366, ATCC 35403",1,1,"Acidithiobacillus albertensis",Acidithiobacillus,albertensis
126,KU,"DSM 8584, ATCC 51756",1,1,"Acidithiobacillus caldus",Acidithiobacillus,caldus
160797,MG,"DSM 107098, JCM 33084",1,1,"Acidithiobacillus ferrianus",Acidithiobacillus,ferrianus
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,1,"Acidithiobacillus ferridurans",Acidithiobacillus,ferridurans
132357,M20,"DSM 100412, JCM 30830",1,1,"Acidithiobacillus ferriphilus",Acidithiobacillus,ferriphilus
129,NO-37,"DSM 22755, JCM 15606",1,1,"Acidithiobacillus ferrivorans",Acidithiobacillus,ferrivorans
118,,"DSM 14882, ATCC 23270, NCIMB 8455",1,1,"Acidithiobacillus ferrooxidans",Acidithiobacillus,ferrooxidans
159192,CJ-2,"DSM 105150, KCTC 4683",1,1,"Acidithiobacillus sulfuriphilus",Acidithiobacillus,sulfuriphilus
125,3/TA,"DSM 14887, ATCC 19377, JCM 3867, NCIMB 8343, CIP 104597, IAM 12134",1,1,"Acidithiobacillus thiooxidans",Acidithiobacillus,thiooxidans
133033,PMMR2,"DSM 27394, LMG 28340",1,1,"Acidobacterium ailaaui",Acidobacterium,ailaaui
131,161,"DSM 11244, ATCC 51196, JCM 7670, NCIMB 13165, BCRC 80197, IFO 15755, NBRC 15755",1,1,"Acidobacterium capsulatum",Acidobacterium,capsulatum
133532,AL46,"NBRC 104303, DSM 108313, VTCC D9-1",1,1,"Acidocella aluminiidurans",Acidocella,aluminiidurans
32,,"DSM 11237, ATCC 51361, JCM 8796",1,1,"Acidiphilium aminilyticum",Acidiphilium,aminilyticum
158255,Ok2G,"DSM 104037, NBRC 112502",1,1,"Acidocella aquatica",Acidocella,aquatica
23490,PFBC,"DSM 27026, NCCB 100456",1,1,"Acidocella aromatica",Acidocella,aromatica
33,"MB 58","DSM 5432, ATCC 43581, IMET 10945, CCUG 37300, LMG 1668, JCM 6891, BCC 12263, BCRC 16049, CCM 4121, CIP 103167, NBRC 104435, NRIC 0498, VKM B-2104",1,1,"Acidomonas methanolica",Acidomonas,methanolica
140650,11B,"ATCC 43068",1,1,"Acidothermus cellulolyticus",Acidothermus,cellulolyticus
166902,16-35-5,"CCTCC AB 2019325, KCTC 72915",1,1,"Comamonas antarctica",Comamonas,antarctica
2900,P1G31,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,1,"Acidovorax anthurii",Acidovorax,anthurii
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,1,"Acidovorax avenae",Acidovorax,avenae
2903,R-24608,"DSM 19327, LMG 24103",1,1,"Acidovorax caeni",Acidovorax,caeni
139835,NA3,"DSM 105008",1,1,"Acidovorax carolinensis",Acidovorax,carolinensis
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,1,"Acidovorax cattleyae",Acidovorax,cattleyae
2901,,"CCUG 17393, CIP 106436, DSM 17060, ATCC 29625, CCUG 1739, ICMP 7500, LMG 5376",1,1,"Acidovorax citrulli",Acidovorax,citrulli
2898,,"DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,1,"Acidovorax defluvii",Acidovorax,defluvii
2885,"133, FD-6","CCUG 1779, LMG 5943, DSM 64, ATCC 17505, DSM 50263, DSM 50403, CIP 103303, NCIMB 11476",1,1,"Acidovorax delafieldii",Acidovorax,delafieldii
2888,,"DSM 649, ATCC 11228, CCUG 2113, LMG 6221, LMG 2193, CCM 4561, CIP 103302, NCIMB 9938",1,1,"Acidovorax facilis",Acidovorax,facilis
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,1,"Acidovorax kalamii",Acidovorax,kalamii
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,1,"Acidovorax konjaci",Acidovorax,konjaci
164150,,"JCM 31890, KCTC 52220",1,1,"Acidovorax lacteus",Acidovorax,lacteus
168952,K-4-16,"KACC 19171, KEMB 9005-570, NBRC 113141",1,1,"Acidovorax monticola",Acidovorax,monticola
2905,N35,"DSM 23535, LMG 25767",1,1,"Acidovorax radicis",Acidovorax,radicis
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,1,"Acidovorax soli",Acidovorax,soli
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,1,"Acidovorax temperans",Acidovorax,temperans
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,1,"Acidovorax valerianellae",Acidovorax,valerianellae
23868,"NF 1078","DSM 27981, CCUG 62584, LMG 26971",1,1,"Acidovorax wautersii",Acidovorax,wautersii
23434,T469,"DSM 19572",1,1,"Aciduliprofundum boonei",Aciduliprofundum,boonei
