ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,Antibiotic sensitivity,Metabolite (antibiotic)
,,,,,,,,1,tigecycline
,,,,,,,,1,trimethoprim
8096,FO-1,"DSM 6976, ATCC 43998, IAM 13186, CCUG 56440, CIP 103788, LMG 10613, JCM 9326, NBRC 102413, NCIMB 12753",1,1,Acinetobacter radioresistens,Acinetobacter,radioresistens,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,1,Actibacterium pelagium,Actibacterium,pelagium,1,amoxicillin
,,,,,,,,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,cefoxitin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,kanamycin
,,,,,,,,1,nitrofurantoin
,,,,,,,,1,novobiocin
,,,,,,,,1,penicillin
17006,"FYU A 116, A-116","DSM 43459, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, IFO 14099, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIB 11118, NRRL B-16128, IMSNU 20015, MTCC 2556, NCIMB 11118, CCRC 13386, BRCC 13386",1,1,Actinoallomurus spadix,Actinoallomurus,spadix,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
13192,"Y388=As 4.1159, Y-388","DSM 43889, IFO 14455, IMET 43868, JCM 6095, NBRC 14455, NRRL B-16252, CGMCC 4.1159, CIP 106755, KCCM 12121, VKM Ac-1271, AS 4.1159",1,1,Actinoalloteichus caeruleus,Actinoalloteichus,caeruleus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
11688,P. 907,"DSM 22258, ATCC 13376, CCUG 24862, CIP 107664, MCCM 00398, CCM 5500, Wetmore 1706, HIM 1034-2",1,1,Actinobacillus arthritidis,Actinobacillus,arthritidis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
11676,"11-61, P243","DSM 19761, ATCC 51571, CCUG 12396, CIP 103283, NCTC 11408",1,1,Actinobacillus capsulatus,Actinobacillus,capsulatus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
11671,M906/93,"CCUG 41362, CIP 106129, NCIMB 13567, DSM 11374, NCTC 12870",1,1,Actinobacillus delphinicola,Actinobacillus,delphinicola,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
11690,"F 154, 8-11272","DSM 22436, CCUG 19799, NCTC 13195, CIP 107709",1,1,Actinobacillus equuli subsp. haemolyticus,Actinobacillus,equuli,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
11677,"12, P 578, P578","DSM 22262, ATCC 49457, CCUG 19800, CIP 102631, NCTC 11529",1,1,Actinobacillus hominis,Actinobacillus,hominis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
11685,46KC2,"DSM 22264, CCUG 39029, CIP 105316",1,1,Actinobacillus indolicus,Actinobacillus,indolicus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
138198,"NM305, NM 305","CIP 105314, CCUG 38923, DSM 113419",1,1,Actinobacillus minor,Actinobacillus,minor,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
11672,4074,"DSM 13472, ATCC 27088, CCM 5869, Shope 4074, CIP 100916, CCUG 41656",1,1,Actinobacillus pleuropneumoniae,Actinobacillus,pleuropneumoniae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
11684,"NM319, NM 319","DSM 22435, CCUG 38924, CIP 105315",1,1,Actinobacillus porcinus,Actinobacillus,porcinus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
173546,192,"CIP 102634, ATCC 27072, CCM 5946, NCTC 10801",1,1,Actinobacillus rossii,Actinobacillus,rossii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
11686,M2000/95/1,"DSM 22205, CCUG 46379, CIP 105697, NCTC 12922",1,1,Actinobacillus scotiae,Actinobacillus,scotiae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
11670,3520/59,"DSM 5568, ATCC 25976, NCTC 10219, CCUG 2139, CIP 62.8, CCM 5774",1,1,Actinobacillus ureae,Actinobacillus,ureae,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,1,Actinobaculum massiliense,Actinobaculum,massiliense,1,amoxicillin
,,,,,,,,1,cefotaxime
,,,,,,,,1,ceftriaxone
,,,,,,,,1,clavulanic acid
,,,,,,,,1,doxycycline
,,,,,,,,1,erythromycin
,,,,,,,,1,fosfomycin
,,,,,,,,1,imipenem
,,,,,,,,1,rifampicin
,,,,,,,,1,sulfamethoxazole
159707,A251,"CGMCC 4.7421, JCM 32178",1,1,Actinocorallia populi,Actinocorallia,populi,1,ciprofloxacin
,,,,,,,,1,erythromycin
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,norfloxacin
,,,,,,,,1,novobiocin
,,,,,,,,1,polymyxin b
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
,,,,,,,,1,vancomycin
13206,YU 961-1,"DSM 44650, IFO 16518, NBRC 16518, JCM 11646, CIP 107896",1,1,Actinokineospora auranticolor,Actinokineospora,auranticolor,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
16986,"FH-A 1198, ID 90-506, FH A 1198","DSM 44197, CIP 108365, NRRL B-24153, HAG 010767, JCM 13238, CPCC 201670",1,1,Actinomadura namibiensis,Actinomadura,namibiensis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
149,Sh8/4303,"DSM 20671, ATCC 43322, NCTC 11490, CCUG 32758, CIP 103126",1,1,Actinomyces denticolens,Actinomyces,denticolens,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
186,,"DSM 15540, CCUG 27294, CIP 105737, CCM 4739",1,1,Actinomyces graevenitzii,Actinomyces,graevenitzii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
154,,"DSM 43013, ATCC 12104, CCUG 2238, NCTC 10301, CDC W826, JCM 8349, NIH 279, WVU 45, CCUG 18310, CIP 103128",1,1,Actinomyces naeslundii,Actinomyces,naeslundii,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
176,AO 96-06841,"DSM 15433, CCUG 36733, CIP 106352",1,1,Actinomyces radicidentis,Actinomyces,radicidentis,1,novobiocin
178,,"DSM 15434, CCUG 38702, CIP 106421",1,1,Actinomyces urogenitalis,Actinomyces,urogenitalis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
157,,"DSM 43327, ATCC 15987, CCUG 14476, NCTC 10951, WVU 745, NIH T-6, JCM 8353, CCUG 35450, CECT 488, CIP 103147, KCTC 15382, NBIMCC 71",1,1,Actinomyces viscosus,Actinomyces,viscosus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
11158,IM 7744,"DSM 22024, CIP 107343, JCM 10761, KCTC 19907, NBRC 100040, NRRL B-24113, NCIMB 14324",1,1,Actinopolymorpha singaporensis,Actinopolymorpha,singaporensis,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
146,R9242,"KCTC 15231, DSM 15805, CCUG 46093, CIP 107424",1,1,Actinotignum urinale,Actinotignum,urinale,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
140229,D-24,"DSM 101732, KCTC 42708",1,1,Aequorivita aquimaris,Aequorivita,aquimaris,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,lincomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,oleandomycin
,,,,,,,,1,penicillin g
158560,N.8,"KCTC 33824, JCM 31580",1,1,Aeribacillus composti,Aeribacillus,composti,1,ampicillin
,,,,,,,,1,bacitracin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,fusidate
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,lincomycin
,,,,,,,,1,neomycin
,,,,,,,,1,novobiocin
226,"UW06, UW 06","DSM 15819, CCM 4911, CCUG 28831, CIP 106115, JCM 18985, ATCC 48849, LMG 19525",1,1,Aerococcus christensenii,Aerococcus,christensenii,1,novobiocin
221,M1,"DSM 20340, ATCC 11563, CCM 1914, IAM 13649, JCM 20461, NCDO 1225, NCTC 8251, WDCM 00061, CCUG 4311, CIP 54.145, IAM 12302, IFO 12219, LMG 17931, NBRC 12219, NISL 7400, IMET 11154, NCIMB 11775, CECT 978",1,1,Aerococcus viridans,Aerococcus,viridans,1,lysostaphin
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,1,Aeromonas bivalvium,Aeromonas,bivalvium,1,amikacin
,,,,,,,,1,cefoxitin
,,,,,,,,1,ceftriaxone
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,colistin
,,,,,,,,1,gentamicin
,,,,,,,,1,imipenem
,,,,,,,,1,polymyxin b
,,,,,,,,1,tetracycline
,,,,,,,,1,ticarcillin
258,"S181, S-181","DSM 11577, CECT 4342, LMG 16330, CIP 104608, ATCC 51929",1,1,Aeromonas encheleia,Aeromonas,encheleia,1,amikacin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,nitrofurantoin
,,,,,,,,1,oxolinate
,,,,,,,,1,polymyxin b
,,,,,,,,1,rifampicin
283,717,"DSM 23621, CECT 7401, LMG 24681, CIP 110205",1,1,Aeromonas fluvialis,Aeromonas,fluvialis,1,amikacin
,,,,,,,,1,aztreonam
,,,,,,,,1,cefepime
,,,,,,,,1,cefoperazone
,,,,,,,,1,cefotaxime
,,,,,,,,1,cefoxitin
,,,,,,,,1,ceftazidime
,,,,,,,,1,ceftriaxone
,,,,,,,,1,cephalothin
,,,,,,,,1,chloramphenicol
242,RM,"CCUG 14453, CCM 3653, JCM 2385, LMG 9073, DSM 4881, ATCC 33907, BCRC 12211, BCRC 14129, CECT 4232, CIP 103208, LMG 7907, NCIMB 2237",1,1,Aeromonas media,Aeromonas,media,1,chloramphenicol
,,,,,,,,1,chlortetracyclin
,,,,,,,,1,colistin
,,,,,,,,1,erythromycin
,,,,,,,,1,furazolidone
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,nitrofurantoin
,,,,,,,,1,oxytetracycline
262,"848T, 848","DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,1,Aeromonas molluscorum,Aeromonas,molluscorum,1,amikacin
,,,,,,,,1,amoxicillin
,,,,,,,,1,cefoxitin
,,,,,,,,1,ceftriaxone
,,,,,,,,1,cefuroxime
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,clavulanic acid
,,,,,,,,1,colistin
,,,,,,,,1,gentamicin
,,,,,,,,1,imipenem
279,O-a-10-3,"CCUG 39350, ATCC BAA-243, NCIMB 13618, DSM 19604, CCM 4708, CECT 5176, CIP 105493, LMG 17541, DSM 1904",1,1,Aeromonas popoffii,Aeromonas,popoffii,1,amikacin
,,,,,,,,1,cefotaxime
,,,,,,,,1,ceftazidime
,,,,,,,,1,chloramphenicol
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,mezlocillin
,,,,,,,,1,netilmycin
,,,,,,,,1,piperacillin
,,,,,,,,1,spectinomycin
286,A2-67,"DSM 24094, CECT 7402, LMG 24682, CIP 110203",1,1,Aeromonas sanarellii,Aeromonas,sanarellii,1,amikacin
,,,,,,,,1,aztreonam
,,,,,,,,1,cefepime
,,,,,,,,1,cefoperazone
,,,,,,,,1,cefotaxime
,,,,,,,,1,ceftazidime
,,,,,,,,1,ceftriaxone
,,,,,,,,1,chloramphenicol
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,fosfomycin
261,,"DSM 16559, CCUG 47378, CIP 107798, IBS S6874",1,1,Aeromonas simiae,Aeromonas,simiae,1,cephalothin
285,A2-50,"DSM 24096, CECT 7403, LMG 24683, CIP 110204",1,1,Aeromonas taiwanensis,Aeromonas,taiwanensis,1,amikacin
,,,,,,,,1,aztreonam
,,,,,,,,1,cefepime
,,,,,,,,1,cefoperazone
,,,,,,,,1,cefotaxime
,,,,,,,,1,cefoxitin
,,,,,,,,1,ceftazidime
,,,,,,,,1,ceftriaxone
,,,,,,,,1,chloramphenicol
,,,,,,,,1,ciprofloxacin
158658,DBTF-13,"KACC 19432, NBRC 113038",1,1,Aestuariibius insulae,Aestuariibius,insulae,1,carbenicillin
,,,,,,,,1,cephalothin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,streptomycin
,,,,,,,,1,tetracycline
158420,D6,"DSM 105824, KCTC 39995",1,1,Aestuariimicrobium soli,Aestuariimicrobium,soli,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,cephalothin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,neomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,oleandomycin
,,,,,,,,1,penicillin g
,,,,,,,,1,tetracycline
158355,OITF-44,"DSM 105891, KACC 19569, KCTC 62197, NBRC 113118",1,1,Aestuariimonas insulae,Aestuariimonas,insulae,1,novobiocin
,,,,,,,,1,oleandomycin
,,,,,,,,1,tetracycline
131429,SBSr002,"DSM 24601, NCCB 100377",1,1,Aetherobacter fasciculatus,Aetherobacter,fasciculatus,1,carbenicillin
,,,,,,,,1,fusidate
,,,,,,,,1,kanamycin
,,,,,,,,1,oxytetracycline
,,,,,,,,1,rifampicin
,,,,,,,,1,spectinomycin
,,,,,,,,1,tetracycline
,,,,,,,,1,thiostrepton
130794,SBSr003,"DSM 24628, NCCB 100378",1,1,Aetherobacter rufus,Aetherobacter,rufus,1,bacitracin
,,,,,,,,1,carbenicillin
,,,,,,,,1,cephalothin
,,,,,,,,1,fusidate
,,,,,,,,1,hygromycin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,oxytetracycline
,,,,,,,,1,polymyxin
,,,,,,,,1,rifampicin
1782,34632,"DSM 17499, CCUG 43108, CIP 106344",1,1,Afipia birgiae,Afipia,birgiae,1,amikacin
,,,,,,,,1,amoxicillin
,,,,,,,,1,cefalotin
,,,,,,,,1,cefepime
,,,,,,,,1,cefoxitin
,,,,,,,,1,ceftazidime
,,,,,,,,1,ceftriaxone
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,clavulanic acid
,,,,,,,,1,co-trimoxazole
1781,34633,"DSM 17498, CCUG 45153, CIP 107022",1,1,Afipia massiliensis,Afipia,massiliensis,1,amikacin
,,,,,,,,1,amoxicillin
,,,,,,,,1,cefalotin
,,,,,,,,1,cefepime
,,,,,,,,1,cefoxitin
,,,,,,,,1,ceftazidime
,,,,,,,,1,ceftriaxone
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,clavulanic acid
,,,,,,,,1,co-trimoxazole
159752,2p52,"KCTC 52473, MCCC 1H00151",1,1,Agaribacter flavus,Agaribacter,flavus,1,cefotaxime sodium
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,ofloxacin
,,,,,,,,1,rifampicin
,,,,,,,,1,trimethoprim
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,1,Agarilytica rhodophyticola,Agarilytica,rhodophyticola,1,ampicillin
,,,,,,,,1,cefotaxime
,,,,,,,,1,ceftriaxone
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,neomycin
,,,,,,,,1,norfloxacin
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,1,Agarivorans aestuarii,Agarivorans,aestuarii,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,gentamicin
,,,,,,,,1,lincomycin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,neomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,penicillin g
11752,,"DSM 8324, ATCC 33384, CCUG 13227, CIP 52.106, NCTC 9710",1,1,Aggregatibacter actinomycetemcomitans,Aggregatibacter,actinomycetemcomitans,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
135780,,"CIP 70.73, ATCC 33389, CCUG 3715, NCTC 5906",1,1,Aggregatibacter aphrophilus,Aggregatibacter,aphrophilus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
7249,DL-4,"DSM 14575, UCM Ac-620, VKM Ac-1804, JCM 12206, IAM 15124, IAM 15138, NBRC 103053, CIP 108057",1,1,Agreia bicolorata,Agreia,bicolorata,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
140485,,"LMG 29287, HAMBI 3646, YIC 5082",1,1,Agrobacterium salinitolerans,Agrobacterium,salinitolerans,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,streptomycin
7253,V-108,"DSM 14215, CCM 4953, JCM 12132, CGMCC 1.7256, CIP 107635, IAM 15147, NBRC 103055",1,1,Agrococcus baldri,Agrococcus,baldri,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
7269,,"DSM 14598, AS 4.1717, CCTCC 001012, YIM 21741, JCM 12113, BCRC 16310, CCTCC AA 001012, CGMCC 4.1717, CIP 107976, IAM 15154, KCTC 9967, CCRC 16310",1,1,Agromyces aurantiacus,Agromyces,aurantiacus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
132611,AR33,"DSM 101731, LMG 29235, JCM 32431",1,1,Agromyces aureus,Agromyces,aureus,1,erythromycin
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,rifampicin
,,,,,,,,1,streptomycin
7261,,"DSM 8595, ATCC 51762, IMET 11525, VKM Ac-1340, JCM 9083, CIP 103632, IAM 15140, IFO 15780, LMG 16155, NBRC 15780",1,1,Agromyces cerinus,Agromyces,cerinus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
7262,,"DSM 8596, ATCC 51763, IMET 11532, VKM Ac-1351, JCM 9084, CIP 103634, IAM 15141, IFO 15783, LMG 16157, NBRC 15783",1,1,Agromyces cerinus subsp. nitratus,Agromyces,cerinus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
7278,,"DSM 8597, ATCC 51764, IMET 11529, VKM Ac-1345, CCUG 35506, JCM 9085, CIP 103633, IAM 15142, IFO 15781, LMG 16156, NBRC 15781",1,1,Agromyces fucosus,Agromyces,fucosus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
7263,,"DSM 8598, ATCC 51765, IMET 11533, VKM Ac-1352, JCM 9086, CIP 103635, IAM 15143, IFO 15782, LMG 16158, NBRC 15782, JCM 9087",1,1,Agromyces fucosus subsp. hippuratus,Agromyces,fucosus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
7266,8,"DSM 14595, IFO 16235, NBRC 16235, VKM Ac-2085, JCM 11431, CIP 107131, IAM 15144, KCTC 13907, NCIMB 13882",1,1,Agromyces luteolus,Agromyces,luteolus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
7265,,"DSM 20152, ATCC 14004, JCM 3346, NCIB 7206, CIP 104860, IFO 15704, KCTC 3136, NBRC 15704, NCIMB 7206, VKM Ac-1388",1,1,Agromyces mediolanus,Agromyces,mediolanus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
394,B-5,"DSM 16502, CGMCC 1.3690",1,1,Alcanivorax dieselolei,Alcanivorax,dieselolei,1,amikacin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,polymyxin b
5480,M-3Alg 15-1,"DSM 15365, KCTC 12103, KMM 3902, JCM 21761, IAM 15311, LMG 23347, LMG 22573, NBRC 100591",1,1,Algibacter lectus,Algibacter,lectus,1,carbenicillin
,,,,,,,,1,lincomycin
,,,,,,,,1,oleandomycin
17709,"AC-74, AC74","DSM 22703, CIP 108470, LMG 22694",1,1,Algoriphagus alkaliphilus,Algoriphagus,alkaliphilus,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
140706,KEM-10,"KCTC 52839, NBRC 112780",1,1,Algoriphagus aquaemixtae,Algoriphagus,aquaemixtae,1,cephalothin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,lincomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,oleandomycin
,,,,,,,,1,tetracycline
164479,F21,"JCM 33187, KCTC 72106, KEMB 2250-007",1,1,Algoriphagus aquimaris,Algoriphagus,aquimaris,1,fosfomycin
,,,,,,,,1,kanamycin
,,,,,,,,1,norfloxacin
,,,,,,,,1,ofloxacin
,,,,,,,,1,rifampicin
140941,HJM-2,"KCTC 42704, NBRC 111222",1,1,Algoriphagus confluentis,Algoriphagus,confluentis,1,carbenicillin
,,,,,,,,1,cephalothin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,lincomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,oleandomycin
,,,,,,,,1,penicillin g
,,,,,,,,1,tetracycline
133329,S61,"DSM 102044, CCTCC AB 2015446",1,1,Algoriphagus iocasae,Algoriphagus,iocasae,1,cefazolin
,,,,,,,,1,cefoperazone
,,,,,,,,1,chloramphenicol
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,clindamycin
,,,,,,,,1,doxycycline
,,,,,,,,1,erythromycin
,,,,,,,,1,furazolidone
,,,,,,,,1,midecamycin
,,,,,,,,1,minocycline
133258,OITF-19,"KCTC 52456, NBRC 112418",1,1,Algoriphagus litorisediminis,Algoriphagus,litorisediminis,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,cefalotin
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,neomycin
,,,,,,,,1,polymyxin b
,,,,,,,,1,streptomycin
17700,JC2050,"DSM 15301, IMSNU 14012, KCTC 12050, CIP 108302",1,1,Algoriphagus mannitolivorans,Algoriphagus,mannitolivorans,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
140525,am2,"KCTC 52549, MCCC 1H00178",1,1,Algoriphagus marinus,Algoriphagus,marinus,1,acetylspiramycin
,,,,,,,,1,ampicillin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,norfloxacin
,,,,,,,,1,ofloxacin
,,,,,,,,1,rifampicin
,,,,,,,,1,vancomycin
141011,KEM-106,"KCTC 52979, NBRC 112904",1,1,Algoriphagus marisflavi,Algoriphagus,marisflavi,1,carbenicillin
,,,,,,,,1,cefalotin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,lincomycin
,,,,,,,,1,novobiocin
,,,,,,,,1,oleandomycin
,,,,,,,,1,tetracycline
140228,W29,"DSM 100160, KCTC 42940, MCC 2876",1,1,Algoriphagus roseus,Algoriphagus,roseus,1,amikacin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,ciprofloxacin
,,,,,,,,1,gentamicin
,,,,,,,,1,nalidixic acid
,,,,,,,,1,oxytetracycline
,,,,,,,,1,polymyxin b
,,,,,,,,1,rifampicin
,,,,,,,,1,tetracycline
,,,,,,,,1,vancomycin
17701,M-2Alg 14,"DSM 15360, CCUG 47094, KMM 3956, LMG 21969, CIP 108557, JCM 13505",1,1,Algoriphagus winogradskyi,Algoriphagus,winogradskyi,1,"0129 (2,4-Diamino-6,7-di-iso-propylpteridine phosphate)"
170901,F199,"CECT 9230, LMG 30050",1,1,Arcobacter vitoriensis,Arcobacter,vitoriensis,1,ciprofloxacin
,,,,,,,,1,erythromycin
,,,,,,,,1,gentamicin
166424,F3105,"MCCC 1H00223, KCTC 52891",1,1,Aliidiomarina celeris,Aliidiomarina,celeris,1,cefotaxime sodium
,,,,,,,,1,ceftriaxone
,,,,,,,,1,chloramphenicol
,,,,,,,,1,clarithromycin
,,,,,,,,1,erythromycin
,,,,,,,,1,lincomycin
,,,,,,,,1,neomycin
,,,,,,,,1,norfloxacin
,,,,,,,,1,ofloxacin
,,,,,,,,1,penicillin
140844,GBPy7,"IBRC-M 10763, CECT 8339",1,1,Aliidiomarina iranensis,Aliidiomarina,iranensis,1,amoxicillin
,,,,,,,,1,ampicillin
,,,,,,,,1,carbenicillin
,,,,,,,,1,cefoxitin
,,,,,,,,1,chloramphenicol
,,,,,,,,1,erythromycin
,,,,,,,,1,gentamicin
,,,,,,,,1,kanamycin
,,,,,,,,1,nalidixic acid
