ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Ability of spore formation"
133403,BRTC-1,"ACCC 19936, JCM 31367",1,1,"Acinetobacter larvae",Acinetobacter,larvae,0
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,1,"Acinetobacter nectaris",Acinetobacter,nectaris,0
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,1,"Acinetobacter piscicola",Acinetobacter,piscicola,0
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,1,"Acinetobacter sichuanensis",Acinetobacter,sichuanensis,0
8143,"B1, CR11, IBFC2009","DSM 22956, JCM 15062, KCTC 22184, CCUG 59023, KCTC 22814, CIP 110264, CCTCC AB 209162",1,1,"Acinetobacter soli",Acinetobacter,soli,0
134305,JC2129,"KCTC 12704, JCM 14002",1,1,"Actibacter sediminis",Actibacter,sediminis,0
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,1,"Actibacterium pelagium",Actibacterium,pelagium,0
17014,,"DSM 45503, BCC 28622, NBRC 104354, NRRL B-24610, GMKU 931, JCM 17235, TBRC 563",1,1,"Actinoallomurus acaciae",Actinoallomurus,acaciae,1
23336,2614A723,"DSM 45727, CCTCC AA 2012001, JCM 31201",1,1,"Actinoallomurus acanthiterrae",Actinoallomurus,acanthiterrae,1
17007,TT00-28,"DSM 45447, KCTC 19537, NBRC 103682",1,1,"Actinoallomurus amamiensis",Actinoallomurus,amamiensis,1
132110,A3015,"DSM 45445, KCTC 19535, NBCR 103678, NBRC 103678",1,1,"Actinoallomurus caesius",Actinoallomurus,caesius,1
17008,TT04-09,"DSM 45450, KCTC 19542, NBRC 103688",1,1,"Actinoallomurus coprocola",Actinoallomurus,coprocola,1
17010,TT02-47,"DSM 45448, KCTC 19539, NBRC 103685",1,1,"Actinoallomurus iriomotensis",Actinoallomurus,iriomotensis,1
17011,TT02-15,"DSM 45452, KCTC 19538, NBRC 103683",1,1,"Actinoallomurus luridus",Actinoallomurus,luridus,1
17015,,"DSM 45651, BCC 31373, NBRC 105246, GMKU 370, JCM 17933, TBRC 390",1,1,"Actinoallomurus oryzae",Actinoallomurus,oryzae,1
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,1,"Actinoallomurus purpureus",Actinoallomurus,purpureus,1
17016,K08-0182,"DSM 45523, JCM 17294, NBRC 107678",1,1,"Actinoallomurus radicium",Actinoallomurus,radicium,1
17013,TTN02-22,"DSM 45451, KCTC 19540, NBRC 103686",1,1,"Actinoallomurus yoronensis",Actinoallomurus,yoronensis,1
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194, BCRC 16823, CBS 11706, CIP 109023, NBRC 102582, NCIMB 14384",1,1,"Actinoalloteichus spitiensis",Actinoalloteichus,spitiensis,0
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,1,"Actinobaculum massiliense",Actinobaculum,massiliense,0
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,1,"Actinobaculum suis",Actinobaculum,suis,0
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,1,"Actinocatenispora rupis",Actinocatenispora,rupis,1
7796,KV-744,"DSM 45336, NBRC 101916, NRRL B-24477, JCM 15920",1,1,"Actinocatenispora sera",Actinocatenispora,sera,1
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,1,"Actinocatenispora thailandica",Actinocatenispora,thailandica,1
16914,N3-7,"DSM 45040, JCM 13278, NRRL B-24429, BCRC 16845, CIP 109251, NBRC 106142, NCIMB 14302",1,1,"Actinocorallia cavernae",Actinocorallia,cavernae,1
132532,3H-GS17,"DSM 100595, CGMCC 4.7282, JCM 31763",1,1,"Actinocorallia lasiicapitis",Actinocorallia,lasiicapitis,1
16913,I-497,"DSM 44361, CIP 105488, IFO 15961, JCM 9377, NBRC 15961, IMSNU 22180, NCIMB 14385",1,1,"Actinocorallia longicatena",Actinocorallia,longicatena,0
159707,A251,"CGMCC 4.7421, JCM 32178",1,1,"Actinocorallia populi",Actinocorallia,populi,1
132014,OB1,"DSM 45618, ATCC BAA-2771",1,1,"Actinocrinis puniceicyclus",Actinocrinis,puniceicyclus,1
132668,MI503-A4,"DSM 45934, NBRC 109632",1,1,"Actinocrispum wychmicini",Actinocrispum,wychmicini,0
140670,R434,"KEMB 9005-403, KACC 18904, JCM 31557",1,1,"Actinokineospora acnipugnans",Actinokineospora,acnipugnans,1
13511,03-9939,"DSM 45114, CCM 7461, KCTC 19294, JCM 17965, NBRC 106985",1,1,"Actinokineospora alba",Actinokineospora,alba,1
13207,"ID 03-0561","DSM 45656, BTCC B554, NBRC 104211",1,1,"Actinokineospora baliensis",Actinokineospora,baliensis,1
24443,44EHW,"DSM 46700, BCC 53155, NBRC 108932",1,1,"Actinokineospora bangkokensis",Actinokineospora,bangkokensis,1
13209,"ID 03-0810","DSM 45657, BTCC B-558, NBRC 105526",1,1,"Actinokineospora cianjurensis",Actinokineospora,cianjurensis,1
13208,"ID 03-0784","DSM 45658, BTCC B555, NBRC 104212",1,1,"Actinokineospora cibodasensis",Actinokineospora,cibodasensis,1
13200,,"DSM 44256, IFO 15664, JCM 9922, KCTC 9570, MTCC 2686, NBRC 15664, NCIMB 13658, NRRL B-24048, VKM Ac-1981",1,1,"Actinokineospora globicatena",Actinokineospora,globicatena,0
13203,,"DSM 44259, ATCC 49499, CCRC 13450, IFO 14541, JCM 7471, MTCC 2712, NBRC 14541, NCIMB 13255, NRRL B-16432, BCRC 13450, IMSNU 21272, KACC 20059, KCCM 40232, KCTC 9291, VKM Ac-1980",1,1,"Actinokineospora riparia",Actinokineospora,riparia,1
13210,,"DSM 45613, JCM 17695, YIM 75948, NBRC 111522",1,1,"Actinokineospora soli",Actinokineospora,soli,1
16995,,"DSM 45045, CCTCC AA 206005, CIP 109812, JCM 14906, NBRC 103884, YIM 45681",1,1,"Actinomadura alba",Actinomadura,alba,1
16996,3-46-b(3),"DSM 45347, JCM 13933, MTCC 8057",1,1,"Actinomadura bangladeshensis",Actinomadura,bangladeshensis,1
158373,,"DSM 108647, NBRC 113074, TBRC 7225, GKU 128",1,1,"Actinomadura barringtoniae",Actinomadura,barringtoniae,1
16997,3-45-a(11),"DSM 45346, JCM 13932, MTCC 8056",1,1,"Actinomadura chokoriensis",Actinomadura,chokoriensis,1
16925,,"DSM 43461, ATCC 27887, IMET 9573, INA 1849, JCM 3295, BCRC 13352, CGMCC 4.1514, IFO 14678, IMSNU 20001, KCTC 9617, MTCC 1828, NBRC 14678, NRRL B-16121, VKM Ac-1119",1,1,"Actinomadura citrea",Actinomadura,citrea,1
158480,LHW63021,"DSM 106125, CCTCC AA 2018015",1,1,"Actinomadura craniellae",Actinomadura,craniellae,1
16980,,"DSM 44224, ATCC 49459, NRRL 18348, JCM 9371, IMSNU 22177",1,1,"Actinomadura fibrosa",Actinomadura,fibrosa,1
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,1,"Actinomadura flavalba",Actinomadura,flavalba,1
16966,C-36820,"DSM 43997, ATCC 49059, IFO 14204, JCM 7474, NBRC 14204, BCRC 16355, CIP 105595, IFO 15870, IMSNU 22194, KCTC 9647, LMG 29178, NBRC 15870, NCIMB 12773, NRRL B-16984, VKM Ac-1954",1,1,"Actinomadura formosensis",Actinomadura,formosensis,1
17005,A8036,"DSM 45508, KCTC 19868, JCM 19952",1,1,"Actinomadura geliboluensis",Actinomadura,geliboluensis,1
16979,"SA 26015","DSM 44148, ATCC 53557, IFO 15177, NBRC 15177, NCIMB 13253, JCM 9627, HUT 6599, IMSNU 22185",1,1,"Actinomadura hibisca",Actinomadura,hibisca,1
16998,WCC-2265,"DSM 45195, BCC 72026, CCUG 56181, NBRC 105837, JCM 17316, TBRC 4745",1,1,"Actinomadura keratinilytica",Actinomadura,keratinilytica,1
159574,NEAU-G17,"DSM 105122, CGMCC 4.7411",1,1,"Actinomadura logoneensis",Actinomadura,logoneensis,1
16931,S-0203,"DSM 40398, ATCC 25469, CBS 702.69, CGMCC AS 4.1382, IFO 13057, ISP 5398, JCM 4203, KCC S-0203, KCC S-0491, NBRC 13057, RIA 1249, OEU 719, BCRC 16250, CECT 3283, CGMCC 4.1382, CGMCC 4.1516, CIP 105484, IMET 9672, IMSNU 20009, JCM 4491, KCTC 9341, NRRL B-12327, VKM Ac-1509",1,1,"Actinomadura luteofluorescens",Actinomadura,luteofluorescens,1
17002,"DLS-45, 5DSM 45252","DSM 45252, KCTC 19558, JCM 17440",1,1,"Actinomadura meridiana",Actinomadura,meridiana,1
133428,BC44T-5,"FIRDI 002, BCRC 16873, LMG 24335, JCM 16702, NCIMB 14658",1,1,"Actinomadura miaoliensis",Actinomadura,miaoliensis,1
140490,CYP1-1B,"JCM 16995, KCTC 39784, PCU 349, TISTR 2400",1,1,"Actinomadura montaniterrae",Actinomadura,montaniterrae,1
16986,"FH-A 1198, ID 90-506, FH A 1198","DSM 44197, CIP 108365, NRRL B-24153, HAG 010767, JCM 13238, CPCC 201670",1,1,"Actinomadura namibiensis",Actinomadura,namibiensis,1
16990,B60,"DSM 44846, JCM 13850, NRRL B-24319, NBRC 104150",1,1,"Actinomadura napierensis",Actinomadura,napierensis,1
164563,LD22,"JCM 33455, CCTCC AA 2018050",1,1,"Actinomadura physcomitrii",Actinomadura,physcomitrii,1
158374,SDA37,"DSM 108648, KCTC 39965, NBRC 112909, TISTR 2523",1,1,"Actinomadura rhizosphaerae",Actinomadura,rhizosphaerae,1
166237,,"LMG 30035, CECT 9808, ATCC 53664",1,1,"Actinomadura roseirufa",Actinomadura,roseirufa,1
16991,"HMC 1","DSM 44962, JCM 14907, NRRL B-24458",1,1,"Actinomadura rudentiformis",Actinomadura,rudentiformis,0
17003,CS5-AC15,"DSM 45251, KCTC 19559",1,1,"Actinomadura rupiterrae",Actinomadura,rupiterrae,1
17001,"R-Ac121, 5DSM 45225","DSM 45225, KCTC 19488",1,1,"Actinomadura scrupuli",Actinomadura,scrupuli,0
133727,,"CCTCC AA 2010009, DSM 45500, YIM M 10931, JCM 31202",1,1,"Actinomadura sediminis",Actinomadura,sediminis,1
16963,"A-184, A4, A-0147","DSM 43358, ATCC 27299, DSM 43550, KCC A-0147, JCM 3147, BCRC 13408, CBS 258.72, CCM 3492, CGMCC 4.1512, CGMCC 4.2116, CIP 105480, IFO 14100, IMET 9588, IMSNU 20017, MTCC 1397, NBRC 14100, NCIMB 11119, NRRL B-16129, RIA 1503, VKM Ac-668, CCRC 13408",1,1,"Actinomadura verrucosospora",Actinomadura,verrucosospora,1
16968,,"DSM 44433, IFO 14480, IMET 9742, INMI 187, JCM 3398, JCM 7346, ATCC 33925, BCRC 13638, KCTC 9185, NBRC 100039, NBRC 14480",1,1,"Actinomadura viridilutea",Actinomadura,viridilutea,1
16945,"Mt-1, A-0325","DSM 43175, ATCC 27103, CBS 833.70, IMET 9546, JCM 3112, KCC A-0112, BCRC 13398, CIP 105478, IFO 15238, IMSNU 20019, KCTC 9290, NBRC 15238, VKM Ac-1315, CCRC 13398",1,1,"Actinomadura viridis",Actinomadura,viridis,1
24654,BK147,"DSM 46742, KACC 20919, NCIMB 14771, NRRL B-24852, JCM 32746, NBRC 109779",1,1,"Actinomadura xylanilytica",Actinomadura,xylanilytica,0
189,R18165,"DSM 19115, CCUG 48064, CIP 108337, KCTC 15232",1,1,"Actinomyces dentalis",Actinomyces,dentalis,0
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,1,"Actinomyces gaoshouyii",Actinomyces,gaoshouyii,0
159,2-606-032,"DSM 6844, ATCC 23860, CDC W838, CIP 105418, JCM 12963, VPI 12594, CCUG 32936, CCUG 34703",1,1,"Actinomyces gerencseriae",Actinomyces,gerencseriae,0
186,,"DSM 15540, CCUG 27294, CIP 105737, CCM 4739",1,1,"Actinomyces graevenitzii",Actinomyces,graevenitzii,0
166249,2129,"CGMCC 4.7483, DSM 106426",1,1,"Actinomyces lilanjuaniae",Actinomyces,lilanjuaniae,0
192,4401292,"DSM 23047, CCUG 53522, KCTC 15158, CSUR P18, JCM 16130, CIP 109360",1,1,"Actinomyces massiliensis",Actinomyces,massiliensis,0
187,R5292,"KCTC 15234, DSM 17234, CCUG 46090, CIP 107639, Hall R5292, JCM 17565",1,1,"Actinomyces oricola",Actinomyces,oricola,0
159350,410,"DSM 106201, CGMCC 1.16361",1,1,"Actinomyces qiguomingii",Actinomyces,qiguomingii,0
193,7400942,"KCTC 15137, DSM 23838, CCUG 55928, CSUR P35",1,1,"Actinomyces timonensis",Actinomyces,timonensis,0
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,1,"Actinomyces vulturis",Actinomyces,vulturis,0
196,"2298, 2298/06","DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472",1,1,"Actinomyces weissii",Actinomyces,weissii,0
,,,,,,,,1
13499,,"DSM 45062, JCM 15998, NBRC 104400, YIM 0006, CCTCC AA 205017, TBRC 8064",1,1,"Actinomycetospora chiangmaiensis",Actinomycetospora,chiangmaiensis,1
159747,"A-T 8314","TBRC 5722, NBRC 113235",1,1,"Actinomycetospora endophytica",Actinomycetospora,endophytica,1
24458,MN08-A0203,"DSM 46707, NBRC 105883, VTCC D9-23",1,1,"Actinophytocola burenkhanensis",Actinophytocola,burenkhanensis,1
159716,,"KCTC 49002, CGMCC 4.7433, BMP B8152, JCM 33402",1,1,"Actinophytocola glycyrrhizae",Actinophytocola,glycyrrhizae,1
13512,,"DSM 45499, BCC 31372, NBRC 105245, JCM 17236, TBRC 158",1,1,"Actinophytocola oryzae",Actinophytocola,oryzae,1
133108,11-183,"KCTC 39690, MCCC 1K02062, DSM 109075",1,1,"Actinophytocola xanthii",Actinophytocola,xanthii,1
23114,Y16,"DSM 45850, CGMCC 4.6857, JCM 17700",1,1,"Actinoplanes atraurantiacus",Actinoplanes,atraurantiacus,1
7798,"UNCC 253","DSM 43031, ATCC 15330, CBS 189.64, IFO 12245, KCC A-0038, NBRC 12245, JCM 3038, BCRC 13631, HAMBI 1975, IFM 1138, IFM 1290, IMET 9034, IMSNU 20021, KCTC 9117, NCIMB 10172, NRRL B-3343, RIA 819, VKM Ac-648, VKM Ac-675",1,1,"Actinoplanes auranticolor",Actinoplanes,auranticolor,1
7799,"A/672, MB-T 20","DSM 43805, ATCC 25844, KCC A-0196, JCM 3196, BCRC 13340, IFM 1261, IFO 13938, IMSNU 20022, KCTC 9345, NBRC 13938, NCIMB 12642, NRRL B-16714, VKM Ac-1320",1,1,"Actinoplanes brasiliensis",Actinoplanes,brasiliensis,1
7801,"UNCC 65","DSM 43148, ATCC 15348, CBS 190.64, IFO 12511, KCC A-0059, NBRC 12511, JCM 3059, BCRC 12545, CECT 3287, IFM 0124, IFM 1239, IMET 9244, KCTC 9589, MTCC 1981, NCIMB 12889, NRRL B-3344, VKM Ac-1319",1,1,"Actinoplanes campanulatus",Actinoplanes,campanulatus,1
7830,LA97,"DSM 43942, ATCC 49799, IFO 14913, NBRC 14913, NCIMB 20027, JCM 7624, BCRC 16343, KCTC 9253, KCTC 9657, NRRL B-16688",1,1,"Actinoplanes consettensis",Actinoplanes,consettensis,1
7841,GW8-1761,"CCUG 53409, DSM 45050, CIP 109316, JCM 15999, NBRC 106145",1,1,"Actinoplanes couchii",Actinoplanes,couchii,1
7802,"A/10655, MB-T 21","DSM 43806, ATCC 21983, JCM 3247, KCC A-0247, BCRC 12107, CBS 597.74, CGMCC 4.2098, IFO 13994, IMET 9256, IMSNU 20026, KCTC 9532, MTCC 711, NBRC 13994, NCIMB 12643, NRRL B-16715",1,1,"Actinoplanes deccanensis",Actinoplanes,deccanensis,1
7831,"LA 107","DSM 43941, ATCC 49798, IFO 14935, NBRC 14935, NCIMB 12875, JCM 7556, IMSNU 20027, IMSNU 22122, KCTC 9254, NRRL B-16692",1,1,"Actinoplanes derwentensis",Actinoplanes,derwentensis,1
7832,"LA 139","DSM 43939, ATCC 49800, IFO 14914, NBRC 14914, NCIMB 20041, JCM 7625, IMSNU 22124, KCTC 9346, NRRL B-16689",1,1,"Actinoplanes durhamensis",Actinoplanes,durhamensis,1
7804,"MB-T 22, X-14695","DSM 43807, ATCC 29868, KCC A-0277, JCM 3277, BCC 49183, BCRC 13630, IFO 15555, IMET 9273, IMSNU 22125, KCTC 9255, MTCC 1418, NBRC 15555, NCIMB 12644, NRRL B-16718, TBRC 192",1,1,"Actinoplanes ferrugineus",Actinoplanes,ferrugineus,1
7833,"LA 6","DSM 43938, ATCC 49801, IFO 14915, NBRC 14915, NCIMB 20000, JCM 7555, BCRC 16344, IMSNU 20031, KCTC 9656, NRRL B-16690",1,1,"Actinoplanes humidus",Actinoplanes,humidus,1
7807,A-5221,"DSM 43146, ATCC 27366, KCC A-0165, JCM 3165, BCRC 12530, CCM 2739, CECT 3285, CGMCC 4.1065, IFM 1254, IFO 13911, IMET 9251, IMSNU 22126, KCTC 9534, MTCC 1412, NBIMCC 1475, NBRC 13911, NCIMB 12641, NRRL B-16722",1,1,"Actinoplanes italicus",Actinoplanes,italicus,0
,,,,,,,,1
7839,"A/6353, FH 2244","DSM 43865, ATCC 31048, BCRC 12121, CBS 355.75, IFO 13997, IMSNU 22127, JCM 3250, KCC A-0250, KCTC 9536, NBRC 13997, NCIMB 12636, NRRL B-16723, SANK 62178, CGMCC 4.5521",1,1,"Actinoplanes liguriensis",Actinoplanes,liguriensis,1
7808,"UNCC 72","DSM 43150, ATCC 15350, CBS 192.64, IFO 12513, KCC A-0061, NBRC 12513, JCM 3061, IFM 0126, IFM 1240, IMET 9246, IMSNU 22063, KCTC 9348, NCIMB 12888, NRRL B-3346, VKM Ac-676",1,1,"Actinoplanes lobatus",Actinoplanes,lobatus,1
7809,"UNCC 431","DSM 43046, ATCC 14538, CBS 188.64, IFO 13243, KCC A-0121, NBRC 13243, JCM 3121, BCRC 13335, CGMCC 4.1488, IFM 1250, IMET 9249, IMSNU 22051, KCTC 1780, NBIMCC 2232, NBRC 102363, NCIMB 12654, NRRL B-3342, VTT E-82151",1,1,"Actinoplanes missouriensis",Actinoplanes,missouriensis,1
7834,"LA 83","DSM 43940, ATCC 49797, BCC 55025, IFO 14916, NBRC 14916, NCIMB 20021, TBRC 2208, JCM 7626, BCRC 16347, IMSNU 20038, KCTC 9257, NRRL B-16691",1,1,"Actinoplanes palleronii",Actinoplanes,palleronii,1
140744,,"NRRL B-65484, DSM 105064, ATCC 33076",1,1,"Actinoplanes ramoplaninifer",Actinoplanes,ramoplaninifer,1
7811,"LL 7-10 (IMRU 3919), MB-T 24","DSM 43808, ATCC 29234, BCC 60402, IFO 13941, IMRU 3919, KCC A-0194, NBRC 13941, TBRC 2207, JCM 3194, BCRC 13338, IFM 1260, IMET 9276, IMSNU 20041, KCTC 9540, NCIMB 12746, NRRL B-16090",1,1,"Actinoplanes rectilineatus",Actinoplanes,rectilineatus,1
7812,"UNCC 79","DSM 43151, CBS 193.64, IAM 14279, IFO 12514, IMET 9268, JCM 3062, KCC A-0062, NBRC 12514, RIA 821, BCC 49176, HAMBI 1928, IFM 1241, KCTC 9119, NCIMB 12730, NRRL B-3347, TBRC 168, VKM Ac-650",1,1,"Actinoplanes regularis",Actinoplanes,regularis,1
158014,M4147,"DSM 100965",1,1,"Actinoplanes sediminis",Actinoplanes,sediminis,1
130440,"A-T 6646","DSM 46706, BCC 46194, NBRC 109076",1,1,"Actinoplanes siamensis",Actinoplanes,siamensis,1
7842,03-723,"DSM 45183, CCM 7526, KCTC 19460, JCM 16605",1,1,"Actinoplanes sichuanensis",Actinoplanes,sichuanensis,1
164277,,"JCM 32512, CGMCC 4.7580, LAM 7112",1,1,"Actinoplanes solisilvae",Actinoplanes,solisilvae,1
133187,"A-T 5400","BCC 42734, TBRC 5832, NBRC 109645, DSM 108650",1,1,"Actinoplanes subglobosus",Actinoplanes,subglobosus,1
7818,"AB 8327, FH 2149","DSM 43866, ATCC 31121, BCRC 12106, FERM P-3462, IFO 13999, IMET 9254, IMSNU 20043, JCM 3252, KCC A-0252, KCTC 9543, NBRC 13999, NCIMB 12640, NRRL B-16726, SANK 60479, BCC 49180, NBIMCC 2300, TBRC 172",1,1,"Actinoplanes teichomyceticus",Actinoplanes,teichomyceticus,1
7844,MN07-A0371,"DSM 45572, NBRC 105297, VTCC D9-10",1,1,"Actinoplanes tereljensis",Actinoplanes,tereljensis,1
7845,MN07-A0368,"DSM 45573, NBRC 105298, VTCC D9-11",1,1,"Actinoplanes toevensis",Actinoplanes,toevensis,1
7843,03-8772,"DSM 45184, CCM 7527, KCTC 19461, JCM 16606, NBRC 106528",1,1,"Actinoplanes xinjiangensis",Actinoplanes,xinjiangensis,1
11159,,"DSM 18448, CCTCC AA 206004, JCM 16537, YIM 45725",1,1,"Actinopolymorpha rutila",Actinopolymorpha,rutila,0
,,,,,,,,1
17721,,"DSM 43834, ATCC 27976, IFO 14106, JCM 3278, KCC A-0278, NBRC 14106, NCIB 11472, BCRC 13403, CGMCC 4.1219, IMSNU 20045, IMSNU 21360, KCTC 9127, MTCC 263, NCIMB 11472, VKM Ac-871",1,1,"Actinopolyspora halophila",Actinopolyspora,halophila,1
24729,,"DSM 46731, CCTCC AA 2012020, KCTC 19657, TRM 40139, JCM 31477",1,1,"Actinopolyspora lacussalsi",Actinopolyspora,lacussalsi,1
24730,H55,"DSM 45460, CCUG 62965",1,1,"Actinopolyspora mzabensis",Actinopolyspora,mzabensis,1
132380,,"DSM 45410, CCTCC AA 209065, YIM 75728",1,1,"Actinorectispora indica",Actinorectispora,indica,1
17634,GE134766,"DSM 44926, NRRL B-24431, JCM 14896, BCRC 16838, NBRC 102107",1,1,"Actinospica acidiphila",Actinospica,acidiphila,1
17635,GE134769,"DSM 44927, JCM 14908, NRRL B-24432, BCRC 16839, NBRC 102112",1,1,"Actinospica robiniae",Actinospica,robiniae,1
