ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,Cell width
11,,"DSM 11825, LTH 2458, CIP 105762",1,1,Acetobacter pomorum,Acetobacter,pomorum,0.8-1.2
21,CWBI-B418,"DSM 18889, LMG 23690",1,1,Acetobacter senegalensis,Acetobacter,senegalensis,0.8
17779,OS1,"DSM 22491, ATCC BAA-1850",1,1,Acetomicrobium hydrogeniformans,Acetomicrobium,hydrogeniformans,0.4-0.5
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,1,Acetomicrobium mobile,Acetomicrobium,mobile,0.5-1
140509,,"LMG 3411, CCUG 62454",1,1,Achromobacter agilis,Achromobacter,agilis,0.4-0.7
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,1,Achromobacter aloeverae,Achromobacter,aloeverae,0.8-1.2
140506,,"LMG 3458, CCUG 62433",1,1,Achromobacter deleyi,Achromobacter,deleyi,0.4-0.7
140507,,"CCUG 62449, LMG 3441",1,1,Achromobacter kerstersii,Achromobacter,kerstersii,0.4-0.7
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,1,Achromobacter marplatensis,Achromobacter,marplatensis,0.4-1.1
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,1,Achromobacter pestifer,Achromobacter,pestifer,0.4-0.7
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,1,Acidibrevibacterium fodinaquatile,Acidibrevibacterium,fodinaquatile,1.3-1.5
133383,SK-11,"DSM 100508, NBRC 111227",1,1,Acidicapsa acidisoli,Acidicapsa,acidisoli,0.7-1.0
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,1,Acidicapsa borealis,Acidicapsa,borealis,0.6-0.9
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,1,Acidicapsa dinghuensis,Acidicapsa,dinghuensis,0.4-0.8
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,1,Acidicapsa ligni,Acidicapsa,ligni,0.5-0.8
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,1,Acidimangrovimonas sediminis,Acidimangrovimonas,sediminis,1.5-2.3
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,1,Acidimicrobium ferrooxidans,Acidimicrobium,ferrooxidans,0.35-0.4
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,1,Acidiphilium cryptum,Acidiphilium,cryptum,0.3-0.4
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,1,Silvibacterium dinghuense,Silvibacterium,dinghuense,0.6-1.1
158421,JS278,"DSM 106790, VTT E-113202",1,1,Acidipropionibacterium virtanenii,Acidipropionibacterium,virtanenii,0.7
82,TPB606,"DSM 21000, VKM B-2487",1,1,Acidisoma sibiricum,Acidisoma,sibiricum,0.7-1.2
81,WM1,"DSM 19999, VKM B-2488",1,1,Acidisoma tundrae,Acidisoma,tundrae,0.8-1.5
67,HS-AP3,"DSM 16009, JCM 10600",1,1,Acidisphaera rubrifaciens,Acidisphaera,rubrifaciens,0.7-1.0
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,1,Acidithiobacillus ferridurans,Acidithiobacillus,ferridurans,1.5
159192,CJ-2,"DSM 105150, KCTC 4683",1,1,Acidithiobacillus sulfuriphilus,Acidithiobacillus,sulfuriphilus,0.5
133033,PMMR2,"DSM 27394, LMG 28340",1,1,Acidobacterium ailaaui,Acidobacterium,ailaaui,0.7-0.9
133532,AL46,"NBRC 104303, DSM 108313, VTCC D9-1",1,1,Acidocella aluminiidurans,Acidocella,aluminiidurans,0.3
158255,Ok2G,"DSM 104037, NBRC 112502",1,1,Acidocella aquatica,Acidocella,aquatica,0.6-0.8
2903,R-24608,"DSM 19327, LMG 24103",1,1,Acidovorax caeni,Acidovorax,caeni,0.9
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,1,Acidovorax kalamii,Acidovorax,kalamii,0.71-0.76
2905,N35,"DSM 23535, LMG 25767",1,1,Acidovorax radicis,Acidovorax,radicis,0.3-0.5
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,1,Acidovorax soli,Acidovorax,soli,0.5
23868,NF 1078,"DSM 27981, CCUG 62584, LMG 26971",1,1,Acidovorax wautersii,Acidovorax,wautersii,0.45
130449,SAP284.1,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,1,Acinetobacter boissieri,Acinetobacter,boissieri,1.5
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,1,Acinetobacter defluvii,Acinetobacter,defluvii,0.6-0.9
140912,114,"CCUG 65204, DSM 27228",1,1,Acinetobacter equi,Acinetobacter,equi,0.8
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,1,Acinetobacter indicus,Acinetobacter,indicus,1
133403,BRTC-1,"ACCC 19936, JCM 31367",1,1,Acinetobacter larvae,Acinetobacter,larvae,0.2-0.8
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,1,Acinetobacter nectaris,Acinetobacter,nectaris,1.5
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,1,Acinetobacter piscicola,Acinetobacter,piscicola,0.6-1.2
164465,S23,"JCM 33150, KACC 19921",1,1,Acinetobacter pullicarnis,Acinetobacter,pullicarnis,0.6-0.8
132918,BQ4-1,"DSM 105039, CFCC 10780, JCM 18011, CCUG 69709, CIP 110585",1,1,Acinetobacter puyangensis,Acinetobacter,puyangensis,0.6
134305,JC2129,"KCTC 12704, JCM 14002",1,1,Actibacter sediminis,Actibacter,sediminis,0.8
24522,R46,"DSM 28448, CECT 7668, KCTC 23349",1,1,Actibacterium mucosum,Actibacterium,mucosum,0.35
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,1,Actibacterium pelagium,Actibacterium,pelagium,0.6-1.2
141055,LS-811,"BCRC 80823, JCM 30681",1,1,Actibacterium ureilyticum,Actibacterium,ureilyticum,0.6-0.8
17007,TT00-28,"DSM 45447, KCTC 19537, NBRC 103682",1,1,Actinoallomurus amamiensis,Actinoallomurus,amamiensis,0.75
132110,A3015,"DSM 45445, KCTC 19535, NBCR 103678, NBRC 103678",1,1,Actinoallomurus caesius,Actinoallomurus,caesius,0.9
17008,TT04-09,"DSM 45450, KCTC 19542, NBRC 103688",1,1,Actinoallomurus coprocola,Actinoallomurus,coprocola,0.75
17010,TT02-47,"DSM 45448, KCTC 19539, NBRC 103685",1,1,Actinoallomurus iriomotensis,Actinoallomurus,iriomotensis,0.6
,,,,,,,,0.95
17011,TT02-15,"DSM 45452, KCTC 19538, NBRC 103683",1,1,Actinoallomurus luridus,Actinoallomurus,luridus,0.75
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,1,Actinoallomurus purpureus,Actinoallomurus,purpureus,0.75
17013,TTN02-22,"DSM 45451, KCTC 19540, NBRC 103686",1,1,Actinoallomurus yoronensis,Actinoallomurus,yoronensis,0.65
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,1,Actinobaculum suis,Actinobaculum,suis,0.3-0.5
,,,,,,,,0.5
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,1,Actinocatenispora rupis,Actinocatenispora,rupis,0.45
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,1,Actinocatenispora thailandica,Actinocatenispora,thailandica,0.3-0.4
132014,OB1,"DSM 45618, ATCC BAA-2771",1,1,Actinocrinis puniceicyclus,Actinocrinis,puniceicyclus,1-1.5
13207,ID 03-0561,"DSM 45656, BTCC B554, NBRC 104211",1,1,Actinokineospora baliensis,Actinokineospora,baliensis,1.5-2
13209,ID 03-0810,"DSM 45657, BTCC B-558, NBRC 105526",1,1,Actinokineospora cianjurensis,Actinokineospora,cianjurensis,1.5-2
13208,ID 03-0784,"DSM 45658, BTCC B555, NBRC 104212",1,1,Actinokineospora cibodasensis,Actinokineospora,cibodasensis,1.5-1.8
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,1,Actinomadura flavalba,Actinomadura,flavalba,0.6
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,1,Actinomyces gaoshouyii,Actinomyces,gaoshouyii,0.4-0.6
166249,2129,"CGMCC 4.7483, DSM 106426",1,1,Actinomyces lilanjuaniae,Actinomyces,lilanjuaniae,0.4-0.6
192,4401292,"DSM 23047, CCUG 53522, KCTC 15158, CSUR P18, JCM 16130, CIP 109360",1,1,Actinomyces massiliensis,Actinomyces,massiliensis,0.35-0.74
159350,410,"DSM 106201, CGMCC 1.16361",1,1,Actinomyces qiguomingii,Actinomyces,qiguomingii,0.3-0.5
193,7400942,"KCTC 15137, DSM 23838, CCUG 55928, CSUR P35",1,1,Actinomyces timonensis,Actinomyces,timonensis,0.3-0.5
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,1,Actinomyces vulturis,Actinomyces,vulturis,0.5-0.8
196,"2298, 2298/06","DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472",1,1,Actinomyces weissii,Actinomyces,weissii,1.25
24730,H55,"DSM 45460, CCUG 62965",1,1,Actinopolyspora mzabensis,Actinopolyspora,mzabensis,0.55
17634,GE134766,"DSM 44926, NRRL B-24431, JCM 14896, BCRC 16838, NBRC 102107",1,1,Actinospica acidiphila,Actinospica,acidiphila,0.5
17635,GE134769,"DSM 44927, JCM 14908, NRRL B-24432, BCRC 16839, NBRC 102112",1,1,Actinospica robiniae,Actinospica,robiniae,0.6
133962,CF5-4,"KCTC 29134, CCTCC AB 2012198, DSM 112671, JCM 31479",1,1,Actinotalea ferrariae,Actinotalea,ferrariae,0.45
158625,THG-T121,"KACC 19191, CGMCC 4.7389, JCM 32747",1,1,Actinotalea solisilvae,Actinotalea,solisilvae,0.6-0.8
133587,6515J-31,"KACC 14117, NBRC 106133",1,1,Adhaeribacter aerolatus,Adhaeribacter,aerolatus,1-1.2
133589,6424S-25,"KACC 14118, NBRC 106134",1,1,Adhaeribacter aerophilus,Adhaeribacter,aerophilus,0.9-1.1
3764,MBRG1.5,"DSM 16391, NCIMB 14008",1,1,Adhaeribacter aquaticus,Adhaeribacter,aquaticus,1.3
158784,17mud1-7,"KCTC 52873, NBRC 112824",1,1,Adhaeribacter swui,Adhaeribacter,swui,0.5-1.0
140958,HY02,"KCTC 52512, JCM 31652",1,1,Adhaeribacter terrae,Adhaeribacter,terrae,0.7-0.9
133455,DNG6,"CGMCC 1.6961, NBRC 104235",1,1,Adhaeribacter terreus,Adhaeribacter,terreus,0.4
22982,NR06,"DSM 22242, CCUG 57646, KCTC 15365",1,1,Adlercreutzia caecicola,Adlercreutzia,caecicola,0.5
3077,B7,"DSM 21839, CCUG 56815",1,1,Adlercreutzia caecimuris,Adlercreutzia,caecimuris,0.5
3072,do03,"DSM 18785, JCM 14811, AHU 1763, KCTC 15587",1,1,Adlercreutzia equolifaciens subsp. celata,Adlercreutzia,equolifaciens,0.45
3073,FJC-B9,"DSM 19450, CCUG 54925, JCM 14793, KCTC 15235",1,1,Adlercreutzia equolifaciens,Adlercreutzia,equolifaciens,0.65
3076,Mt1B8,"DSM 19490, CCUG 54980",1,1,Adlercreutzia mucosicola,Adlercreutzia,mucosicola,0.5
140913,,"ACCC 06485, JCM 30465, LAM 0050",1,1,Advenella alkanexedens,Advenella,alkanexedens,0.6-0.8
132905,M-07,"DSM 104993, JCM 17746, KCTC 23732",1,1,Advenella faeciporci,Advenella,faeciporci,1.75
383,WT001,"DSM 17095, LMG 22965, MTCC 7002",1,1,Advenella kashmirensis,Advenella,kashmirensis,1.05
384,DPN7,"DSM 17166, LMG 22922",1,1,Advenella mimigardefordensis,Advenella,mimigardefordensis,1.5
170914,TAU-A01009,TAU-MAC 0815,1,1,Aegeococcus anagnostidisii,Aegeococcus,anagnostidisii,0.6-1.3
160122,Pan181,"DSM 29370, LMG 31346, CECT 9840, VKM B-3426",1,1,Aeoliella mucimassa,Aeoliella,mucimassa,0.6-0.8
166411,,"KACC 15529, NBRC 108213, IMCC 3088",1,1,Aequoribacter fuscus,Aequoribacter,fuscus,0.6-0.8
140229,D-24,"DSM 101732, KCTC 42708",1,1,Aequorivita aquimaris,Aequorivita,aquimaris,0.4-0.5
5479,A71,"DSM 23843, JCM 15070, KCTC 22183",1,1,Aequorivita capsosiphonis,Aequorivita,capsosiphonis,0.35
5477,3-Sep,"DSM 14238, ACAM 643, CIP 107454, LMG 21432",1,1,Aequorivita sublithincola,Aequorivita,sublithincola,0.4-0.5
24014,8-1b,"DSM 26349, CGMCC 1.11023, JCM 18497",1,1,Aequorivita viscosa,Aequorivita,viscosa,2
158560,N.8,"KCTC 33824, JCM 31580",1,1,Aeribacillus composti,Aeribacillus,composti,0.5-0.6
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939, JCM 15959",1,1,Aeriscardovia aeriphila,Aeriscardovia,aeriphila,0.75
11058,KSL-107,"DSM 16824, CIP 108938, JCM 13518, KCTC 19073, BCRC 16830",1,1,Aeromicrobium alkaliterrae,Aeromicrobium,alkaliterrae,1.25
168559,M2KJ-4,"KCTC 49174, CGMCC 1.13666",1,1,Aeromicrobium endophyticum,Aeromicrobium,endophyticum,0.9-1.2
11064,"TYLN1, TYLNI","DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625, CIP 110459",1,1,Aeromicrobium flavum,Aeromicrobium,flavum,0.2-0.4
11062,,"DSM 22238, JCM 14732, KCTC 19207, GBS 39, Gsoil 098",1,1,Aeromicrobium ginsengisoli,Aeromicrobium,ginsengisoli,0.3-0.4
11066,,"DSM 24822, JCM 15749, KCCM 90079, KME 001",1,1,Aeromicrobium halocynthiae,Aeromicrobium,halocynthiae,0.4-0.5
159668,,"DSM 105424, NBRC 112936, CPCC 204604",1,1,Aeromicrobium lacus,Aeromicrobium,lacus,0.5-0.6
11061,,"DSM 17939, CCUG 52476, KCTC 19131, Gsoil 161, JCM 16926, JCM 15303",1,1,Aeromicrobium panaciterrae,Aeromicrobium,panaciterrae,0.2-0.4
11065,HSW-1,"DSM 19178, KACC 20565, JCM 16375",1,1,Aeromicrobium ponti,Aeromicrobium,ponti,0.7
11063,SSW1-57,"DSM 19087, JCM 13811, NRRL B-24466, CIP 109549",1,1,Aeromicrobium tamlense,Aeromicrobium,tamlense,0.5
23547,266,"DSM 27583, CECT 8023, LMG 26707, CIP 110626, LMG 2670",1,1,Aeromonas australiensis,Aeromonas,australiensis,0.85
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,1,Aeromonas bivalvium,Aeromonas,bivalvium,0.3-1.0
283,717,"DSM 23621, CECT 7401, LMG 24681, CIP 110205",1,1,Aeromonas fluvialis,Aeromonas,fluvialis,0.6-0.7
262,"848T, 848","DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,1,Aeromonas molluscorum,Aeromonas,molluscorum,0.5-1.0
288,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511, CIP 110301",1,1,Aeromonas rivuli,Aeromonas,rivuli,0.5-0.7
286,A2-67,"DSM 24094, CECT 7402, LMG 24682, CIP 110203",1,1,Aeromonas sanarellii,Aeromonas,sanarellii,0.7
285,A2-50,"DSM 24096, CECT 7403, LMG 24683, CIP 110204",1,1,Aeromonas taiwanensis,Aeromonas,taiwanensis,0.8-1
159185,Dysh456,"DSM 105662, NBRC 112897",1,1,Aerosticca soli,Aerosticca,soli,0.8
437,JC2043,"DSM 15266, KCTC 12043, IMSNU 14007, CIP 108412",1,1,Aestuariibacter halophilus,Aestuariibacter,halophilus,0.5-0.6
438,JC2042,"DSM 15300, KCTC 12042, IMSNU 14006, CIP 108413",1,1,Aestuariibacter salexigens,Aestuariibacter,salexigens,0.4-0.6
133791,,"KACC 16186, JCM 17789, SC 17",1,1,Aestuariibaculum suncheonense,Aestuariibaculum,suncheonense,0.6
158658,DBTF-13,"KACC 19432, NBRC 113038",1,1,Aestuariibius insulae,Aestuariibius,insulae,0.2-0.8
12671,R27,"DSM 21549, JCM 14204, KCTC 19182, CIP 109737",1,1,Aestuariimicrobium kwangyangense,Aestuariimicrobium,kwangyangense,0.8-1.0
158420,D6,"DSM 105824, KCTC 39995",1,1,Aestuariimicrobium soli,Aestuariimicrobium,soli,0.6-0.7
158355,OITF-44,"DSM 105891, KACC 19569, KCTC 62197, NBRC 113118",1,1,Aestuariimonas insulae,Aestuariimonas,insulae,0.2-0.6
160775,,"DSM 105254, KCTC 52945, NBRC 112960, SYSU M10001",1,1,Aestuariivirga litoralis,Aestuariivirga,litoralis,0.7-0.9
131429,SBSr002,"DSM 24601, NCCB 100377",1,1,Aetherobacter fasciculatus,Aetherobacter,fasciculatus,1-1.3
130794,SBSr003,"DSM 24628, NCCB 100378",1,1,Aetherobacter rufus,Aetherobacter,rufus,1-1.2
167386,JA968,"KCTC 15634, NBRC 113338",1,1,Afifella aestuarii,Afifella,aestuarii,0.5-0.7
13876,AR2102,"DSM 17143, ATCC BAA-1145",1,1,Afifella pfennigii,Afifella,pfennigii,0.6
159752,2p52,"KCTC 52473, MCCC 1H00151",1,1,Agaribacter flavus,Agaribacter,flavus,0.6-0.8
141009,feces2,"MCCC 1A11450, KCTC 52708",1,1,Agaribacterium haliotis,Agaribacterium,haliotis,0.7
133571,"CC-SBABM117, SBABM117","BCRC 17964, CCM 7684, DSM 22517",1,1,Agaricicola taiwanensis,Agaricicola,taiwanensis,0.5
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,1,Agarilytica rhodophyticola,Agarilytica,rhodophyticola,0.3-1.1
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,1,Agarivorans aestuarii,Agarivorans,aestuarii,0.5-0.8
133657,,"IAM 14998, LMG 21761, MKT 106, JCM 21469, NBRC 102603, CIP 108457",1,1,Agarivorans albus,Agarivorans,albus,0.8
132395,JK 623,"DSM 29029, LMG 28559",1,1,Agathobacter ruminis,Agathobacter,ruminis,0.3-0.4
132618,SR79,"DSM 100391, KCTC 15532, JCM 30795",1,1,Agathobaculum butyriciproducens,Agathobaculum,butyriciproducens,0.6-0.7
164183,MO-CFX2,"JCM 32065, KCTC 15625",1,1,Aggregatilinea lenta,Aggregatilinea,lenta,0.5-0.6
6668,,"DSM 18527, JCM 14202, NRIC 0689, CIP 109571",1,1,Agrilactobacillus composti,Agrilactobacillus,composti,0.8
164664,54-2,"JCM 33824, CCM 8896, KCTC 21120, LMG 31058, NCIMB 15154",1,1,Agrilactobacillus yilanensis,Agrilactobacillus,yilanensis,1
140485,,"LMG 29287, HAMBI 3646, YIC 5082",1,1,Agrobacterium salinitolerans,Agrobacterium,salinitolerans,0.41-0.5
13647,Ch11,"DSM 26438, CFBP 7420, HAMBI 3460, LMG 26191",1,1,Agrobacterium skierniewicense,Agrobacterium,skierniewicense,0.5
7256,"R-17892t 2, R-17892t2","DSM 18061, CIP 109629, LMG 22410, JCM 14916",1,1,Agrococcus casei,Agrococcus,casei,0.35
7258,SSW1-48,"DSM 22002, JCM 14256, KCTC 19198",1,1,Agrococcus jejuensis,Agrococcus,jejuensis,0.3-0.4
7255,K22-21,"DSM 17612, MTCC 7154, JCM 14301, CGMCC 1.7259, CGMCC 1.8869, NCIMB 14388, CIP 109379",1,1,Agrococcus lahaulensis,Agrococcus,lahaulensis,0.6-1
24181,DNG5,"DSM 28114, CGMCC 1.6960, JCM 17488, NBRC 104260",1,1,Agrococcus terreus,Agrococcus,terreus,0.4-0.5
7257,K 114/01,"DSM 19812, LMG 24386, CCUG 58092, JCM 16026",1,1,Agrococcus versicolor,Agrococcus,versicolor,0.5-0.6
7279,UMS-62,"DSM 21551, JCM 13584, KCTC 19181, CIP 109546",1,1,Agromyces allii,Agromyces,allii,0.3
7281,P27,"DSM 23870, JCM 15913, KCTC 19593",1,1,Agromyces atrinae,Agromyces,atrinae,0.75
132611,AR33,"DSM 101731, LMG 29235, JCM 32431",1,1,Agromyces aureus,Agromyces,aureus,0.3-0.5
132534,"OAct-353, OAct353","DSM 28305, CGMCC 4.7180, NRRL B-59115, JCM 32487",1,1,Agromyces binzhouensis,Agromyces,binzhouensis,0.2-0.7
7275,"CD 5, CD5","DSM 16389, NBRC 109085, NCIMB 14012, HKI 0327, JCM 14319, CIP 108741, IAM 15274",1,1,Agromyces humatus,Agromyces,humatus,0.4
141074,,"KCTC 39117, CCTCC AB 2014301, CFH S0483, JCM 31741, BCRC 16983",1,1,Agromyces insulae,Agromyces,insulae,0.2-0.3
7276,CD1,"DSM 16388, NCIMB 14011, HKI 0325, JCM 14320, IAM 15273, CIP 108740",1,1,Agromyces italicus,Agromyces,italicus,0.5
7274,CD55,"DSM 16390, NCIMB 14013, HKI 0324, JCM 14321, IAM 15275, CIP 108739",1,1,Agromyces lapidis,Agromyces,lapidis,0.5
7272,23-23,"DSM 16197, CIP 108987, NBRC 109084, HKI 0321, JCM 14322, IAM 15296, NCIMB 13990, NCIMB 13989",1,1,Agromyces neolithicus,Agromyces,neolithicus,0.4
7277,Z33,"DSM 16689, NCIMB 14025, HKI 0340, JCM 14324, IAM 15298, CIP 108957",1,1,Agromyces subbeticus,Agromyces,subbeticus,0.3-0.5
159616,SJ-23,"DSM 105049, CGMCC 4.7419",1,1,Agromyces tardus,Agromyces,tardus,0.2-0.4
7280,DS-10,"DSM 22016, JCM 14581, KCTC 19216",1,1,Agromyces terreus,Agromyces,terreus,0.35
132966,LZD062,"DSM 28886, JCM 30117, MCCC 1K00254",1,1,Ahrensia marina,Ahrensia,marina,0.6-0.8
6086,,"DSM 19219, CCTCC AB 207002, KCTC 12885, YIM 90637",1,1,Aidingimonas halophila,Aidingimonas,halophila,0.2
170928,"A-109-1, KL12",,1,1,Albertania alaskaensis,Albertania,alaskaensis,1.8-3
14116,BZ42,"DSM 22554, CGMCC 1.10187, CIP 110134",1,1,Albibacterium bauzanense,Albibacterium,bauzanense,0.5-0.6
13844,DS2,"DSM 17890, KCTC 12586",1,1,Albimonas donghaensis,Albimonas,donghaensis,1.2
133988,P-50-3,"KACC 16527, CGMCC 1.11030",1,1,Albimonas pacifica,Albimonas,pacifica,1
158774,S1-47,"KACC 18804, JCM 31536",1,1,Albirhodobacter confluentis,Albirhodobacter,confluentis,0.8-1.0
134159,,"CCUG 50924, CIP 108999, LMG 22996",1,1,Alcaligenes aquatilis,Alcaligenes,aquatilis,0.9
394,B-5,"DSM 16502, CGMCC 1.3690",1,1,Alcanivorax dieselolei,Alcanivorax,dieselolei,0.3-0.7
133431,A-11-3,"CGMCC 1.7084, LMG 24624, MCCC 1A01496",1,1,Alcanivorax hongdengensis,Alcanivorax,hongdengensis,0.65
133994,R8-12,"MCCC 1A00382, LMG 24621, CCTCC AB 208234",1,1,Alcanivorax marinus,Alcanivorax,marinus,0.55
158801,MT13131,"MCCC 1A11581, KCTC 52985",1,1,Alcanivorax mobilis,Alcanivorax,mobilis,0.3-0.6
140512,19-m-6,"MCCC 1A05629, KCTC 52137",1,1,Alcanivorax nanhaiticus,Alcanivorax,nanhaiticus,0.5
134021,KYW563,"KCTC 23857, JCM 18275",1,1,Algibacter agarilyticus,Algibacter,agarilyticus,0.35
134020,KYW560,"KCTC 23855, JCM 18285",1,1,Algibacter agarivorans,Algibacter,agarivorans,0.35
140562,SK-16,"NBRC 110220, KCTC 32974",1,1,Algibacter aquaticus,Algibacter,aquaticus,0.2-0.4
133907,KYW589,"KCTC 23928, JCM 18287",1,1,Algibacter aquimarinus,Algibacter,aquimarinus,0.3
5480,M-3Alg 15-1,"DSM 15365, KCTC 12103, KMM 3902, JCM 21761, IAM 15311, LMG 23347, LMG 22573, NBRC 100591",1,1,Algibacter lectus,Algibacter,lectus,0.4-0.5
,,,,,,,,0.45
134276,,"KCTC 127105, LMG 23988, KMM 6171T, CIP 109749, KCTC 12710, KMM 6171",1,1,Algibacter mikhailovii,Algibacter,mikhailovii,0.35
133987,WS-MY9,"KCTC 32259, CCUG 63684",1,1,Algibacter undariae,Algibacter,undariae,0.55
134060,WS-MY22,"KCTC 32381, CECT 8301",1,1,Algibacter lectus,Algibacter,lectus,0.3
166449,,"KCTC 62395, MCCC 1K03486, HHTR 118",1,1,Algihabitans albus,Algihabitans,albus,0.3-0.4
134052,14A-2-7,"LMG 26421, NBRC 108219",1,1,Algimonas ampicilliniresistens,Algimonas,ampicilliniresistens,0.38
133831,0C-2-2,"LMG 26424, NBRC 108216",1,1,Algimonas porphyrae,Algimonas,porphyrae,0.37
18152,DG1253,"DSM 24793, ATCC BAA-2243",1,1,Algiphilus aromaticivorans,Algiphilus,aromaticivorans,0.6
133393,S2-A1,"KACC 18987, JCM 31546",1,1,Algoriphagus aestuariicola,Algoriphagus,aestuariicola,0.4-0.7
17695,R-10710,"DSM 15986, LMG 21980",1,1,Algoriphagus antarcticus,Algoriphagus,antarcticus,0.5
