ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Incubation period (in days)"
97,"PG 8, PG8","DSM 23060, ATCC 23206, CIP 75.27, IFO (now NBRC) 14400, NCTC 10116, CCUG 32754",1,1,"Acholeplasma laidlawii",Acholeplasma,laidlawii,"1-2 days"
156528,"LiPuma AU4014, Vandamme R-31134","CCUG 62438, LMG 26852, CIP 110713",1,1,"Achromobacter aegrifaciens",Achromobacter,aegrifaciens,"1 day"
140509,,"LMG 3411, CCUG 62454",1,1,"Achromobacter agilis",Achromobacter,agilis,"2 days"
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,1,"Achromobacter aloeverae",Achromobacter,aloeverae,"2 days"
130142,"AU15230, AU 15230, R-46662","DSM 29601, CCUG 61966, LMG 26690, CIP 110841",1,1,"Achromobacter animicus",Achromobacter,animicus,"1 day"
,,,,,,,,"1-2 days"
156534,"Vandamme R-47433, LiPuma AU11412","CCUG 62444, LMG 26857, CIP 110712",1,1,"Achromobacter anxifer",Achromobacter,anxifer,"1 day"
140506,,"LMG 3458, CCUG 62433",1,1,"Achromobacter deleyi",Achromobacter,deleyi,"1 day"
,,,,,,,,"2 days"
134918,"Vandamme R-47430, LiPuma AU4012","CIP 110711, LMG 26840, CCUG 62421",1,1,"Achromobacter dolens",Achromobacter,dolens,"1 day"
136698,"LiPuma AU15210, Vandamme R-47438","CIP 110710, LMG 26845, CCUG 62426",1,1,"Achromobacter insuavis",Achromobacter,insuavis,"1 day"
140507,,"CCUG 62449, LMG 3441",1,1,"Achromobacter kerstersii",Achromobacter,kerstersii,"1 day"
,,,,,,,,"2 days"
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,1,"Achromobacter marplatensis",Achromobacter,marplatensis,"2 days"
130143,"AU 13054, R-46658","DSM 29602, LMG 26685, CCUG 61961, CIP 110844",1,1,"Achromobacter mucicolens",Achromobacter,mucicolens,"1 day"
,,,,,,,,"1-2 days"
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,1,"Achromobacter pestifer",Achromobacter,pestifer,"1 day"
,,,,,,,,"2 days"
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,1,"Achromobacter piechaudii",Achromobacter,piechaudii,"2-3 days"
130144,"E38/27-S, R-16442","DSM 29617, CCUG 61972, LMG 26696, CIP 110842",1,1,"Achromobacter pulmonis",Achromobacter,pulmonis,"1 day"
,,,,,,,,"1-2 days"
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,1,"Achromobacter ruhlandii",Achromobacter,ruhlandii,"1-2 days"
168915,,"LMG 30378, CCUG 71558",1,1,"Achromobacter veterisilvae",Achromobacter,veterisilvae,"2 days"
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,1,"Achromobacter xylosoxidans",Achromobacter,xylosoxidans,"1-2 days"
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,1,"Acidaminococcus intestini",Acidaminococcus,intestini,"2 days"
16643,,"DSM 3772, JCM 9191, LEI 10",1,1,"Acidianus ambivalens",Acidianus,ambivalens,"2-3 days"
133383,SK-11,"DSM 100508, NBRC 111227",1,1,"Acidicapsa acidisoli",Acidicapsa,acidisoli,"10 days"
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,1,"Acidicapsa borealis",Acidicapsa,borealis,"8-14 days"
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,1,"Acidicapsa ligni",Acidicapsa,ligni,"3-7 days"
4303,m-1,"DSM 2392, JCM 17358",1,1,"Acidiferrobacter thiooxydans",Acidiferrobacter,thiooxydans,"3-7 days"
6149,V6,"DSM 14174, JCM 32253",1,1,"Acidihalobacter aeolianus",Acidihalobacter,aeolianus,"2-3 days"
6148,LM3,"DSM 5130, JCM 30709",1,1,"Acidihalobacter prosperus",Acidihalobacter,prosperus,"3-7 days"
17800,345-15,"DSM 16705, JCM 18335, VKM B-2471",1,1,"Acidilobus saccharovorans",Acidilobus,saccharovorans,"3-7 days"
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,1,"Acidimangrovimonas sediminis",Acidimangrovimonas,sediminis,"2 days"
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,1,"Acidiphilium cryptum",Acidiphilium,cryptum,"2-3 days"
,,,,,,,,"5-7 days"
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,1,"Silvibacterium dinghuense",Silvibacterium,dinghuense,"14 days"
130544,IGBL1,"DSM 25436, CECT 8061, KCTC 15514",1,1,"Acidipropionibacterium olivae",Acidipropionibacterium,olivae,"3-7 days"
82,TPB606,"DSM 21000, VKM B-2487",1,1,"Acidisoma sibiricum",Acidisoma,sibiricum,"14 days"
81,WM1,"DSM 19999, VKM B-2488",1,1,"Acidisoma tundrae",Acidisoma,tundrae,"14 days"
67,HS-AP3,"DSM 16009, JCM 10600",1,1,"Acidisphaera rubrifaciens",Acidisphaera,rubrifaciens,"7 days"
126,KU,"DSM 8584, ATCC 51756",1,1,"Acidithiobacillus caldus",Acidithiobacillus,caldus,"2-3 days"
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,1,"Acidithiobacillus ferridurans",Acidithiobacillus,ferridurans,"3-7 days"
129,NO-37,"DSM 22755, JCM 15606",1,1,"Acidithiobacillus ferrivorans",Acidithiobacillus,ferrivorans,"3-7 days"
118,,"DSM 14882, ATCC 23270, NCIMB 8455",1,1,"Acidithiobacillus ferrooxidans",Acidithiobacillus,ferrooxidans,"3-7 days"
125,3/TA,"DSM 14887, ATCC 19377, JCM 3867, NCIMB 8343, CIP 104597, IAM 12134",1,1,"Acidithiobacillus thiooxidans",Acidithiobacillus,thiooxidans,"3-7 days"
133033,PMMR2,"DSM 27394, LMG 28340",1,1,"Acidobacterium ailaaui",Acidobacterium,ailaaui,"6 days"
131,161,"DSM 11244, ATCC 51196, JCM 7670, NCIMB 13165, BCRC 80197, IFO 15755, NBRC 15755",1,1,"Acidobacterium capsulatum",Acidobacterium,capsulatum,"3-7 days"
2905,N35,"DSM 23535, LMG 25767",1,1,"Acidovorax radicis",Acidovorax,radicis,"2 days"
156949,,"CCUG 67281, CCM 8611, CIP 111640, ANC 4874",1,1,"Acinetobacter albensis",Acinetobacter,albensis,"1 day"
8093,"2208, 81","DSM 30007, ATCC 19606, CIP 70.34, DSM 6974, JCM 6841, CCUG 19096, CGMCC 1.6769, IAM 12088, KCTC 2508, LMG 1041, LMG 10545, NBRC 109757, NCIMB 12457, NCTC 12156",1,1,"Acinetobacter baumannii",Acinetobacter,baumannii,"1-2 days"
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,1,"Acinetobacter baylyi",Acinetobacter,baylyi,"1-2 days"
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,1,"Acinetobacter bereziniae",Acinetobacter,bereziniae,"1-2 days"
130449,SAP284.1,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,1,"Acinetobacter boissieri",Acinetobacter,boissieri,"2 days"
,,,,,,,,"2-3 days"
8140,5YN5-8,"DSM 18516, CIP 110357, KACC 11602, CCUG 61636, CIP 110501, ANC 4119",1,1,"Acinetobacter brisouii",Acinetobacter,brisouii,"1 day"
,,,,,,,,"1-2 days"
8057,,"DSM 30006, ATCC 23055, CIP 81.08, CIP 81.8, LMD 22.16, CCUG 12804, LMG 1046, IFO 13718, Delft L360, JCM 6842, CECT 441, IAM 12087, KCTC 2357, LMG 10511, NBIMCC 3730, NBRC 13718, NCCB 22016, NCIMB 10694, NCTC 12983, VTT E-981117, LMD 98116",1,1,"Acinetobacter calcoaceticus",Acinetobacter,calcoaceticus,"1-2 days"
133295,,"ANC 4603, CCM 8700, CCUG 69239, CNCTC 7549, CIP 111639",1,1,"Acinetobacter celticus",Acinetobacter,celticus,"1 day"
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,1,"Acinetobacter colistiniresistens",Acinetobacter,colistiniresistens,"1 day"
139534,,"CIP 110480, NIPH 3623, ANC 3623, CCUG 67960, CCM 8635",1,1,"Acinetobacter courvalinii",Acinetobacter,courvalinii,"1 day"
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,1,"Acinetobacter defluvii",Acinetobacter,defluvii,"1 day"
133175,JVAP01,"CECT 9134, LMG 29605",1,1,"Acinetobacter lactucae",Acinetobacter,lactucae,"1 day"
139490,,"CIP 110500, ANC 4105, CCUG 67961, CCM 8636",1,1,"Acinetobacter dispersus",Acinetobacter,dispersus,"1 day"
140912,114,"CCUG 65204, DSM 27228",1,1,"Acinetobacter equi",Acinetobacter,equi,"1 day"
130452,"UG 60467","CCUG 68482, DSM 28097, ANC 4275, LMG 27960",1,1,"Acinetobacter gandensis",Acinetobacter,gandensis,"1-2 days"
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, NCIMB 8250",1,1,"Acinetobacter guillouiae",Acinetobacter,guillouiae,"1-2 days"
130451,CGMCC1.12528,"DSM 100418, CGMCC 1.12528, HITLi 7, KCTC 32411, CCUG 69700, CIP 110764",1,1,"Acinetobacter harbinensis",Acinetobacter,harbinensis,"1-2 days"
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,1,"Acinetobacter indicus",Acinetobacter,indicus,"2-3 days"
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154, LMG 999, NCIMB 12460",1,1,"Acinetobacter johnsonii",Acinetobacter,johnsonii,"1-2 days"
24224,11-0202,"DSM 29071, JCM 18512, KCTC 32033, CCUG 69703, CIP 110699",1,1,"Acinetobacter kookii",Acinetobacter,kookii,"1-2 days"
140631,,"CCUG 68785, NRRL B-41902",1,1,"Acinetobacter lactucae",Acinetobacter,lactucae,"1 day"
133403,BRTC-1,"ACCC 19936, JCM 31367",1,1,"Acinetobacter larvae",Acinetobacter,larvae,"3 days"
8137,SW-3,"DSM 16312, CIP 110634, KCTC 12259, CCUG 56484",1,1,"Acinetobacter marinus",Acinetobacter,marinus,"1-2 days"
139492,,"CIP 110444, NIPH 236, CCUG 67964, CCM 8639",1,1,"Acinetobacter modestus",Acinetobacter,modestus,"1 day"
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,1,"Acinetobacter nectaris",Acinetobacter,nectaris,"1 day"
,,,,,,,,"1-2 days"
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,1,"Acinetobacter piscicola",Acinetobacter,piscicola,"2 days"
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,1,"Acinetobacter pittii",Acinetobacter,pittii,"1-2 days"
133162,,"ANC 4149, CCM 8637, CCUG 67962, CNCTC 7530, CIP 111641",1,1,"Acinetobacter pragensis",Acinetobacter,pragensis,"1 day"
139427,,"CIP 110482, NIPH 809, CCUG 14818, CCUG 67965, CCM 8640",1,1,"Acinetobacter proteolyticus",Acinetobacter,proteolyticus,"1 day"
156978,,"CCUG 67963, CIP 111642, CCM 8638, ANC 5044",1,1,"Acinetobacter pseudolwoffii",Acinetobacter,pseudolwoffii,"1 day"
164465,S23,"JCM 33150, KACC 19921",1,1,"Acinetobacter pullicarnis",Acinetobacter,pullicarnis,"2 days"
8096,FO-1,"DSM 6976, ATCC 43998, IAM 13186, CCUG 56440, CIP 103788, LMG 10613, JCM 9326, NBRC 102413, NCIMB 12753",1,1,"Acinetobacter radioresistens",Acinetobacter,radioresistens,"1-2 days"
8147,G30,"DSM 24031, CCUG 57889, CECT 7818, LMG 26107, CIP 110305",1,1,"Acinetobacter rudis",Acinetobacter,rudis,"1-2 days"
8138,SW-100,"CCUG 56483, KCTC 12260, DSM 16313, KTCC 12260, CIP 110591",1,1,"Acinetobacter seohaensis",Acinetobacter,seohaensis,"1-2 days"
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,1,"Acinetobacter sichuanensis",Acinetobacter,sichuanensis,"1 day"
139493,,"CIP 110483, NIPH 2168, RUH 65, CCUG 67967, CCM 8642",1,1,"Acinetobacter vivianii",Acinetobacter,vivianii,"1 day"
159758,WCHA60,"CCTCC AB 2016204, GDMCC 1.1100, KCTC 52505",1,1,"Acinetobacter wuhouensis",Acinetobacter,wuhouensis,"1 day"
16504,"E 90","DSM 43316, ATCC 29331, IFO 13972, NBRC 13972, NCIB 11120, JCM 3181, BCRC 12360, BCRC 16357, IMSNU 20325, KCTC 9431, NCIMB 11120",1,1,"Acrocarpospora corrugata",Acrocarpospora,corrugata,"10-14 days"
16505,R-55,"DSM 44705, IFO 16266, JCM 10982, NBRC 16266, BCRC 16396",1,1,"Acrocarpospora macrocephala",Acrocarpospora,macrocephala,"10-14 days"
16506,R-31,"DSM 44706, IFO 16267, JCM 10983, NBRC 16267, BCRC 16801",1,1,"Acrocarpospora pleiomorpha",Acrocarpospora,pleiomorpha,"10-14 days"
24522,R46,"DSM 28448, CECT 7668, KCTC 23349",1,1,"Actibacterium mucosum",Actibacterium,mucosum,"1-2 days"
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,1,"Actibacterium pelagium",Actibacterium,pelagium,"3 days"
141055,LS-811,"BCRC 80823, JCM 30681",1,1,"Actibacterium ureilyticum",Actibacterium,ureilyticum,"2 days"
17015,,"DSM 45651, BCC 31373, NBRC 105246, GMKU 370, JCM 17933, TBRC 390",1,1,"Actinoallomurus oryzae",Actinoallomurus,oryzae,"10-14 days"
13195,,"DSM 45655, CGMCC 4.5714, NBRC 106685, NEAU 119, JCM 18314",1,1,"Actinoalloteichus nanshanensis",Actinoalloteichus,nanshanensis,"10-14 days"
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194, BCRC 16823, CBS 11706, CIP 109023, NBRC 102582, NCIMB 14384",1,1,"Actinoalloteichus spitiensis",Actinoalloteichus,spitiensis,"10-14 days"
11691,F66,"DSM 26423, CCM 7846, CCUG 60324",1,1,"Actinobacillus anseriformium",Actinobacillus,anseriformium,"1-2 days"
11677,"12, P 578, P578","DSM 22262, ATCC 49457, CCUG 19800, CIP 102631, NCTC 11529",1,1,"Actinobacillus hominis",Actinobacillus,hominis,"3 days"
11672,4074,"DSM 13472, ATCC 27088, CCM 5869, Shope 4074, CIP 100916, CCUG 41656",1,1,"Actinobacillus pleuropneumoniae",Actinobacillus,pleuropneumoniae,"1-2 days"
11687,130Z,"DSM 22257, ATCC 55618, CCUG 43843, CIP 106512",1,1,"Actinobacillus succinogenes",Actinobacillus,succinogenes,"1-2 days"
166219,W1618,"LMG 30745, NCTC 14090",1,1,"Actinobacillus vicugnae",Actinobacillus,vicugnae,"0.75 day"
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,1,"Actinobaculum massiliense",Actinobaculum,massiliense,"3 days"
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,1,"Actinobaculum suis",Actinobaculum,suis,"2 days"
,,,,,,,,"7 days"
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,1,"Actinocatenispora rupis",Actinocatenispora,rupis,"10-14 days"
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,1,"Actinocatenispora thailandica",Actinocatenispora,thailandica,"10-14 days"
16906,,"DSM 43924, IMET 9577, INA 1933, JCM 8201, IFO 15554, IFO 16147, IMSNU 22193, KCTC 9554, NBRC 15554, NBRC 16147",1,1,"Actinocorallia aurantiaca",Actinocorallia,aurantiaca,"10-14 days"
16915,,"DSM 44434, IAM 1540H3, IFO 14752, JCM 16895, NBRC 14752, CIP 109708",1,1,"Actinocorallia aurea",Actinocorallia,aurea,"10-14 days"
16912,I-226,"DSM 44360, IFO 15960, JCM 9376, NBRC 15960, IMSNU 22179",1,1,"Actinocorallia glomerata",Actinocorallia,glomerata,"10-14 days"
16908,828-21,"DSM 43554, ATCC 35576, CCM 3425, IFO 14095, IMET 9616, JCM 10696, JCM 3284, KCC A-0284, NBRC 14095, NCIB 11686, NRRL B-16097, BCRC 13400, IMSNU 20007, KCTC 9340, MTCC 2557, NCIMB 11686, PCM 2200, VKM Ac-939",1,1,"Actinocorallia libanotica",Actinocorallia,libanotica,"10-14 days"
16913,I-497,"DSM 44361, CIP 105488, IFO 15961, JCM 9377, NBRC 15961, IMSNU 22180, NCIMB 14385",1,1,"Actinocorallia longicatena",Actinocorallia,longicatena,"10-14 days"
132014,OB1,"DSM 45618, ATCC BAA-2771",1,1,"Actinocrinis puniceicyclus",Actinocrinis,puniceicyclus,"15 days"
13511,03-9939,"DSM 45114, CCM 7461, KCTC 19294, JCM 17965, NBRC 106985",1,1,"Actinokineospora alba",Actinokineospora,alba,"10-14 days"
13199,,"DSM 44255, IFO 15665, JCM 9921, KCTC 9569, MTCC 2687, NBRC 15665, IMSNU 22098, NCIMB 13657, NRRL B-24047, VKM Ac-1984",1,1,"Actinokineospora diospyrosa",Actinokineospora,diospyrosa,"10-14 days"
13202,,"DSM 44258, IFO 15663, JCM 9923, KCTC 9571, MTCC 2685, NBRC 15663, NCIMB 13659, NRRL B-24050, VKM Ac-1982",1,1,"Actinokineospora inagensis",Actinokineospora,inagensis,"10-14 days"
13203,,"DSM 44259, ATCC 49499, CCRC 13450, IFO 14541, JCM 7471, MTCC 2712, NBRC 14541, NCIMB 13255, NRRL B-16432, BCRC 13450, IMSNU 21272, KACC 20059, KCCM 40232, KCTC 9291, VKM Ac-1980",1,1,"Actinokineospora riparia",Actinokineospora,riparia,"10-14 days"
13204,,"DSM 44260, IFO 15668, JCM 9924, KCTC 9572, MTCC 2688, NBRC 15668, IMSNU 22094, NCIMB 13660, NRRL B-24049, VKM Ac-1983",1,1,"Actinokineospora terrae",Actinokineospora,terrae,"10-14 days"
16995,,"DSM 45045, CCTCC AA 206005, CIP 109812, JCM 14906, NBRC 103884, YIM 45681",1,1,"Actinomadura alba",Actinomadura,alba,"10-14 days"
16924,SF2197,"DSM 43919, IFO 14695, JCM 6250, NBRC 14695, CGMCC 4.2100, CIP 107393, HUT 6547, IMSNU 22157, IMSNU 22161, KCTC 9620, MTCC 2560, NCIMB 12618",1,1,"Actinomadura atramentaria",Actinomadura,atramentaria,"10-14 days"
16925,,"DSM 43461, ATCC 27887, IMET 9573, INA 1849, JCM 3295, BCRC 13352, CGMCC 4.1514, IFO 14678, IMSNU 20001, KCTC 9617, MTCC 1828, NBRC 14678, NRRL B-16121, VKM Ac-1119",1,1,"Actinomadura citrea",Actinomadura,citrea,"10-14 days"
16927,,"DSM 43676, ATCC 33577, INA 292, JCM 3308, BCRC 13394, IFO 14182, IMET 9578, IMSNU 22199, NBRC 14182, NRRL B-16605, VKM Ac-912",1,1,"Actinomadura cremea",Actinomadura,cremea,"10-14 days"
16980,,"DSM 44224, ATCC 49459, NRRL 18348, JCM 9371, IMSNU 22177",1,1,"Actinomadura fibrosa",Actinomadura,fibrosa,"10-14 days"
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,1,"Actinomadura flavalba",Actinomadura,flavalba,"10-14 days"
16966,C-36820,"DSM 43997, ATCC 49059, IFO 14204, JCM 7474, NBRC 14204, BCRC 16355, CIP 105595, IFO 15870, IMSNU 22194, KCTC 9647, LMG 29178, NBRC 15870, NCIMB 12773, NRRL B-16984, VKM Ac-1954",1,1,"Actinomadura formosensis",Actinomadura,formosensis,"10-14 days"
16928,,"DSM 43923, IFO 14347, IMET 9745, INA 3321, JCM 6833, NBRC 14347, NCTC B-16245, IMSNU 20005, KCTC 9339, MTCC 1381, NRRL B-16245, VKM Ac-938",1,1,"Actinomadura fulvescens",Actinomadura,fulvescens,"10-14 days"
16979,"SA 26015","DSM 44148, ATCC 53557, IFO 15177, NBRC 15177, NCIMB 13253, JCM 9627, HUT 6599, IMSNU 22185",1,1,"Actinomadura hibisca",Actinomadura,hibisca,"10-14 days"
16998,WCC-2265,"DSM 45195, BCC 72026, CCUG 56181, NBRC 105837, JCM 17316, TBRC 4745",1,1,"Actinomadura keratinilytica",Actinomadura,keratinilytica,"10-14 days"
,,,,,,,,"3 days"
16929,"SSC 1256, 13-363","DSM 43764, ATCC 31588, CCRC 13146, IFO 14229, IMET 9741, JCM 3306, KCTC 9129, NBRC 14229, NCIMB 13755, NRRL 12069, NRRL B-16121, VKM Ac-874, BCRC 13416, CGMCC 4.2099, IMSNU 20006, MTCC 707, NRRL B-16261, BCRC 13146, IFO (now NBRC) 14229, SCC 1256",1,1,"Actinomadura kijaniata",Actinomadura,kijaniata,"10-14 days"
16930,,"DSM 43677, ATCC 33578, INA 1678, JCM 3387, CPCC 203281, IFO 14682, IMET 9575, IMSNU 20008, IMSNU 22191, MTCC 1382, NBRC 14682, VKM Ac-908",1,1,"Actinomadura livida",Actinomadura,livida,"10-14 days"
16931,S-0203,"DSM 40398, ATCC 25469, CBS 702.69, CGMCC AS 4.1382, IFO 13057, ISP 5398, JCM 4203, KCC S-0203, KCC S-0491, NBRC 13057, RIA 1249, OEU 719, BCRC 16250, CECT 3283, CGMCC 4.1382, CGMCC 4.1516, CIP 105484, IMET 9672, IMSNU 20009, JCM 4491, KCTC 9341, NRRL B-12327, VKM Ac-1509",1,1,"Actinomadura luteofluorescens",Actinomadura,luteofluorescens,"10-14 days"
16932,"FD 25934, A-0287","DSM 43862, ATCC 31286, IFO 14102, IMET 9754, JCM 3287, KCC A-0287, NBRC 14102, BCC 49509, BCRC 13378, CGMCC 4.1513, CIP 105532, IMSNU 22164, KCTC 9342, MTCC 2559, NCIMB 14303, NRRL B-16124, TBRC 2223",1,1,"Actinomadura macra",Actinomadura,macra,"10-14 days"
16933,,"DSM 43067, ATCC 19425, CCM 136, IAM 14277, IFO 14623, IMRU 1190, JCM 7436, NBRC 14623, NCTC 5654, CCUG 32944, CCTCC AB 2010169, CECT 3043, CGMCC 4.1224, CIP 105487, HAMBI 1926, IFM 0585, IMET 9585, KCTC 9192, MTCC 1120, NCIMB 13469, NRRL B-3843, VKM Ac-809, IFO 13909, NBRC 13909",1,1,"Actinomadura madurae",Actinomadura,madurae,"10-14 days"
16989,A288,"DSM 44715, NRRL B-24247, JCM 13237, CIP 108410",1,1,"Actinomadura meyerae",Actinomadura,meyerae,"10-14 days"
16986,"FH-A 1198, ID 90-506, FH A 1198","DSM 44197, CIP 108365, NRRL B-24153, HAG 010767, JCM 13238, CPCC 201670",1,1,"Actinomadura namibiensis",Actinomadura,namibiensis,"10-14 days"
16990,B60,"DSM 44846, JCM 13850, NRRL B-24319, NBRC 104150",1,1,"Actinomadura napierensis",Actinomadura,napierensis,"10-14 days"
16976,,"DSM 44137, IFO 15918, JCM 10104, NBRC 15918, BCRC 16816, IMSNU 21254, NCIMB 13456",1,1,"Actinomadura nitritigenes",Actinomadura,nitritigenes,"10-14 days"
16969,,"DSM 43936, ATCC 33264, IFO 14183, JCM 3309, KCTC 9248, NBRC 14183, NCIMB 12768, NRRL B-16122, VKM Ac-1085, INA 1349, KCC A-0309, MTCC 3035, PCM 2339",1,1,"Actinomadura rifamycini",Actinomadura,rifamycini,"10-14 days"
16991,"HMC 1","DSM 44962, JCM 14907, NRRL B-24458",1,1,"Actinomadura rudentiformis",Actinomadura,rudentiformis,"10-14 days"
16975,,"DSM 44130, IFO 14382, JCM 3366, NBRC 14382, NRRL B-16566, ATCC 51643, BCRC 13608, CIP 105482, IMSNU 22195, KCTC 9494, MTCC 1140, NCIMB 14345, CCRC 13608",1,1,"Actinomadura rugatobispora",Actinomadura,rugatobispora,"10-14 days"
16963,"A-184, A4, A-0147","DSM 43358, ATCC 27299, DSM 43550, KCC A-0147, JCM 3147, BCRC 13408, CBS 258.72, CCM 3492, CGMCC 4.1512, CGMCC 4.2116, CIP 105480, IFO 14100, IMET 9588, IMSNU 20017, MTCC 1397, NBRC 14100, NCIMB 11119, NRRL B-16129, RIA 1503, VKM Ac-668, CCRC 13408",1,1,"Actinomadura verrucosospora",Actinomadura,verrucosospora,"10-14 days"
16967,A-0325,"DSM 43765, ATCC 33581, IFO 14688, IMET 9574, IMET 9673, INA 1682, JCM 3325, KCC A-0325, NBRC 14688, CIP 105481, IMSNU 20018, KCTC 9344",1,1,"Actinomadura vinacea",Actinomadura,vinacea,"10-14 days"
