ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Kind of utilization tested,Utilization activity,Metabolite (utilization)
270,Au-1D12,"DSM 17695, CCM 7147, CCUG 46211, CIP 107985, LMG 19707",1,1,Aeromonas hydrophila subsp. ranae,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,mannitol
246,115/II,"DSM 6393, ATCC 49904, JCM 8354, NCIMB 13205, CECT 4486, CIP 104613, LMG 12645",1,1,Aeromonas ichthiosmia,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,sucrose
254,0787-80,"DSM 7311, ATCC 49568, CDC 0787-80, JCM 8316, BCRC 15862, CCM 4355, CCUG 29543, CCUG 30349, CCUG 30353, CECT 4228, CIP 104171, CNCTC 5357, LMG 12221, LMG 13704",1,1,Aeromonas jandaei,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,melibiose
131441,AE122,"DSM 100829, CECT 8024, LMG 26710",1,1,Aeromonas lacus,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
242,RM,"CCUG 14453, CCM 3653, JCM 2385, LMG 9073, DSM 4881, ATCC 33907, BCRC 12211, BCRC 14129, CECT 4232, CIP 103208, LMG 7907, NCIMB 2237",1,1,Aeromonas media,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,sucrose
262,"848T, 848","DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,1,Aeromonas molluscorum,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,sucrose
279,O-a-10-3,"CCUG 39350, ATCC BAA-243, NCIMB 13618, DSM 19604, CCM 4708, CECT 5176, CIP 105493, LMG 17541, DSM 1904",1,1,Aeromonas popoffii,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,mannitol
132508,P2G1,"DSM 24593, LMG 26313",1,1,Aeromonas rivipollensis,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,sucrose
275,20,"DSM 19634, ATCC 33658, CAIM 346, CECT 894, CIP 103209, JCM 7874, LMG 3780, NCIMB 1102, NCTC 12959, GTC 02802, IMET 11051, KCTC 12266, DSM 3241",1,1,Aeromonas salmonicida,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
278,,"DSM 21281, ATCC 33659, CECT 895, CIP 104001, HAMBI 1990, JCM 7875, LMG 14900, NCIMB 1110, CCUG 42781, BCRC 80543, LMG 3781",1,1,Aeromonas salmonicida subsp. achromogenes,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,sucrose
274,"T. Kimura 1-a-1, I-a-1","DSM 21760, ATCC 27013, CCM 4124, CECT 896, CIP 103210, IFO 13784, JCM 8191, LMG 3782, NCIMB 2020, JCM 7873, JCM 8234, NBRC 13784",1,1,Aeromonas salmonicida subsp. masoucida,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,mannitol
,,,,,,fermentation,+,sucrose
259,"34mel, 34 mel","DSM 12609, CAIM 16, CECT 5752, CCUG 44929, CIP 107036",1,1,Aeromonas salmonicida subsp. pectinolytica,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,sorbitol
,,,,,,fermentation,+,sucrose
273,"138, AS20/1/1","DSM 21293, ATCC 49393, CCM 4103, CECT 5179, CIP 104757, NCIMB 13210",1,1,Aeromonas salmonicida subsp. smithia,fermentation,+,D-glucose
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,sucrose
245,2446-81,"DSM 4882, ATCC 43700, CDC 2446-81, CCUG 27820, JCM 7373, LMG 9074, CCM 4356, CECT 4240, CIP 103437, NCIMB 13161",1,1,Aeromonas schubertii,fermentation,+,D-glucose
261,,"DSM 16559, CCUG 47378, CIP 107798, IBS S6874",1,1,Aeromonas simiae,fermentation,+,D-glucose
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,sucrose
276,strain 208,"DSM 19176, ATCC 43979, CCM 2807, CCUG 14830, CECT 4245, CIP 74.33, JCM 2139, LMG 3783, NCIMB 12065, NCTC 12979, CIP 74-33, BCRC 13066, CECT 837, HAMBI 1974, LMG 12159, VTT E-032002",1,1,Aeromonas sobria,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,sucrose
263,F518,"DSM 17300, CECT 7082, MDC 91, CIP 110807",1,1,Aeromonas tecta,fermentation,+,D-glucose
255,1169-83,"DSM 7386, ATCC 35624, CDC 1169-83, CECT 4275, CCUG 27821, JCM 7375, LMG 9075, CCM 4359, CECT 4257, CIP 103438, GIFU 13580, GTC 00706, LMG 18296, NCIMB 13015",1,1,Aeromonas veronii,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,sucrose
141009,feces2,"MCCC 1A11450, KCTC 52708",1,1,Agaribacterium haliotis,fermentation,+,glucose
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,1,Agarivorans aestuarii,fermentation,+,D-glucose
132202,GJSW-6,"DSM 103824, KCTC 42116, NBRC 110444",1,1,Agarivorans litoreus,fermentation,+,D-glucose
7253,V-108,"DSM 14215, CCM 4953, JCM 12132, CGMCC 1.7256, CIP 107635, IAM 15147, NBRC 103055",1,1,Agrococcus baldri,fermentation,+,D-glucose
,,,,,,fermentation,+,D-ribose
,,,,,,fermentation,+,maltose
7250,2002-39/1,"DSM 9580, ATCC 700087, IFO 16126, NBRC 100415, NBRC 16126, CCUG 35514, CIP 106528, JCM 9950, CGMCC 1.7260, IAM 15121, IMSNU 22118, NCIMB 13857, VKM Ac-1839",1,1,Agrococcus jenensis,fermentation,+,D-ribose
7257,K 114/01,"DSM 19812, LMG 24386, CCUG 58092, JCM 16026",1,1,Agrococcus versicolor,fermentation,+,sucrose
7281,P27,"DSM 23870, JCM 15913, KCTC 19593",1,1,Agromyces atrinae,fermentation,+,glycogen
,,,,,,fermentation,+,sucrose
7261,,"DSM 8595, ATCC 51762, IMET 11525, VKM Ac-1340, JCM 9083, CIP 103632, IAM 15140, IFO 15780, LMG 16155, NBRC 15780",1,1,Agromyces cerinus subsp. cerinus,fermentation,+,glucose
,,,,,,fermentation,+,lactose
7262,,"DSM 8596, ATCC 51763, IMET 11532, VKM Ac-1351, JCM 9084, CIP 103634, IAM 15141, IFO 15783, LMG 16157, NBRC 15783",1,1,Agromyces cerinus subsp. nitratus,fermentation,+,glucose
,,,,,,fermentation,+,lactose
7278,,"DSM 8597, ATCC 51764, IMET 11529, VKM Ac-1345, CCUG 35506, JCM 9085, CIP 103633, IAM 15142, IFO 15781, LMG 16156, NBRC 15781",1,1,Agromyces fucosus subsp. fucosus,fermentation,+,glucose
,,,,,,fermentation,+,lactose
7272,23-23,"DSM 16197, CIP 108987, NBRC 109084, HKI 0321, JCM 14322, IAM 15296, NCIMB 13990, NCIMB 13989",1,1,Agromyces neolithicus,fermentation,+,sucrose
7268,14,"DSM 14597, IFO 16236, NBRC 16236, VKM Ac-2086, JCM 11432, CIP 108986, IAM 15153, KCTC 13908",1,1,Agromyces rhizosphaerae,fermentation,+,D-glucose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,sucrose
164479,F21,"JCM 33187, KCTC 72106, KEMB 2250-007",1,1,Algoriphagus aquimaris,fermentation,+,D-mannitol
,,,,,,fermentation,+,D-sorbitol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,myo-inositol
133121,NH1,"MCCC 1H00140, KCTC 52228",1,1,Algoriphagus resistens,fermentation,+,glucose
140228,W29,"DSM 100160, KCTC 42940, MCC 2876",1,1,Algoriphagus roseus,fermentation,+,glucose
166301,WN023,"KCTC 52855, ACCC 19978",1,1,Aliifodinibius salipaludis,fermentation,+,glucose
17248,398,"DSM 507, ATCC 7744, JCM 18803, NCMB 1281, CCUG 13450, CAIM 329, LMG 4414, CIP 103206, NCCB 80039, BCRC 12900, CCUG 16305, CECT 524, CIP 75.08, CIP 75.8, KCTC 12272, KCTC 12386, NCIMB 1281, NRRL B-41164, NRRL B-761",1,1,Aliivibrio fischeri,fermentation,+,amygdalin
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,lactose
17251,"584, Baumann584","DSM 21555, ATCC 29985, CCUG 20283, CIP 104991, KCTC 52966, LMG 21012, NCIMB 2252",1,1,Aliivibrio logei,fermentation,+,D-glucose
14033,,"DSM 22520, JCM 16068, YIT 12060",1,1,Alistipes indistinctus,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
14031,,"KCTC 15237, DSM 19147, ATCC BAA-1178, CCUG 48946, WAL 8169, JCM 16771",1,1,Alistipes onderdonkii subsp. onderdonkii,fermentation,+,D-mannose
,,,,,,fermentation,+,raffinose
572,1,"DSM 485, ATCC 27647, JCM 5262, NCIB 10436, NCIB 8772, NCTC 4553, CCUG 28516, NRRL B-14309, BCRC 15419, CECT 1, CGMCC 1.3604, CIP 103410, IAM 12461, IFO 15653, KCTC 1824, KCTC 3884, LMG 17938, LMG 7120, NBRC 15653, NCIMB 10436, NCIMB 8772, NRRL NRS-1548, VTT E-87298",1,1,Alkalihalobacillus alcalophilus,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannitol
,,,,,,fermentation,+,D-xylose
,,,,,,fermentation,+,glycerol
,,,,,,fermentation,+,L-arabinose
,,,,,,fermentation,+,lactose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,salicin
,,,,,,fermentation,+,sorbitol
,,,,,,fermentation,+,sucrose
160373,LacV,"DSM 100017, JCM 30644",1,1,Alkaliphilus pronyensis,fermentation,+,casamino acids
,,,,,,fermentation,+,peptone
,,,,,,fermentation,+,yeast extract
160178,LacT,"DSM 100337, JCM 30643",1,1,Alkaliphilus serpentinus,fermentation,+,casamino acids
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,peptone
,,,,,,fermentation,+,sucrose
,,,,,,fermentation,+,yeast extract
132683,,"DSM 101835, KCTC 42969, SYSU 10HL1970",1,1,Allofrancisella frigidaquae,fermentation,+,D-fructose
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannose
132684,08HL01032,"DSM 102975, ATCC BAA-2361, CCUG 60119, NCTC 13503",1,1,Allofrancisella guangzhouensis,fermentation,+,D-glucose
,,,,,,fermentation,+,sucrose
132682,,"DSM 101834, KCTC 42968, SYSU YG23",1,1,Allofrancisella inopinata,fermentation,+,D-fructose
,,,,,,fermentation,+,D-glucose
,,,,,,fermentation,+,D-mannose
133062,,"DSM 42178, CGMCC 4.7247, YIM DR4008",1,1,Allostreptomyces psammosilenae,fermentation,+,skimmed milk
158561,C9-11,"MCCC 1K03311, JCM 32056",1,1,Tsuneonella mangrovi,fermentation,+,D-glucose
13242,D2,"DSM 44409, CIP 107963, NRRL B-24117, JCM 12683, BCRC 16375, NCIMB 14256",1,1,Amycolatopsis keratiniphila subsp. keratiniphila,fermentation,+,sucrose
5429,L2-7,"DSM 17630, KCTC 15707",1,1,Anaerobutyricum soehngenii,fermentation,+,"1,2-propandiol"
,,,,,,fermentation,+,fructose
,,,,,,fermentation,+,galactose
,,,,,,fermentation,+,glucose
,,,,,,fermentation,+,maltose
,,,,,,fermentation,+,mannose
,,,,,,fermentation,+,sorbitol
,,,,,,fermentation,+,sucrose
17970,,"DSM 7454, ATCC 49630, JCM 7635, GIFU 7662, CIP 107325",1,1,Anaerococcus hydrogenalis,fermentation,+,D-mannose
159986,SB3,DSM 100537,1,1,Anaerococcus jeddahensis,fermentation,+,D-mannose
17971,,"DSM 7456, ATCC 51172, JCM 8140, CCUG 31351, CIP 103725, GIFU 8586",1,1,Anaerococcus lactolyticus,fermentation,+,D-mannose
17976,,"DSM 21462, ATCC BAA-1385, CCUG 53340, WAL 17230, JCM 15630, KCTC 5949",1,1,Anaerococcus murdochii,fermentation,+,D-mannose
132506,"UMCG-3741, ENR0686","DSM 101193, CCUG 69678",1,1,Anaerococcus nagyae,fermentation,+,D-mannose
24764,9403502,"DSM 26346, CSUR P122",1,1,Anaerococcus pacaensis,fermentation,+,D-mannose
130835,9402080,"DSM 26345, CSUR P121",1,1,Anaerococcus provencensis,fermentation,+,D-mannose
