ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Flagellum arrangement"
261,,"DSM 16559, CCUG 47378, CIP 107798, IBS S6874",1,1,"Aeromonas simiae",Aeromonas,simiae,"monotrichous, polar"
437,JC2043,"DSM 15266, KCTC 12043, IMSNU 14007, CIP 108412",1,1,"Aestuariibacter halophilus",Aestuariibacter,halophilus,"monotrichous, polar"
438,JC2042,"DSM 15300, KCTC 12042, IMSNU 14006, CIP 108413",1,1,"Aestuariibacter salexigens",Aestuariibacter,salexigens,"monotrichous, polar"
131429,SBSr002,"DSM 24601, NCCB 100377",1,1,"Aetherobacter fasciculatus",Aetherobacter,fasciculatus,gliding
130794,SBSr003,"DSM 24628, NCCB 100378",1,1,"Aetherobacter rufus",Aetherobacter,rufus,gliding
167386,JA968,"KCTC 15634, NBRC 113338",1,1,"Afifella aestuarii",Afifella,aestuarii,polar
1781,34633,"DSM 17498, CCUG 45153, CIP 107022",1,1,"Afipia massiliensis",Afipia,massiliensis,"monotrichous, polar"
141009,feces2,"MCCC 1A11450, KCTC 52708",1,1,"Agaribacterium haliotis",Agaribacterium,haliotis,polar
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,1,"Agarilytica rhodophyticola",Agarilytica,rhodophyticola,polar
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,1,"Agarivorans aestuarii",Agarivorans,aestuarii,"monotrichous, polar"
132395,"JK 623","DSM 29029, LMG 28559",1,1,"Agathobacter ruminis",Agathobacter,ruminis,"monotrichous, polar"
132611,AR33,"DSM 101731, LMG 29235, JCM 32431",1,1,"Agromyces aureus",Agromyces,aureus,monotrichous
132966,LZD062,"DSM 28886, JCM 30117, MCCC 1K00254",1,1,"Ahrensia marina",Ahrensia,marina,peritrichous
133384,"AER 10, AER10","DSM 100498, KCTC 42688",1,1,"Alcaligenes endophyticus",Alcaligenes,endophyticus,peritrichous
394,B-5,"DSM 16502, CGMCC 1.3690",1,1,"Alcanivorax dieselolei",Alcanivorax,dieselolei,lophotrichous
159770,SW127,"CGMCC 1.16233, KCTC 62652",1,1,"Alcanivorax indicus",Alcanivorax,indicus,peritrichous
158801,MT13131,"MCCC 1A11581, KCTC 52985",1,1,"Alcanivorax mobilis",Alcanivorax,mobilis,peritrichous
140562,SK-16,"NBRC 110220, KCTC 32974",1,1,"Algibacter aquaticus",Algibacter,aquaticus,gliding
5480,"M-3Alg 15-1","DSM 15365, KCTC 12103, KMM 3902, JCM 21761, IAM 15311, LMG 23347, LMG 22573, NBRC 100591",1,1,"Algibacter lectus",Algibacter,lectus,gliding
134276,,"KCTC 127105, LMG 23988, KMM 6171T, CIP 109749, KCTC 12710, KMM 6171",1,1,"Algibacter mikhailovii",Algibacter,mikhailovii,gliding
133987,WS-MY9,"KCTC 32259, CCUG 63684",1,1,"Algibacter undariae",Algibacter,undariae,gliding
134060,WS-MY22,"KCTC 32381, CECT 8301",1,1,"Algibacter lectus",Algibacter,lectus,gliding
166449,,"KCTC 62395, MCCC 1K03486, HHTR 118",1,1,"Algihabitans albus",Algihabitans,albus,"monotrichous, polar"
170901,F199,"CECT 9230, LMG 30050",1,1,"Arcobacter vitoriensis",Arcobacter,vitoriensis,polar
166399,CA12,"DSM 100707, LMG 29076",1,1,"Alienimonas californiensis",Alienimonas,californiensis,"monotrichous, polar"
166424,F3105,"MCCC 1H00223, KCTC 52891",1,1,"Aliidiomarina celeris",Aliidiomarina,celeris,gliding
,,,,,,,,"monotrichous, polar"
140532,GBSy1,"CECT 8340, IBRC-M 10764",1,1,"Aliidiomarina sedimenti",Aliidiomarina,sedimenti,polar
133375,Y4G10-17,"CGMCC 1.15759, KCTC 52381",1,1,"Aliidiomarina soli",Aliidiomarina,soli,polar
133344,7M-Z19,"NBRC 112240, KCTC 52134, CGMCC 1.15725, DSM 107831",1,1,"Aliidongia dinghuensis",Aliidongia,dinghuensis,"monotrichous, polar"
549,ISL-17,"DSM 23520, CCUG 56753, KCTC 13258, ISL -17",1,1,"Alkalibacillus flavidus",Alkalibacillus,flavidus,peritrichous
5453,CP11,"CCUG 57164, DSM 22112, ATCC BAA-1772, KCTC 15124",1,1,"Alkalibaculum bacchi",Alkalibaculum,bacchi,peritrichous
17805,Z-7010,"DSM 15055, VKM B-2311",1,1,"Alkaliflexus imshenetskii",Alkaliflexus,imshenetskii,gliding
140294,X-07-02,"DSM 26418, VKM B-2746",1,1,"Alkaliphilus namsaraevii",Alkaliphilus,namsaraevii,"monotrichous, polar"
131413,"AX1YC10, AX1YPE","DSM 21881, KCTC 15448",1,1,"Allochromatium humboldtianum",Allochromatium,humboldtianum,"monotrichous, polar"
132993,H94,"DSM 24882, CGMCC 1.10800, JCM 17555",1,1,"Allohahella marinimesophila",Allohahella,marinimesophila,gliding
163970,CC-HIH110,"JCM 31228, BCRC 80932",1,1,"Allorhizobium terrae",Allorhizobium,terrae,polar
159775,SH9,"JCM 32501, CCTCC AB 2017284",1,1,"Alsobacter soli",Alsobacter,soli,"monotrichous, polar"
5398,MSW-14,"DSM 21428, KCTC 22370, UCCCB27",1,1,"Pelagerythrobacter marensis",Pelagerythrobacter,marensis,"monotrichous, polar"
133352,MN-1,"KCTC 52135, MCCC 1K02066",1,1,"Croceibacterium soli",Croceibacterium,soli,polar
449,R10SW13,"DSM 15446, KCTC 12195, KMM 3600, LMG 22532, CIP 108794",1,1,"Alteromonas stellipolaris",Alteromonas,stellipolaris,"monotrichous, polar"
140995,JDTF-113,"KCTC 52655, NBRC 112708",1,1,"Alteromonas aestuariivivens",Alteromonas,aestuariivivens,polar
450,,"DSM 23844, CCUG 55340, LMG 24078",1,1,"Alteromonas genovensis",Alteromonas,genovensis,"monotrichous, polar"
159815,IO390401,"JCM 32638, CGMCC 1.13554, CCTCC AB 2018072, CGMCC AB 2018072",1,1,"Alteromonas alterisediminis",Alteromonas,alterisediminis,monopolar
158616,S35,"KCTC 52449, CGMCC 1.16029",1,1,"Alteromonas oceani",Alteromonas,oceani,"monotrichous, polar"
140746,5.12,"LMG 29661, MCC 3250",1,1,"Alteromonas pelagimontana",Alteromonas,pelagimontana,polar
166518,U0105,"KCTC 62080, MCCC 1H00299",1,1,"Alteromonas sediminis",Alteromonas,sediminis,gliding
447,"ANT69a, R-15466","DSM 15691, LMG 21861, CIP 108513, ANT 69a",1,1,"Alteromonas stellipolaris",Alteromonas,stellipolaris,"monotrichous, polar"
158376,FH042,"DSM 103574, JCM 31555",1,1,"Aminipila butyrica",Aminipila,butyrica,polar
1407,Y1,"DSM 24783, CGMCC 1.5123, JCM 16149",1,1,"Amphibacillus jilinensis",Amphibacillus,jilinensis,peritrichous
166509,ANRC-JH13,"MCCC 1K03512, KCTC 62532",1,1,"Amphritea opalescens",Amphritea,opalescens,"monotrichous, polar"
158471,B16-10,"DSM 29790, NCAIM B.02608",1,1,"Anaerobacillus alkaliphilus",Anaerobacillus,alkaliphilus,monotrichous
,,,,,,,,subpolar
132584,,"DSM 100423, JCM 30819, SN 021",1,1,"Anaerocolumna cellulosilytica",Anaerocolumna,cellulosilytica,peritrichous
2829,HY-35-12,"DSM 15929, IMSNU 40003, KCTC 5026",1,1,"Anaerocolumna jejuensis",Anaerocolumna,jejuensis,peritrichous
166544,MCWD5,"KCTC 15595, DSM 105757",1,1,"Anaerosacchariphilus polymeriproducens",Anaerosacchariphilus,polymeriproducens,peritrichous
2868,HY-37-4,"DSM 15930, IMSNU 40011, KCTC 5027",1,1,"Anaerosporobacter mobilis",Anaerosporobacter,mobilis,peritrichous
132639,"FRC-RU4, RU4","DSM 29728, ATCC BAA-2723",1,1,"Anaerosporomusa subterranea",Anaerosporomusa,subterranea,monotrichous
132583,FH052,"DSM 100431, JCM 30820",1,1,"Anaerotaenia torta",Anaerotaenia,torta,peritrichous
140747,SH021,"JCM 31556, DSM 103575, KCTC 15705",1,1,"Anaerotignum aminivorans",Anaerotignum,aminivorans,peritrichous
5416,MK-1,"DSM 1989, ATCC 43737",1,1,"Andreesenia angusta",Andreesenia,angusta,polar
140685,1-10M-8-7-50,"KEMB 563-460, JCM 31819",1,1,"Aneurinibacillus sediminis",Aneurinibacillus,sediminis,peritrichous
6140,,"DSM 4255, ATCC 43788",1,1,"Annwoodia aquaesulis",Annwoodia,aquaesulis,"monotrichous, polar"
140816,Ar-125,"CGMCC 1.15295, JCM 30876, NRIC 0975",1,1,"Aquaticitalea lipolytica",Aquaticitalea,lipolytica,gliding
137369,BH30097,"CIP 109159, JCM 12387, KCTC 3823, IBRC M 10657, IBRC-M 10657",1,1,"Aquibacillus koreensis",Aquibacillus,koreensis,peritrichous
166239,BH258,"KACC 18680, NBRC 111875",1,1,"Aquibacillus sediminis",Aquibacillus,sediminis,monotrichous
140504,RZW4-3-2,"JCM 30824, MCCC 1K00698",1,1,"Aquimarina aggregata",Aquimarina,aggregata,gliding
158636,"9Alg 151","KCTC 23622, KMM 6462",1,1,"Aquimarina algiphila",Aquimarina,algiphila,gliding
5592,SMK-19,"DSM 17196, KCTC 12390",1,1,"Aquimarina brevivitae",Aquimarina,brevivitae,gliding
158803,NS08,"KCTC 52897, MCCC 1H00191",1,1,"Aquimarina celericrescens",Aquimarina,celericrescens,gliding
133847,SW024,"CGMCC 1.11007, JCM 17859",1,1,"Aquimarina longa",Aquimarina,longa,gliding
133597,,"JCM 15542, NCIMB 14508, JAMB N27",1,1,"Aquimarina macrocephali",Aquimarina,macrocephali,gliding
5594,,"DSM 19832, KCTC 12285, KMM 6020, LMG 22569",1,1,"Aquimarina muelleri",Aquimarina,muelleri,gliding
133725,PSC33,"KCTC 23302, JCM 17454",1,1,"Aquimarina mytili",Aquimarina,mytili,gliding
158701,122CH820-2,"KACC 19274, LMG 30078",1,1,"Aquimarina spongiicola",Aquimarina,spongiicola,gliding
166171,KYPY4,"BCRC 81010, KCTC 52441",1,1,"Rubrivivax rivuli",Rubrivivax,rivuli,monopolar
164431,30S-ANTBAC,"JCM 32977, DSM 108553, LMG 31079",1,1,"Aquirufa antheringensis",Aquirufa,antheringensis,gliding
166196,59G-WUEMPEL,"LMG 31081, DSM 108554",1,1,"Aquirufa nivalisilvae",Aquirufa,nivalisilvae,gliding
140856,D11M-2,"CGMCC 1.12921, KCTC 42673",1,1,"Aquisalinus flavus",Aquisalinus,flavus,"monotrichous, polar"
158655,F138-33,"CECT 8984, LMG 29148, CIP 111615",1,1,"Malaciobacter canalis",Malaciobacter,canalis,"monotrichous, polar"
140702,MA5,"LMG 28652, JCM 31147",1,1,"Arcobacter lekithochrous",Arcobacter,lekithochrous,polar
2097,LA31B,"CCUG 53805, DSM 18005, ATCC BAA-1022, CIP 108450",1,1,"Arcobacter halophilus",Arcobacter,halophilus,polar
5485,,"DSM 23522, KCTC 22013, LMG 22574, KMM 6032",1,1,"Arenibacter echinorum",Arenibacter,echinorum,gliding
133500,NH36A,"LMG 24842, CCTCC AB 208315, MCCC 1A04137",1,1,"Arenibacter nanhaiticus",Arenibacter,nanhaiticus,gliding
5482,"PIBOC FEBRAS","CCUG 48011, DSM 17539, CIP 108849, JCM 13509, KMM 3961, LMG 21972, NCIMB 14299",1,1,"Arenibacter palladensis",Arenibacter,palladensis,gliding
133984,P7-3-5,"CGMCC 1.12213, KACC 16457",1,1,"Algibacter luteus",Algibacter,luteus,gliding
34,S60-1,"DSM 15972, CCM 7132, IFO (now NBRC) 16457, JCM 10715, KCTC 12914, MTCC 4042, NRIC 0323, IFO 16457, NBRC 16457, CIP 107278",1,1,"Asaia siamensis",Asaia,siamensis,peritrichous
168791,"3.1105, 31105","CCTCC AB 2018268, KCTC 62978",1,1,"Asticcacaulis tiandongensis",Asticcacaulis,tiandongensis,polar
164259,GH3-15,"JCM 32445, KCTC 62380",1,1,"Aurantiacibacter suaedae",Aurantiacibacter,suaedae,"monotrichous, polar"
141147,R14M6,"GDMCC 1.1202, KCTC 52919",1,1,"Aurantimonas aggregata",Aurantimonas,aggregata,polar
526,WP1,"DSM 14790, CCUG 53900, CIP 107386",1,1,"Aurantimonas coralicida",Aurantimonas,coralicida,polar
133355,B5-2,"CGMCC 1.15493, KCTC 52395",1,1,"Aureimonas glaciei",Aureimonas,glaciei,polar
166114,,"KCTC 72462, CGMCC 1.17389, YIM 132180",1,1,"Aureimonas leprariae",Aureimonas,leprariae,monotrichous
158604,4M3-2,"CFCC 11187, KCTC 42087",1,1,"Aureimonas populi",Aureimonas,populi,polar
166383,,"KCTC 42691, NBRC 112412, YIM DR1026",1,1,"Aureimonas psammosilenae",Aureimonas,psammosilenae,polar
134243,59SA,"IAM 15439, TISTR 1726, JCM 23207, CIP 109734",1,1,"Aureispira maritima",Aureispira,maritima,gliding
164174,CC-YHH838,"JCM 32001, BCRC 81059",1,1,"Pseudothauera nasutitermitis",Pseudothauera,nasutitermitis,polar
166474,SY39,"KCTC 62157, MCCC 1K03430",1,1,"Pseudazoarcus pumilus",Pseudazoarcus,pumilus,polar
164175,CC-YHH848,"JCM 32002, BCRC 81060",1,1,"Pseudothauera rhizosphaerae",Pseudothauera,rhizosphaerae,polar
140877,CC-HIH038,"BCRC 80909, JCM 30827, CECT 9207",1,1,"Azospirillum agricola",Azospirillum,agricola,"monotrichous, polar"
166293,"L-25-5 w-1","CGMCC 1.13672, KCTC 62777",1,1,"Azospirillum griseum",Azospirillum,griseum,"monotrichous, polar"
140653,SgZ-5,"CCTCC AB 2012021, KACC 16605",1,1,"Azospirillum humicireducens",Azospirillum,humicireducens,"monotrichous, polar"
166212,B2,"VKM B-3233, KCTC 62613",1,1,"Azospirillum palustre",Azospirillum,palustre,"monotrichous, polar"
,,,,,,,,peritrichous
166141,L461,"KCTC 62195, GDMCC 1.1250",1,1,"Azotobacter bryophylli",Azotobacter,bryophylli,peritrichous
166332,CX253,"GDMCC 1.1608, KACC 21318",1,1,"Bacillus aerolatus",Bacillus,aerolatus,monotrichous
598,F,"DSM 7, ATCC 23350, CCUG 28519, NRRL B-14393, Fukumoto strain F, CIP 103265, LMG 9814, NRRL : B-14393",1,1,"Bacillus amyloliquefaciens",Bacillus,amyloliquefaciens,peritrichous
158610,7578-1,"CGMCC 1.15374, KCTC 33845",1,1,"Heyndrickxia camelliae",Heyndrickxia,camelliae,peritrichous
1239,,"DSM 17613, ATCC 700100, CIP 109750, JCM 9731, kASUMI 6t, KCTC 3837, LMG 18001, CGMCC 1.3652, NCIMB 13460, Kasumi 6",1,1,"Bacillus carboniphilus",Bacillus,carboniphilus,peritrichous
132385,NE-14,"DSM 28970, JCM 30397",1,1,"Bacillus ectoiniformans",Bacillus,ectoiniformans,monotrichous
141013,1404,"CCTCC AB 2017021, KCTC 33827, DSM 100730",1,1,"Niallia endozanthoxylica",Niallia,endozanthoxylica,peritrichous
158648,Bf-1,"JCM 31807, NCIMB 15079",1,1,"Mesobacillus fermenti",Mesobacillus,fermenti,subpolar
139432,BL3-6,"CIP 111018, JCM 15801, KCTC 13318",1,1,"Bacillus gaemokensis",Bacillus,gaemokensis,peritrichous
1154,"K 13, K13","DSM 12751, JCM 9943, ATCC 700778, CGMCC 1.3650, CIP 105746, KCTC 3838, LMG 18497",1,1,"Bacillus horti",Bacillus,horti,peritrichous
166102,YSP-3,"ACCC 60365, KCTC 33934",1,1,"Alteribacter lacisalsi",Alteribacter,lacisalsi,polar
158731,AK74,"MTCC 12638, KCTC 33946, JCM 32185",1,1,"Metabacillus lacus",Metabacillus,lacus,peritrichous
140965,TD41,"MCCC 1A00359, KCTC 33716, LMG 28872, NBRC 113919, CIP 111458",1,1,"Bacillus luti",Bacillus,luti,peritrichous
1322,BL4-6,"DSM 26473, JCM 15802, KCTC 13319, CIP 111019",1,1,"Bacillus manliponensis",Bacillus,manliponensis,peritrichous
158585,NC2-31,"KCTC 33721, MCCC 1K01239",1,1,"Bacillus marinisedimentorum",Bacillus,marinisedimentorum,peritrichous
140964,0711P9-1,"MCCC 1A05942, KCTC 33717, LMG 28877, NBRC 113918, CIP 111457",1,1,"Bacillus mobilis",Bacillus,mobilis,peritrichous
140881,NR1-3-2,"JCM 19598, LMG 28281, PCU 340, TISTR 2295",1,1,"Bacillus piscicola",Bacillus,piscicola,peritrichous
166417,,"LMG 30124, CECT 9344, BC 09",1,1,"Bacillus safensis subsp. osmophilus",Bacillus,safensis,"monotrichous, polar"
159795,AK72,"MTCC 12636, KCTC 33981, JCM 32183",1,1,"Bacillus shivajii",Bacillus,shivajii,polar
1302,PD-A10,"DSM 25261, BCC 22614, KACC 16244, KCTC 13613, CIP 110217",1,1,"Bacillus siamensis",Bacillus,siamensis,peritrichous
1270,"BH030017, 11.101","DSM 16466, CIP 109461, KCTC 3918, BCRC 80952",1,1,"Bacillus taeanensis",Bacillus,taeanensis,"monotrichous, polar"
158609,,"KCTC 33703, CGMCC 1.15917, EGI 80668",1,1,"Evansella tamaricis",Evansella,tamaricis,peritrichous
140962,N24,"MCCC 1A01406, KCTC 33711, LMG 28874, NBRC 113916, CIP 111455, MCCC 1A1406",1,1,"Bacillus tropicus",Bacillus,tropicus,peritrichous
140354,FJAT-27215,"DSM 100757, CCTCC AB 2015266",1,1,"Bacillus wudalianchiensis",Bacillus,wudalianchiensis,polar
133276,sw100,"JCM 30597, MCCC 1K00501, KCTC 42424",1,1,"Bacterioplanoides pacificum",Bacterioplanoides,pacificum,"monotrichous, polar"
164467,SK-G1,"JCM 33158, CCAM 530, KCTC 15783",1,1,"Biomaibacter acetigenes",Biomaibacter,acetigenes,polar
5715,,"DSM 23925, KCTC 22015, KMM 6177, LMG 25220",1,1,"Bizionia echini",Bizionia,echini,gliding
140358,SSR2A-4-2,"DSM 103453, CGMCC 1.15297",1,1,"Blastomonas marina",Blastomonas,marina,peritrichous
377,,"DSM 11332, ATCC 35086, CCUG 13726, LMG 1852, Hinz 591-77, CIP 103348, NCTC 12033",1,1,"Bordetella avium",Bordetella,avium,peritrichous
376,,"DSM 13414, ATCC 19395, CCUG 219, CIP 55.110, LMG 1232, NCTC 452, CCM 6082",1,1,"Bordetella bronchiseptica",Bordetella,bronchiseptica,peritrichous
378,"Blackall TC 58","DSM 11333, ATCC 51783, CIP 104527, LMG 13501, CCUG 33847, CCM 4584, TC 58, JCM 15550",1,1,"Bordetella hinzii",Bordetella,hinzii,peritrichous
374,"18323, 18323 (P. Kendrick)","DSM 5571, ATCC 9797, CCUG 30873, CCUG 17764, NCTC 10739, LMG 14455, CIP 63.1",1,1,"Bordetella pertussis",Bordetella,pertussis,monotrichous
379,"1779, 22-93","DSM 11334, CCUG 32381, LMG 13506, CIP 105351",1,1,"Bordetella trematum",Bordetella,trematum,peritrichous
1788,34614,"DSM 21596, CCUG 43111, CIP 106338",1,1,"Bosea eneae",Bosea,eneae,"monotrichous, polar"
1789,63287,"DSM 21079, CCUG 43117, CIP 106336",1,1,"Bosea massiliensis",Bosea,massiliensis,"monotrichous, polar"
1787,,"CCUG 55772, DSM 13099, ATCC 700918, CIP 106457, AMX 51",1,1,"Bosea minatitlanensis",Bosea,minatitlanensis,"monotrichous, polar"
1786,BI-42,"DSM 9653, CCUG 55771, ATCC 700366",1,1,"Bosea thiooxidans",Bosea,thiooxidans,"monotrichous, polar"
1790,34635,"DSM 21229, CCUG 43114, CIP 106340, CCUG 43114 T",1,1,"Bosea vestrisii",Bosea,vestrisii,"monotrichous, polar"
166188,39S1MB,"LMG 29934, HAMBI 3680",1,1,"Bradyrhizobium amphicarpaeae",Bradyrhizobium,amphicarpaeae,subpolar
1812,BTA-1,"DSM 16623, ATCC BAA-1002, CFNE 1008, LMG 22265",1,1,"Bradyrhizobium canariense",Bradyrhizobium,canariense,"monotrichous, polar"
166420,gBX10-1-2,"CFCC 11842, KCTC 42840",1,1,"Brenneria corticis",Brenneria,corticis,monotrichous
133398,,"ACCC 06527, JCM 30849, LAM 0312, KCTC 43189",1,1,"Brevibacillus halotolerans",Brevibacillus,halotolerans,peritrichous
132383,,"DSM 29928, CPCC 100738, YIM 78300, JCM 30638",1,1,"Brevibacillus sediminis",Brevibacillus,sediminis,peritrichous
133379,FDRGB2b,"DSM 29841, NCAIM B.02621",1,1,"Brevundimonas balnearis",Brevundimonas,balnearis,polar
133414,GTAE24,"LMG 29500, CECT 9126",1,1,"Brevundimonas canariensis",Brevundimonas,canariensis,polar
166488,NS26,"CGMCC 1.13680, NBRC 113554",1,1,"Brevundimonas lutea",Brevundimonas,lutea,"monotrichous, polar"
3772,XM3,"DSM 6779, ATCC 51429, KCTC 15201",1,1,"Breznakibacter xylanolyticus",Breznakibacter,xylanolyticus,gliding
1882,OgA9a,"DSM 13338, NBRC 102586, CCUG 46362, CIP 107373, LMG 18954",1,1,"Brucella grignonensis",Brucella,grignonensis,peritrichous
1888,,"DSM 17986, CIP 105838, LMG 3301, NCTC 12171, CCUG 24694, CNS 2-75",1,1,"Brucella intermedia",Brucella,intermedia,lophotrichous
1887,,"CCUG 54940, DSM 17471, MTCC 4195, NBRC 102588",1,1,"Brucella oryzae",Brucella,oryzae,"monotrichous, polar"
1891,,"CCUG 55422, DSM 17490, CIP 109116, KCTC 22760, ADV 31",1,1,"Brucella pseudintermedia",Brucella,pseudintermedia,"monotrichous, polar"
1884,SCII24,"DSM 13340, NBRC 102585, CCUG 47104, LMG 18957, UCCCB44",1,1,"Brucella tritici",Brucella,tritici,peritrichous
166365,Pla144,"DSM 104841, VKM B-3442",1,1,"Bythopirellula polymerisocia",Bythopirellula,polymerisocia,polar
159714,RPE64,"NCIMB 15023, JCM 31142",1,1,"Caballeronia insecticola",Caballeronia,insecticola,polar
2523,RC3,"DSM 22476, JCM 15081, KCTC 5601",1,1,"Caloramator australicus",Caloramator,australicus,peritrichous
2524,VF08,"DSM 25793, JCM 15828, KCTC 5735",1,1,"Caloramator mitchellensis",Caloramator,mitchellensis,peritrichous
140271,KR,"DSM 101605, VKM B-3022",1,1,"Calorithrix insularis",Calorithrix,insularis,"monotrichous, polar"
2139,L266,"DSM 22948, CCUG 54429, LMG 24001, LMG 54429, KCTC 15211",1,1,"Campylobacter canadensis",Campylobacter,canadensis,"monotrichous, polar"
2137,80-4577-4,"DSM 19053, ATCC 35217, CCUG 14169, CIP 103750, LMG 7817, NCTC 11608, LMG 6445, CIP 103746",1,1,"Campylobacter hyointestinalis subsp. hyointestinalis",Campylobacter,hyointestinalis,"monotrichous, polar"
2136,"SU A4","DSM 19458, ATCC 51146, CCUG 30254, JCM 12989, CIP 103970, KCTC 15202, LMG 12635",1,1,"Campylobacter showae",Campylobacter,showae,lophotrichous
5495,,"DSM 22902, CCUG 51857, NCTC 13375, AHN 8855",1,1,"Capnocytophaga leadbetteri",Capnocytophaga,leadbetteri,gliding
140748,D2,"KCTC 42869, MCCC 1H00129",1,1,"Catenovulum sediminis",Catenovulum,sediminis,polar
140608,7F14,"CGMCC 1.15915, KCTC 52515",1,1,"Caulobacter rhizosphaerae",Caulobacter,rhizosphaerae,polar
133730,M-M6,"KCTC 23498, CCUG 60801",1,1,"Cellulophaga geojensis",Cellulophaga,geojensis,gliding
133654,R3664,"JCM 11735, LMG 21938, KMM 3664, CIP 108317, NBRC 101531",1,1,"Cellulophaga pacifica",Cellulophaga,pacifica,gliding
5503,EM41,"DSM 21164, KCTC 22297",1,1,"Cellulophaga tyrosinoxydans",Cellulophaga,tyrosinoxydans,gliding
140697,MVW-40,"BCRC 80977, LMG 29557, KCTC 52237",1,1,"Cellvibrio fontiphilus",Cellvibrio,fontiphilus,polar
140658,,"NCDO 2697, NCIMB 10462",1,1,"Cellvibrio japonicus",Cellvibrio,japonicus,polar
133085,PC-2,"DSM 101465, CGMCC 1.15283",1,1,"Chelatococcus composti",Chelatococcus,composti,polar
1653,HT4,"DSM 18167, JCM 14988",1,1,"Chelatococcus sambhunathii",Chelatococcus,sambhunathii,polar
140684,J15A17,"KCTC 33759, MCCC 1H00137",1,1,"Chengkuizengella sediminis",Chengkuizengella,sediminis,peritrichous
133181,STM-7,"BCRC 80923, LMG 29289, KCTC 42982, DSM 107335",1,1,"Chitinibacter fontanus",Chitinibacter,fontanus,"monotrichous, polar"
166453,K20C18050901,"GDMCC 1.1411, KCTC 62860",1,1,"Chitinophaga silvisoli",Chitinophaga,silvisoli,gliding
159706,10-7W-9003,"GDMCC 1.1252, KACC 19415, KCTC 52926",1,1,"Chitinophaga varians",Chitinophaga,varians,gliding
133098,isl-2,"DSM 29225, JCM 30533, VKM B-2978",1,1,"Chloroflexus islandicus",Chloroflexus,islandicus,gliding
164146,,"JCM 31884, NRRL B-67132, IIBBL 112-1",1,1,"Chromobacterium phragmitis",Chromobacterium,phragmitis,polar
133161,,"LAM 1188, ACCC 19900, JCM 31180",1,1,"Chromobacterium rhizoryzae",Chromobacterium,rhizoryzae,"monotrichous, polar"
24794,RYG,"DSM 24574, ATCC BAA-2075",1,1,"Chryseolinea serpens",Chryseolinea,serpens,gliding
2846,HY-45-18,"DSM 19521, IMSNU 40129, JCM 13194, KCTC 5147",1,1,"Clostridium aestuarii",Clostridium,aestuarii,peritrichous
2850,SW408,"DSM 21864, AS 1.5069, CGMCC 1.5069, JCM 14823, KCTC 15216",1,1,"Clostridium amylolyticum",Clostridium,amylolyticum,peritrichous
2817,P7,"DSM 15243, ATCC BAA-624, KCTC 15178",1,1,"Clostridium carboxidivorans",Clostridium,carboxidivorans,peritrichous
