ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,"Kind of pH","Testresult (pH)",pH
164592,WCHAc060005,"JCM 33509, CCTCC AB 2019139, GDMCC 1.1622",1,1,"Acinetobacter chengduensis",Acinetobacter,growth,positive,5-9
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,1,"Acinetobacter defluvii",Acinetobacter,growth,positive,5-10
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,1,"Acinetobacter indicus",Acinetobacter,growth,positive,07-09
140631,,"CCUG 68785, NRRL B-41902",1,1,"Acinetobacter lactucae",Acinetobacter,growth,positive,6-9
133403,BRTC-1,"ACCC 19936, JCM 31367",1,1,"Acinetobacter larvae",Acinetobacter,growth,positive,5.0-9.0
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,1,"Acinetobacter piscicola",Acinetobacter,growth,positive,5-9
164465,S23,"JCM 33150, KACC 19921",1,1,"Acinetobacter pullicarnis",Acinetobacter,growth,positive,5-9
132918,BQ4-1,"DSM 105039, CFCC 10780, JCM 18011, CCUG 69709, CIP 110585",1,1,"Acinetobacter puyangensis",Acinetobacter,growth,positive,05-11
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,1,"Acinetobacter sichuanensis",Acinetobacter,growth,positive,5-10
159758,WCHA60,"CCTCC AB 2016204, GDMCC 1.1100, KCTC 52505",1,1,"Acinetobacter wuhouensis",Acinetobacter,growth,positive,5-10
23319,PS33-18,"DSM 45867, BCC 46906, NBRC 108782",1,1,"Acrocarpospora phusangensis",Acrocarpospora,growth,positive,07-11
134305,JC2129,"KCTC 12704, JCM 14002",1,1,"Actibacter sediminis",Actibacter,growth,positive,05-08
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,1,"Actibacterium pelagium",Actibacterium,growth,positive,6.5-8.5
141055,LS-811,"BCRC 80823, JCM 30681",1,1,"Actibacterium ureilyticum",Actibacterium,growth,positive,5.0-9.0
23336,2614A723,"DSM 45727, CCTCC AA 2012001, JCM 31201",1,1,"Actinoallomurus acanthiterrae",Actinoallomurus,growth,positive,5.5-7
17007,TT00-28,"DSM 45447, KCTC 19537, NBRC 103682",1,1,"Actinoallomurus amamiensis",Actinoallomurus,growth,positive,05-06
132110,A3015,"DSM 45445, KCTC 19535, NBCR 103678, NBRC 103678",1,1,"Actinoallomurus caesius",Actinoallomurus,growth,positive,5.0-7.0
17008,TT04-09,"DSM 45450, KCTC 19542, NBRC 103688",1,1,"Actinoallomurus coprocola",Actinoallomurus,growth,positive,05-07
17010,TT02-47,"DSM 45448, KCTC 19539, NBRC 103685",1,1,"Actinoallomurus iriomotensis",Actinoallomurus,growth,positive,05-06
,,,,,,,growth,positive,05-07
17011,TT02-15,"DSM 45452, KCTC 19538, NBRC 103683",1,1,"Actinoallomurus luridus",Actinoallomurus,growth,positive,05-07
17015,,"DSM 45651, BCC 31373, NBRC 105246, GMKU 370, JCM 17933, TBRC 390",1,1,"Actinoallomurus oryzae",Actinoallomurus,growth,positive,05-09
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,1,"Actinoallomurus purpureus",Actinoallomurus,growth,positive,05-07
17016,K08-0182,"DSM 45523, JCM 17294, NBRC 107678",1,1,"Actinoallomurus radicium",Actinoallomurus,growth,positive,05-07
17013,TTN02-22,"DSM 45451, KCTC 19540, NBRC 103686",1,1,"Actinoallomurus yoronensis",Actinoallomurus,growth,positive,05-06
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194, BCRC 16823, CBS 11706, CIP 109023, NBRC 102582, NCIMB 14384",1,1,"Actinoalloteichus spitiensis",Actinoalloteichus,growth,positive,06-11
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,1,"Actinocatenispora rupis",Actinocatenispora,growth,positive,5.1-12.1
7796,KV-744,"DSM 45336, NBRC 101916, NRRL B-24477, JCM 15920",1,1,"Actinocatenispora sera",Actinocatenispora,growth,positive,06-09
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,1,"Actinocatenispora thailandica",Actinocatenispora,growth,positive,4.5-7
16914,N3-7,"DSM 45040, JCM 13278, NRRL B-24429, BCRC 16845, CIP 109251, NBRC 106142, NCIMB 14302",1,1,"Actinocorallia cavernae",Actinocorallia,growth,positive,5.1-10.1
132532,3H-GS17,"DSM 100595, CGMCC 4.7282, JCM 31763",1,1,"Actinocorallia lasiicapitis",Actinocorallia,growth,positive,5-10
159707,A251,"CGMCC 4.7421, JCM 32178",1,1,"Actinocorallia populi",Actinocorallia,growth,positive,6-11
132014,OB1,"DSM 45618, ATCC BAA-2771",1,1,"Actinocrinis puniceicyclus",Actinocrinis,growth,positive,3.5-6.5
132668,MI503-A4,"DSM 45934, NBRC 109632",1,1,"Actinocrispum wychmicini",Actinocrispum,growth,positive,5.0-9.0
140670,R434,"KEMB 9005-403, KACC 18904, JCM 31557",1,1,"Actinokineospora acnipugnans",Actinokineospora,growth,positive,6.5-10.5
13511,03-9939,"DSM 45114, CCM 7461, KCTC 19294, JCM 17965, NBRC 106985",1,1,"Actinokineospora alba",Actinokineospora,growth,positive,06-08
13207,"ID 03-0561","DSM 45656, BTCC B554, NBRC 104211",1,1,"Actinokineospora baliensis",Actinokineospora,growth,positive,7
24443,44EHW,"DSM 46700, BCC 53155, NBRC 108932",1,1,"Actinokineospora bangkokensis",Actinokineospora,growth,positive,04-11
13209,"ID 03-0810","DSM 45657, BTCC B-558, NBRC 105526",1,1,"Actinokineospora cianjurensis",Actinokineospora,growth,positive,7
13208,"ID 03-0784","DSM 45658, BTCC B555, NBRC 104212",1,1,"Actinokineospora cibodasensis",Actinokineospora,growth,positive,7
13210,,"DSM 45613, JCM 17695, YIM 75948, NBRC 111522",1,1,"Actinokineospora soli",Actinokineospora,growth,positive,07-09
16996,3-46-b(3),"DSM 45347, JCM 13933, MTCC 8057",1,1,"Actinomadura bangladeshensis",Actinomadura,growth,positive,05-09
16997,3-45-a(11),"DSM 45346, JCM 13932, MTCC 8056",1,1,"Actinomadura chokoriensis",Actinomadura,growth,positive,05-09
158480,LHW63021,"DSM 106125, CCTCC AA 2018015",1,1,"Actinomadura craniellae",Actinomadura,growth,positive,6-9
159889,,"CGMCC 4.7432, KCTC 39998, BMP B8004, JCM 33401",1,1,"Actinomadura deserti",Actinomadura,growth,positive,6-10
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,1,"Actinomadura flavalba",Actinomadura,growth,positive,6.0-8.0
17005,A8036,"DSM 45508, KCTC 19868, JCM 19952",1,1,"Actinomadura geliboluensis",Actinomadura,growth,positive,05-11
16998,WCC-2265,"DSM 45195, BCC 72026, CCUG 56181, NBRC 105837, JCM 17316, TBRC 4745",1,1,"Actinomadura keratinilytica",Actinomadura,growth,positive,04-10
159574,NEAU-G17,"DSM 105122, CGMCC 4.7411",1,1,"Actinomadura logoneensis",Actinomadura,growth,positive,5.0-10.0
17002,"DLS-45, 5DSM 45252","DSM 45252, KCTC 19558, JCM 17440",1,1,"Actinomadura meridiana",Actinomadura,growth,positive,6.0-9.0
140490,CYP1-1B,"JCM 16995, KCTC 39784, PCU 349, TISTR 2400",1,1,"Actinomadura montaniterrae",Actinomadura,growth,positive,4.5-8.0
164563,LD22,"JCM 33455, CCTCC AA 2018050",1,1,"Actinomadura physcomitrii",Actinomadura,growth,positive,4.0-8.0
158374,SDA37,"DSM 108648, KCTC 39965, NBRC 112909, TISTR 2523",1,1,"Actinomadura rhizosphaerae",Actinomadura,growth,positive,5-9
166237,,"LMG 30035, CECT 9808, ATCC 53664",1,1,"Actinomadura roseirufa",Actinomadura,growth,positive,4.0-8.0
17003,CS5-AC15,"DSM 45251, KCTC 19559",1,1,"Actinomadura rupiterrae",Actinomadura,growth,positive,05-11
17001,"R-Ac121, 5DSM 45225","DSM 45225, KCTC 19488",1,1,"Actinomadura scrupuli",Actinomadura,growth,positive,6.1-8.1
133727,,"CCTCC AA 2010009, DSM 45500, YIM M 10931, JCM 31202",1,1,"Actinomadura sediminis",Actinomadura,growth,positive,07-08
24654,BK147,"DSM 46742, KACC 20919, NCIMB 14771, NRRL B-24852, JCM 32746, NBRC 109779",1,1,"Actinomadura xylanilytica",Actinomadura,growth,positive,05-09
166249,2129,"CGMCC 4.7483, DSM 106426",1,1,"Actinomyces lilanjuaniae",Actinomyces,growth,positive,7-9
159350,410,"DSM 106201, CGMCC 1.16361",1,1,"Actinomyces qiguomingii",Actinomyces,growth,positive,6.0-9.0
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,1,"Actinomyces vulturis",Actinomyces,growth,positive,4-11
159747,"A-T 8314","TBRC 5722, NBRC 113235",1,1,"Actinomycetospora endophytica",Actinomycetospora,growth,positive,4-6
132566,MB20,"DSM 46746, CECT 8960",1,1,"Actinophytocola algeriensis",Actinophytocola,growth,positive,6-9
24458,MN08-A0203,"DSM 46707, NBRC 105883, VTCC D9-23",1,1,"Actinophytocola burenkhanensis",Actinophytocola,growth,positive,05-09
159716,,"KCTC 49002, CGMCC 4.7433, BMP B8152, JCM 33402",1,1,"Actinophytocola glycyrrhizae",Actinophytocola,growth,positive,5-9
13512,,"DSM 45499, BCC 31372, NBRC 105245, JCM 17236, TBRC 158",1,1,"Actinophytocola oryzae",Actinophytocola,growth,positive,05-10
133108,11-183,"KCTC 39690, MCCC 1K02062, DSM 109075",1,1,"Actinophytocola xanthii",Actinophytocola,growth,positive,6.5-8.0
7847,A4029,"DSM 45518, KCTC 19984, NRRL B-24835, JCM 19953, NBRC 110796",1,1,"Actinoplanes abujensis",Actinoplanes,growth,positive,05-09
23114,Y16,"DSM 45850, CGMCC 4.6857, JCM 17700",1,1,"Actinoplanes atraurantiacus",Actinoplanes,growth,positive,06-09
140940,LDG1-22,"JCM 30485, TISTR 2343, PCU 344, DSM 111304",1,1,"Actinoplanes lichenis",Actinoplanes,growth,positive,5-9
140744,,"NRRL B-65484, DSM 105064, ATCC 33076",1,1,"Actinoplanes ramoplaninifer",Actinoplanes,growth,positive,6-11
158014,M4147,"DSM 100965",1,1,"Actinoplanes sediminis",Actinoplanes,growth,positive,5.5-9.0
130440,"A-T 6646","DSM 46706, BCC 46194, NBRC 109076",1,1,"Actinoplanes siamensis",Actinoplanes,growth,positive,06-11
7842,03-723,"DSM 45183, CCM 7526, KCTC 19460, JCM 16605",1,1,"Actinoplanes sichuanensis",Actinoplanes,growth,positive,6.5-10.5
164277,,"JCM 32512, CGMCC 4.7580, LAM 7112",1,1,"Actinoplanes solisilvae",Actinoplanes,growth,positive,5-10
133187,"A-T 5400","BCC 42734, TBRC 5832, NBRC 109645, DSM 108650",1,1,"Actinoplanes subglobosus",Actinoplanes,growth,positive,6.0-10.0
7844,MN07-A0371,"DSM 45572, NBRC 105297, VTCC D9-10",1,1,"Actinoplanes tereljensis",Actinoplanes,growth,positive,06-09
7845,MN07-A0368,"DSM 45573, NBRC 105298, VTCC D9-11",1,1,"Actinoplanes toevensis",Actinoplanes,growth,positive,06-11
7843,03-8772,"DSM 45184, CCM 7527, KCTC 19461, JCM 16606, NBRC 106528",1,1,"Actinoplanes xinjiangensis",Actinoplanes,growth,positive,6.5-8.5
11160,,"DSM 45243, CCTCC AA 208030, JCM 16897, YIM 48868",1,1,"Actinopolymorpha alba",Actinopolymorpha,growth,positive,6.0-7.0
11161,"06-2230, I06-2230, 5DSM 45117, 5CCM 7466","DSM 45117, CCM 7466, KCTC 19293, JCM 17964, CPCC 202808",1,1,"Actinopolymorpha cephalotaxi",Actinopolymorpha,growth,positive,06-08
11159,,"DSM 18448, CCTCC AA 206004, JCM 16537, YIM 45725",1,1,"Actinopolymorpha rutila",Actinopolymorpha,growth,positive,06-08
24729,,"DSM 46731, CCTCC AA 2012020, KCTC 19657, TRM 40139, JCM 31477",1,1,"Actinopolyspora lacussalsi",Actinopolyspora,growth,positive,6.0-9.0
24730,H55,"DSM 45460, CCUG 62965",1,1,"Actinopolyspora mzabensis",Actinopolyspora,growth,positive,05-08
141087,HS05-03,"BCC 51286, NBRC 109078, DSM 108651",1,1,"Actinopolyspora salinaria",Actinopolyspora,growth,positive,5.0-8.0
132380,,"DSM 45410, CCTCC AA 209065, YIM 75728",1,1,"Actinorectispora indica",Actinorectispora,growth,positive,7-10
158702,"KC 198","CCTCC AA 2015043, KCTC 39718, JCM 33573",1,1,"Actinorectispora metalli",Actinorectispora,growth,positive,6-8
140636,K12-0408,"NBRC 111897, TBRC 5327, DSM 108652",1,1,"Actinorhabdospora filicis",Actinorhabdospora,growth,positive,6.0-8.0
17634,GE134766,"DSM 44926, NRRL B-24431, JCM 14896, BCRC 16838, NBRC 102107",1,1,"Actinospica acidiphila",Actinospica,growth,positive,4.2-6
17635,GE134769,"DSM 44927, JCM 14908, NRRL B-24432, BCRC 16839, NBRC 102112",1,1,"Actinospica robiniae",Actinospica,growth,positive,4.8-6.2
133106,EBR-4-2,"KCTC 33604, JCM 30447",1,1,"Actinotalea caeni",Actinotalea,growth,positive,6.0-9.0
133962,CF5-4,"KCTC 29134, CCTCC AB 2012198, DSM 112671, JCM 31479",1,1,"Actinotalea ferrariae",Actinotalea,growth,positive,6.0-8.0
158625,THG-T121,"KACC 19191, CGMCC 4.7389, JCM 32747",1,1,"Actinotalea solisilvae",Actinotalea,growth,positive,6-8
159835,J103,"DSM 104434, MCCC 1K03288",1,1,"Acuticoccus kandeliae",Acuticoccus,growth,positive,6.0-9.0
166457,PTG4-2,"MCCC 1A01274, KCTC 52323",1,1,"Acuticoccus sediminis",Acuticoccus,growth,positive,6-10
133587,6515J-31,"KACC 14117, NBRC 106133",1,1,"Adhaeribacter aerolatus",Adhaeribacter,growth,positive,6.5-9
133589,6424S-25,"KACC 14118, NBRC 106134",1,1,"Adhaeribacter aerophilus",Adhaeribacter,growth,positive,6.5-8.5
158784,17mud1-7,"KCTC 52873, NBRC 112824",1,1,"Adhaeribacter swui",Adhaeribacter,growth,positive,6.0-8.0
140958,HY02,"KCTC 52512, JCM 31652",1,1,"Adhaeribacter terrae",Adhaeribacter,growth,positive,7.0-8.0
133455,DNG6,"CGMCC 1.6961, NBRC 104235",1,1,"Adhaeribacter terreus",Adhaeribacter,growth,positive,6.0-9.0
3077,B7,"DSM 21839, CCUG 56815",1,1,"Adlercreutzia caecimuris",Adlercreutzia,growth,positive,7.2
3076,Mt1B8,"DSM 19490, CCUG 54980",1,1,"Adlercreutzia mucosicola",Adlercreutzia,growth,positive,5.5-9.5
140913,,"ACCC 06485, JCM 30465, LAM 0050",1,1,"Advenella alkanexedens",Advenella,growth,positive,5.1-9.7
132905,M-07,"DSM 104993, JCM 17746, KCTC 23732",1,1,"Advenella faeciporci",Advenella,growth,positive,05-11
383,WT001,"DSM 17095, LMG 22965, MTCC 7002",1,1,"Advenella kashmirensis",Advenella,growth,positive,4.5-8.5
160122,Pan181,"DSM 29370, LMG 31346, CECT 9840, VKM B-3426",1,1,"Aeoliella mucimassa",Aeoliella,growth,positive,5.5-9
166411,,"KACC 15529, NBRC 108213, IMCC 3088",1,1,"Aequoribacter fuscus",Aequoribacter,growth,positive,6-8.5
140229,D-24,"DSM 101732, KCTC 42708",1,1,"Aequorivita aquimaris",Aequorivita,growth,positive,5.0-9.0
5479,A71,"DSM 23843, JCM 15070, KCTC 22183",1,1,"Aequorivita capsosiphonis",Aequorivita,growth,positive,07-09
24014,8-1b,"DSM 26349, CGMCC 1.11023, JCM 18497",1,1,"Aequorivita viscosa",Aequorivita,growth,positive,6.0-9.5
158560,N.8,"KCTC 33824, JCM 31580",1,1,"Aeribacillus composti",Aeribacillus,growth,positive,5.5-10
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939, JCM 15959",1,1,"Aeriscardovia aeriphila",Aeriscardovia,growth,positive,4.2-4.5
227,1821/02,"DSM 21500, CCUG 52530, CECT 7139, JCM 18035, CIP 109714",1,1,"Aerococcus suis",Aerococcus,growth,positive,9.6
11058,KSL-107,"DSM 16824, CIP 108938, JCM 13518, KCTC 19073, BCRC 16830",1,1,"Aeromicrobium alkaliterrae",Aeromicrobium,growth,positive,6.0-11.0
133328,9H-4,"ZIM B1021, LMG 29165, CCM 8650, JCM 32379",1,1,"Aeromicrobium choanae",Aeromicrobium,growth,positive,6.0-10.0
168559,M2KJ-4,"KCTC 49174, CGMCC 1.13666",1,1,"Aeromicrobium endophyticum",Aeromicrobium,growth,positive,5.0-11.0
11064,"TYLN1, TYLNI","DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625, CIP 110459",1,1,"Aeromicrobium flavum",Aeromicrobium,growth,positive,05-10
11062,,"DSM 22238, JCM 14732, KCTC 19207, GBS 39, Gsoil 098",1,1,"Aeromicrobium ginsengisoli",Aeromicrobium,growth,positive,5-8.5
11066,,"DSM 24822, JCM 15749, KCCM 90079, KME 001",1,1,"Aeromicrobium halocynthiae",Aeromicrobium,growth,positive,05-10
159668,,"DSM 105424, NBRC 112936, CPCC 204604",1,1,"Aeromicrobium lacus",Aeromicrobium,growth,positive,6-8
11061,,"DSM 17939, CCUG 52476, KCTC 19131, Gsoil 161, JCM 16926, JCM 15303",1,1,"Aeromicrobium panaciterrae",Aeromicrobium,growth,positive,5-8.5
11065,HSW-1,"DSM 19178, KACC 20565, JCM 16375",1,1,"Aeromicrobium ponti",Aeromicrobium,growth,positive,4.1-12.1
11063,SSW1-57,"DSM 19087, JCM 13811, NRRL B-24466, CIP 109549",1,1,"Aeromicrobium tamlense",Aeromicrobium,growth,positive,5.1-10.1
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,1,"Aeromonas bivalvium",Aeromonas,growth,positive,9.0
258,"S181, S-181","DSM 11577, CECT 4342, LMG 16330, CIP 104608, ATCC 51929",1,1,"Aeromonas encheleia",Aeromonas,growth,positive,9.0
283,717,"DSM 23621, CECT 7401, LMG 24681, CIP 110205",1,1,"Aeromonas fluvialis",Aeromonas,growth,positive,9
262,"848T, 848","DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,1,"Aeromonas molluscorum",Aeromonas,growth,positive,9
286,A2-67,"DSM 24094, CECT 7402, LMG 24682, CIP 110203",1,1,"Aeromonas sanarellii",Aeromonas,growth,positive,9.0
4196,SY1,"DSM 16960, ATCC BAA-758, JCM 12091",1,1,"Aeropyrum camini",Aeropyrum,growth,positive,6.5-8.8
4195,K1,"DSM 11879, JCM 9820, ATCC 700893, NBRC 100138",1,1,"Aeropyrum pernix",Aeropyrum,growth,positive,5-9
159185,Dysh456,"DSM 105662, NBRC 112897",1,1,"Aerosticca soli",Aerosticca,growth,positive,4.3-7.9
437,JC2043,"DSM 15266, KCTC 12043, IMSNU 14007, CIP 108412",1,1,"Aestuariibacter halophilus",Aestuariibacter,growth,positive,6-11
438,JC2042,"DSM 15300, KCTC 12042, IMSNU 14006, CIP 108413",1,1,"Aestuariibacter salexigens",Aestuariibacter,growth,positive,6-11
133791,,"KACC 16186, JCM 17789, SC 17",1,1,"Aestuariibaculum suncheonense",Aestuariibaculum,growth,positive,6-8.5
158658,DBTF-13,"KACC 19432, NBRC 113038",1,1,"Aestuariibius insulae",Aestuariibius,growth,positive,6
158589,NAP41,"KACC 18431, JCM 30739",1,1,"Aestuariicoccus marinus",Aestuariicoccus,growth,positive,6.5-9
12671,R27,"DSM 21549, JCM 14204, KCTC 19182, CIP 109737",1,1,"Aestuariimicrobium kwangyangense",Aestuariimicrobium,growth,positive,7.5-8.5
158420,D6,"DSM 105824, KCTC 39995",1,1,"Aestuariimicrobium soli",Aestuariimicrobium,growth,positive,6.5-8.5
158355,OITF-44,"DSM 105891, KACC 19569, KCTC 62197, NBRC 113118",1,1,"Aestuariimonas insulae",Aestuariimonas,growth,positive,6
160775,,"DSM 105254, KCTC 52945, NBRC 112960, SYSU M10001",1,1,"Aestuariivirga litoralis",Aestuariivirga,growth,positive,6-7
131429,SBSr002,"DSM 24601, NCCB 100377",1,1,"Aetherobacter fasciculatus",Aetherobacter,growth,positive,5-9
130794,SBSr003,"DSM 24628, NCCB 100378",1,1,"Aetherobacter rufus",Aetherobacter,growth,positive,5-8
167386,JA968,"KCTC 15634, NBRC 113338",1,1,"Afifella aestuarii",Afifella,growth,positive,6.0-9.0
13876,AR2102,"DSM 17143, ATCC BAA-1145",1,1,"Afifella pfennigii",Afifella,growth,positive,6.3-8.5
159752,2p52,"KCTC 52473, MCCC 1H00151",1,1,"Agaribacter flavus",Agaribacter,growth,positive,6-9.5
133571,"CC-SBABM117, SBABM117","BCRC 17964, CCM 7684, DSM 22517",1,1,"Agaricicola taiwanensis",Agaricicola,growth,positive,06-09
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,1,"Agarilytica rhodophyticola",Agarilytica,growth,positive,6.5-8.5
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,1,"Agarivorans aestuarii",Agarivorans,growth,positive,5-9
22908,WH0801,"DSM 26780, CGMCC 1.10131, NRRL B-59247",1,1,"Agarivorans gilvus",Agarivorans,growth,positive,6.5-9.5
132395,"JK 623","DSM 29029, LMG 28559",1,1,"Agathobacter ruminis",Agathobacter,growth,positive,6-8
132618,SR79,"DSM 100391, KCTC 15532, JCM 30795",1,1,"Agathobaculum butyriciproducens",Agathobaculum,growth,positive,6-8
133155,,"ATCC 43058, CCUG 27818, JCM 6566",1,1,"Agathobaculum desmolans",Agathobaculum,growth,positive,6-8
164183,MO-CFX2,"JCM 32065, KCTC 15625",1,1,"Aggregatilinea lenta",Aggregatilinea,growth,positive,5.5-8.5
6668,,"DSM 18527, JCM 14202, NRIC 0689, CIP 109571",1,1,"Agrilactobacillus composti",Agrilactobacillus,growth,positive,3.5-9
164664,54-2,"JCM 33824, CCM 8896, KCTC 21120, LMG 31058, NCIMB 15154",1,1,"Agrilactobacillus yilanensis",Agrilactobacillus,growth,positive,5
140485,,"LMG 29287, HAMBI 3646, YIC 5082",1,1,"Agrobacterium salinitolerans",Agrobacterium,growth,positive,6-10
7256,"R-17892t 2, R-17892t2","DSM 18061, CIP 109629, LMG 22410, JCM 14916",1,1,"Agrococcus casei",Agrococcus,growth,positive,6.0-10.0
7258,SSW1-48,"DSM 22002, JCM 14256, KCTC 19198",1,1,"Agrococcus jejuensis",Agrococcus,growth,positive,6.1-12.1
7255,K22-21,"DSM 17612, MTCC 7154, JCM 14301, CGMCC 1.7259, CGMCC 1.8869, NCIMB 14388, CIP 109379",1,1,"Agrococcus lahaulensis",Agrococcus,growth,positive,06-10
24181,DNG5,"DSM 28114, CGMCC 1.6960, JCM 17488, NBRC 104260",1,1,"Agrococcus terreus",Agrococcus,growth,positive,5.5-9
