ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Voges-Proskauer-test (Acetoin)"
8086,64.5,"DSM 6964, ATCC 17908, NCTC 10307, CCUG 889, KCTC 12406, CIP 64.5, CCM 2376, LMG 998, NCIMB 12459",1,1,"Acinetobacter junii",Acinetobacter,junii,-
133403,BRTC-1,"ACCC 19936, JCM 31367",1,1,"Acinetobacter larvae",Acinetobacter,larvae,+
8058,,"DSM 2403, ATCC 15309, CIP 644.10, JCM 6840, NCTC 5866, ATCC 17986, CCM 5581, CCUG 12805, CCUG 33984, CECT 453, CIP 64.10, LMG 1029, LMG 1240, NBRC 109760, NCIMB 12456, CIP 110687, KCTC 12407, NCIB 12456",1,1,"Acinetobacter lwoffii",Acinetobacter,lwoffii,-
8139,,"DSM 16617, CCM 7030, CCUG 48866, LMG 21765, NIPH 384, LUH 4616, CIP 108168",1,1,"Acinetobacter parvus",Acinetobacter,parvus,-
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,1,"Acinetobacter piscicola",Acinetobacter,piscicola,-
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,1,"Acinetobacter pittii",Acinetobacter,pittii,-
8134,,"DSM 16038, CNCTC 6736, LMG 19576, NIPH 1034, CCUG 45560, KCTC 12409, CIP 107287, LUH 5832",1,1,"Acinetobacter schindleri",Acinetobacter,schindleri,-
8133,4N13,"DSM 14970, CIP 107469, CCM 7199",1,1,"Acinetobacter tandoii",Acinetobacter,tandoii,-
8130,7N16,"DSM 14971, CIP 107465, CCUG 50768, CCM 7200",1,1,"Acinetobacter tjernbergiae",Acinetobacter,tjernbergiae,-
8123,AB1110,"DSM 14962, CIP 107472, CCUG 50769, CCM 7201",1,1,"Acinetobacter towneri",Acinetobacter,towneri,-
8135,,"CCUG 45559, ATCC BAA-617, KCTC 12410, CCM 7024, CIP 107286, DSM 16037, CNCTC 6735, LMG 19575, NIPH 137, LUH 3792",1,1,"Acinetobacter ursingii",Acinetobacter,ursingii,-
16504,"E 90","DSM 43316, ATCC 29331, IFO 13972, NBRC 13972, NCIB 11120, JCM 3181, BCRC 12360, BCRC 16357, IMSNU 20325, KCTC 9431, NCIMB 11120",1,1,"Acrocarpospora corrugata",Acrocarpospora,corrugata,-
17006,"FYU A 116, A-116","DSM 43459, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, IFO 14099, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIB 11118, NRRL B-16128, IMSNU 20015, MTCC 2556, NCIMB 11118, CCRC 13386, BRCC 13386",1,1,"Actinoallomurus spadix",Actinoallomurus,spadix,+
,,,,,,,,-
13192,"Y388=As 4.1159, Y-388","DSM 43889, IFO 14455, IMET 43868, JCM 6095, NBRC 14455, NRRL B-16252, CGMCC 4.1159, CIP 106755, KCCM 12121, VKM Ac-1271, AS 4.1159",1,1,"Actinoalloteichus caeruleus",Actinoalloteichus,caeruleus,-
11688,"P. 907","DSM 22258, ATCC 13376, CCUG 24862, CIP 107664, MCCM 00398, CCM 5500, Wetmore 1706, HIM 1034-2",1,1,"Actinobacillus arthritidis",Actinobacillus,arthritidis,-
11676,"11-61, P243","DSM 19761, ATCC 51571, CCUG 12396, CIP 103283, NCTC 11408",1,1,"Actinobacillus capsulatus",Actinobacillus,capsulatus,+
11671,M906/93,"CCUG 41362, CIP 106129, NCIMB 13567, DSM 11374, NCTC 12870",1,1,"Actinobacillus delphinicola",Actinobacillus,delphinicola,+
11689,"PM 30/53","ATCC 19392, MCCM 00142, DSM 19655, CCUG 2041, CIP 103284, JCM 2432, NCTC 8529, LMG 3736",1,1,"Actinobacillus equuli",Actinobacillus,equuli,-
11690,"F 154, 8-11272","DSM 22436, CCUG 19799, NCTC 13195, CIP 107709",1,1,"Actinobacillus equuli subsp. haemolyticus",Actinobacillus,equuli,-
11677,"12, P 578, P578","DSM 22262, ATCC 49457, CCUG 19800, CIP 102631, NCTC 11529",1,1,"Actinobacillus hominis",Actinobacillus,hominis,-
11672,4074,"DSM 13472, ATCC 27088, CCM 5869, Shope 4074, CIP 100916, CCUG 41656",1,1,"Actinobacillus pleuropneumoniae",Actinobacillus,pleuropneumoniae,-
173546,192,"CIP 102634, ATCC 27072, CCM 5946, NCTC 10801",1,1,"Actinobacillus rossii",Actinobacillus,rossii,-
11686,M2000/95/1,"DSM 22205, CCUG 46379, CIP 105697, NCTC 12922",1,1,"Actinobacillus scotiae",Actinobacillus,scotiae,+
11683,"5, A51 and A65, K3844/C","DSM 22263, ATCC 15768, CCUG 27187, CIP 102633, NCTC 10851, Simmons K3844-C",1,1,"Actinobacillus seminis",Actinobacillus,seminis,-
11687,130Z,"DSM 22257, ATCC 55618, CCUG 43843, CIP 106512",1,1,"Actinobacillus succinogenes",Actinobacillus,succinogenes,-
11682,1276/61,"DSM 22433, ATCC 33415, CCM 5586, CCUG 11624, CIP 103354, NCTC 12996",1,1,"Actinobacillus suis",Actinobacillus,suis,-
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,1,"Actinobaculum suis",Actinobaculum,suis,-
135256,101342,"CIP 107936",1,1,"Actinobaculum timonae",Actinobaculum,timonae,+
16906,,"DSM 43924, IMET 9577, INA 1933, JCM 8201, IFO 15554, IFO 16147, IMSNU 22193, KCTC 9554, NBRC 15554, NBRC 16147",1,1,"Actinocorallia aurantiaca",Actinocorallia,aurantiaca,+
16912,I-226,"DSM 44360, IFO 15960, JCM 9376, NBRC 15960, IMSNU 22179",1,1,"Actinocorallia glomerata",Actinocorallia,glomerata,-
16908,828-21,"DSM 43554, ATCC 35576, CCM 3425, IFO 14095, IMET 9616, JCM 10696, JCM 3284, KCC A-0284, NBRC 14095, NCIB 11686, NRRL B-16097, BCRC 13400, IMSNU 20007, KCTC 9340, MTCC 2557, NCIMB 11686, PCM 2200, VKM Ac-939",1,1,"Actinocorallia libanotica",Actinocorallia,libanotica,-
16913,I-497,"DSM 44361, CIP 105488, IFO 15961, JCM 9377, NBRC 15961, IMSNU 22180, NCIMB 14385",1,1,"Actinocorallia longicatena",Actinocorallia,longicatena,-
140670,R434,"KEMB 9005-403, KACC 18904, JCM 31557",1,1,"Actinokineospora acnipugnans",Actinokineospora,acnipugnans,-
13206,"YU 961-1","DSM 44650, IFO 16518, NBRC 16518, JCM 11646, CIP 107896",1,1,"Actinokineospora auranticolor",Actinokineospora,auranticolor,-
13199,,"DSM 44255, IFO 15665, JCM 9921, KCTC 9569, MTCC 2687, NBRC 15665, IMSNU 22098, NCIMB 13657, NRRL B-24047, VKM Ac-1984",1,1,"Actinokineospora diospyrosa",Actinokineospora,diospyrosa,+
13205,"YU 924-101","DSM 44649, IFO 16517, NBRC 16517, JCM 11647, CIP 107895",1,1,"Actinokineospora enzanensis",Actinokineospora,enzanensis,+
,,,,,,,,-
13200,,"DSM 44256, IFO 15664, JCM 9922, KCTC 9570, MTCC 2686, NBRC 15664, NCIMB 13658, NRRL B-24048, VKM Ac-1981",1,1,"Actinokineospora globicatena",Actinokineospora,globicatena,-
13202,,"DSM 44258, IFO 15663, JCM 9923, KCTC 9571, MTCC 2685, NBRC 15663, NCIMB 13659, NRRL B-24050, VKM Ac-1982",1,1,"Actinokineospora inagensis",Actinokineospora,inagensis,+
13203,,"DSM 44259, ATCC 49499, CCRC 13450, IFO 14541, JCM 7471, MTCC 2712, NBRC 14541, NCIMB 13255, NRRL B-16432, BCRC 13450, IMSNU 21272, KACC 20059, KCCM 40232, KCTC 9291, VKM Ac-1980",1,1,"Actinokineospora riparia",Actinokineospora,riparia,+
13204,,"DSM 44260, IFO 15668, JCM 9924, KCTC 9572, MTCC 2688, NBRC 15668, IMSNU 22094, NCIMB 13660, NRRL B-24049, VKM Ac-1983",1,1,"Actinokineospora terrae",Actinokineospora,terrae,-
16924,SF2197,"DSM 43919, IFO 14695, JCM 6250, NBRC 14695, CGMCC 4.2100, CIP 107393, HUT 6547, IMSNU 22157, IMSNU 22161, KCTC 9620, MTCC 2560, NCIMB 12618",1,1,"Actinomadura atramentaria",Actinomadura,atramentaria,+
,,,,,,,,-
16988,3.24,"DSM 44772, AS 4.1522, IFO 16341, NBRC 16341, JCM 10667, CGMCC 4.1522, CIP 107903",1,1,"Actinomadura catellatispora",Actinomadura,catellatispora,+
16925,,"DSM 43461, ATCC 27887, IMET 9573, INA 1849, JCM 3295, BCRC 13352, CGMCC 4.1514, IFO 14678, IMSNU 20001, KCTC 9617, MTCC 1828, NBRC 14678, NRRL B-16121, VKM Ac-1119",1,1,"Actinomadura citrea",Actinomadura,citrea,+
16926,,"DSM 43675, ATCC 33576, INA 765, JCM 3320, CGMCC 4.1515, IFO 14679, IMET 9580, IMSNU 20002, KCTC 9337, NBRC 14679, VKM Ac-1511",1,1,"Actinomadura coerulea",Actinomadura,coerulea,+
16927,,"DSM 43676, ATCC 33577, INA 292, JCM 3308, BCRC 13394, IFO 14182, IMET 9578, IMSNU 22199, NBRC 14182, NRRL B-16605, VKM Ac-912",1,1,"Actinomadura cremea",Actinomadura,cremea,+
16980,,"DSM 44224, ATCC 49459, NRRL 18348, JCM 9371, IMSNU 22177",1,1,"Actinomadura fibrosa",Actinomadura,fibrosa,+
16966,C-36820,"DSM 43997, ATCC 49059, IFO 14204, JCM 7474, NBRC 14204, BCRC 16355, CIP 105595, IFO 15870, IMSNU 22194, KCTC 9647, LMG 29178, NBRC 15870, NCIMB 12773, NRRL B-16984, VKM Ac-1954",1,1,"Actinomadura formosensis",Actinomadura,formosensis,-
16928,,"DSM 43923, IFO 14347, IMET 9745, INA 3321, JCM 6833, NBRC 14347, NCTC B-16245, IMSNU 20005, KCTC 9339, MTCC 1381, NRRL B-16245, VKM Ac-938",1,1,"Actinomadura fulvescens",Actinomadura,fulvescens,+
16987,80-60,"DSM 44770, AS 4.1202, CIP 107902, DSM 43891, IFO 14668, JCM 6161, NBRC 14668, VKM Ac-1273, CGMCC 4.1202",1,1,"Actinomadura glauciflava",Actinomadura,glauciflava,-
16979,"SA 26015","DSM 44148, ATCC 53557, IFO 15177, NBRC 15177, NCIMB 13253, JCM 9627, HUT 6599, IMSNU 22185",1,1,"Actinomadura hibisca",Actinomadura,hibisca,-
16929,"SSC 1256, 13-363","DSM 43764, ATCC 31588, CCRC 13146, IFO 14229, IMET 9741, JCM 3306, KCTC 9129, NBRC 14229, NCIMB 13755, NRRL 12069, NRRL B-16121, VKM Ac-874, BCRC 13416, CGMCC 4.2099, IMSNU 20006, MTCC 707, NRRL B-16261, BCRC 13146, IFO (now NBRC) 14229, SCC 1256",1,1,"Actinomadura kijaniata",Actinomadura,kijaniata,+
16930,,"DSM 43677, ATCC 33578, INA 1678, JCM 3387, CPCC 203281, IFO 14682, IMET 9575, IMSNU 20008, IMSNU 22191, MTCC 1382, NBRC 14682, VKM Ac-908",1,1,"Actinomadura livida",Actinomadura,livida,+
16931,S-0203,"DSM 40398, ATCC 25469, CBS 702.69, CGMCC AS 4.1382, IFO 13057, ISP 5398, JCM 4203, KCC S-0203, KCC S-0491, NBRC 13057, RIA 1249, OEU 719, BCRC 16250, CECT 3283, CGMCC 4.1382, CGMCC 4.1516, CIP 105484, IMET 9672, IMSNU 20009, JCM 4491, KCTC 9341, NRRL B-12327, VKM Ac-1509",1,1,"Actinomadura luteofluorescens",Actinomadura,luteofluorescens,+
,,,,,,,,-
16932,"FD 25934, A-0287","DSM 43862, ATCC 31286, IFO 14102, IMET 9754, JCM 3287, KCC A-0287, NBRC 14102, BCC 49509, BCRC 13378, CGMCC 4.1513, CIP 105532, IMSNU 22164, KCTC 9342, MTCC 2559, NCIMB 14303, NRRL B-16124, TBRC 2223",1,1,"Actinomadura macra",Actinomadura,macra,+
,,,,,,,,-
16933,,"DSM 43067, ATCC 19425, CCM 136, IAM 14277, IFO 14623, IMRU 1190, JCM 7436, NBRC 14623, NCTC 5654, CCUG 32944, CCTCC AB 2010169, CECT 3043, CGMCC 4.1224, CIP 105487, HAMBI 1926, IFM 0585, IMET 9585, KCTC 9192, MTCC 1120, NCIMB 13469, NRRL B-3843, VKM Ac-809, IFO 13909, NBRC 13909",1,1,"Actinomadura madurae",Actinomadura,madurae,-
16985,A290,"DSM 44485, NRRL B-24203, JCM 13236, CIP 108420",1,1,"Actinomadura mexicana",Actinomadura,mexicana,-
16986,"FH-A 1198, ID 90-506, FH A 1198","DSM 44197, CIP 108365, NRRL B-24153, HAG 010767, JCM 13238, CPCC 201670",1,1,"Actinomadura namibiensis",Actinomadura,namibiensis,+
,,,,,,,,-
16976,,"DSM 44137, IFO 15918, JCM 10104, NBRC 15918, BCRC 16816, IMSNU 21254, NCIMB 13456",1,1,"Actinomadura nitritigenes",Actinomadura,nitritigenes,+
16950,A19,"DSM 43383, ATCC 33385, JCM 3388, NCTC 4162, CCUG 38891, CIP 105483, HUT 6549, IAM 12634, IMET 9693, IMSNU 22169, KCTC 9110, NBRC 103052, NRRL B-3997",1,1,"Actinomadura pelletieri",Actinomadura,pelletieri,+
,,,,,,,,-
16969,,"DSM 43936, ATCC 33264, IFO 14183, JCM 3309, KCTC 9248, NBRC 14183, NCIMB 12768, NRRL B-16122, VKM Ac-1085, INA 1349, KCC A-0309, MTCC 3035, PCM 2339",1,1,"Actinomadura rifamycini",Actinomadura,rifamycini,-
16975,,"DSM 44130, IFO 14382, JCM 3366, NBRC 14382, NRRL B-16566, ATCC 51643, BCRC 13608, CIP 105482, IMSNU 22195, KCTC 9494, MTCC 1140, NCIMB 14345, CCRC 13608",1,1,"Actinomadura rugatobispora",Actinomadura,rugatobispora,+
,,,,,,,,-
16963,"A-184, A4, A-0147","DSM 43358, ATCC 27299, DSM 43550, KCC A-0147, JCM 3147, BCRC 13408, CBS 258.72, CCM 3492, CGMCC 4.1512, CGMCC 4.2116, CIP 105480, IFO 14100, IMET 9588, IMSNU 20017, MTCC 1397, NBRC 14100, NCIMB 11119, NRRL B-16129, RIA 1503, VKM Ac-668, CCRC 13408",1,1,"Actinomadura verrucosospora",Actinomadura,verrucosospora,+
,,,,,,,,-
16967,A-0325,"DSM 43765, ATCC 33581, IFO 14688, IMET 9574, IMET 9673, INA 1682, JCM 3325, KCC A-0325, NBRC 14688, CIP 105481, IMSNU 20018, KCTC 9344",1,1,"Actinomadura vinacea",Actinomadura,vinacea,-
16945,"Mt-1, A-0325","DSM 43175, ATCC 27103, CBS 833.70, IMET 9546, JCM 3112, KCC A-0112, BCRC 13398, CIP 105478, IFO 15238, IMSNU 20019, KCTC 9290, NBRC 15238, VKM Ac-1315, CCRC 13398",1,1,"Actinomadura viridis",Actinomadura,viridis,-
134407,"LL-C23024, LL-C23024.","CIP 105436, ATCC 43060, IFO 14689, JCM 3369, NRRL 12515, DSM 108649, KCTC 9495, NBRC 14689, DSM 43931, IMSNU 22167, NBIMCC 1535",1,1,"Actinomadura yumaensis",Actinomadura,yumaensis,-
148,"P2S, PS1","DSM 43014, ATCC 13683, CIP 103258, CCUG 18308, NCTC 11535",1,1,"Actinomyces bovis",Actinomyces,bovis,-
177,"M1327/95/1, M1327/96/1","DSM 15435, CCUG 37421, CIP 106647",1,1,"Actinomyces bowdenii",Actinomyces,bowdenii,-
175,M1192/98/1,"DSM 15415, CCUG 41709, CIP 106507",1,1,"Actinomyces catuli",Actinomyces,catuli,-
189,R18165,"DSM 19115, CCUG 48064, CIP 108337, KCTC 15232",1,1,"Actinomyces dentalis",Actinomyces,dentalis,-
149,Sh8/4303,"DSM 20671, ATCC 43322, NCTC 11490, CCUG 32758, CIP 103126",1,1,"Actinomyces denticolens",Actinomyces,denticolens,-
159,2-606-032,"DSM 6844, ATCC 23860, CDC W838, CIP 105418, JCM 12963, VPI 12594, CCUG 32936, CCUG 34703",1,1,"Actinomyces gerencseriae",Actinomyces,gerencseriae,-
186,,"DSM 15540, CCUG 27294, CIP 105737, CCM 4739",1,1,"Actinomyces graevenitzii",Actinomyces,graevenitzii,-
151,"Jr 277 (CDC W855)","DSM 43320, ATCC 12102, JCM 12964, CCUG 18307, IMET 10792, CCUG 2271, NIH 277, WVU 46, CIP 103259, KCTC 15377, NCTC 12972",1,1,"Actinomyces israelii",Actinomyces,israelii,-
154,,"DSM 43013, ATCC 12104, CCUG 2238, NCTC 10301, CDC W826, JCM 8349, NIH 279, WVU 45, CCUG 18310, CIP 103128",1,1,"Actinomyces naeslundii",Actinomyces,naeslundii,-
187,R5292,"KCTC 15234, DSM 17234, CCUG 46090, CIP 107639, Hall R5292, JCM 17565",1,1,"Actinomyces oricola",Actinomyces,oricola,-
176,"AO 96-06841","DSM 15433, CCUG 36733, CIP 106352",1,1,"Actinomyces radicidentis",Actinomyces,radicidentis,-
23522,B71,"DSM 27982, CGMCC 1.5030, JCM 13352, CIP 109388, CGMCC 15030",1,1,"Actinomyces ruminicola",Actinomyces,ruminicola,-
178,,"DSM 15434, CCUG 38702, CIP 106421",1,1,"Actinomyces urogenitalis",Actinomyces,urogenitalis,-
157,,"DSM 43327, ATCC 15987, CCUG 14476, NCTC 10951, WVU 745, NIH T-6, JCM 8353, CCUG 35450, CECT 488, CIP 103147, KCTC 15382, NBIMCC 71",1,1,"Actinomyces viscosus",Actinomyces,viscosus,-
7798,"UNCC 253","DSM 43031, ATCC 15330, CBS 189.64, IFO 12245, KCC A-0038, NBRC 12245, JCM 3038, BCRC 13631, HAMBI 1975, IFM 1138, IFM 1290, IMET 9034, IMSNU 20021, KCTC 9117, NCIMB 10172, NRRL B-3343, RIA 819, VKM Ac-648, VKM Ac-675",1,1,"Actinoplanes auranticolor",Actinoplanes,auranticolor,-
7799,"A/672, MB-T 20","DSM 43805, ATCC 25844, KCC A-0196, JCM 3196, BCRC 13340, IFM 1261, IFO 13938, IMSNU 20022, KCTC 9345, NBRC 13938, NCIMB 12642, NRRL B-16714, VKM Ac-1320",1,1,"Actinoplanes brasiliensis",Actinoplanes,brasiliensis,+
7801,"UNCC 65","DSM 43148, ATCC 15348, CBS 190.64, IFO 12511, KCC A-0059, NBRC 12511, JCM 3059, BCRC 12545, CECT 3287, IFM 0124, IFM 1239, IMET 9244, KCTC 9589, MTCC 1981, NCIMB 12889, NRRL B-3344, VKM Ac-1319",1,1,"Actinoplanes campanulatus",Actinoplanes,campanulatus,+
7830,LA97,"DSM 43942, ATCC 49799, IFO 14913, NBRC 14913, NCIMB 20027, JCM 7624, BCRC 16343, KCTC 9253, KCTC 9657, NRRL B-16688",1,1,"Actinoplanes consettensis",Actinoplanes,consettensis,+
7816,,"DSM 46137, IFO 14990, IMET 9243, INA 1569, JCM 9082, NBRC 14990, NCIMB 12736, VKM Ac-1095, BCC 49182, BCRC 16342, KCTC 9590, TBRC 174",1,1,"Actinoplanes cyaneus",Actinoplanes,cyaneus,+
7802,"A/10655, MB-T 21","DSM 43806, ATCC 21983, JCM 3247, KCC A-0247, BCRC 12107, CBS 597.74, CGMCC 4.2098, IFO 13994, IMET 9256, IMSNU 20026, KCTC 9532, MTCC 711, NBRC 13994, NCIMB 12643, NRRL B-16715",1,1,"Actinoplanes deccanensis",Actinoplanes,deccanensis,+
7831,"LA 107","DSM 43941, ATCC 49798, IFO 14935, NBRC 14935, NCIMB 12875, JCM 7556, IMSNU 20027, IMSNU 22122, KCTC 9254, NRRL B-16692",1,1,"Actinoplanes derwentensis",Actinoplanes,derwentensis,+
7832,"LA 139","DSM 43939, ATCC 49800, IFO 14914, NBRC 14914, NCIMB 20041, JCM 7625, IMSNU 22124, KCTC 9346, NRRL B-16689",1,1,"Actinoplanes durhamensis",Actinoplanes,durhamensis,+
7804,"MB-T 22, X-14695","DSM 43807, ATCC 29868, KCC A-0277, JCM 3277, BCC 49183, BCRC 13630, IFO 15555, IMET 9273, IMSNU 22125, KCTC 9255, MTCC 1418, NBRC 15555, NCIMB 12644, NRRL B-16718, TBRC 192",1,1,"Actinoplanes ferrugineus",Actinoplanes,ferrugineus,+
7833,"LA 6","DSM 43938, ATCC 49801, IFO 14915, NBRC 14915, NCIMB 20000, JCM 7555, BCRC 16344, IMSNU 20031, KCTC 9656, NRRL B-16690",1,1,"Actinoplanes humidus",Actinoplanes,humidus,+
7807,A-5221,"DSM 43146, ATCC 27366, KCC A-0165, JCM 3165, BCRC 12530, CCM 2739, CECT 3285, CGMCC 4.1065, IFM 1254, IFO 13911, IMET 9251, IMSNU 22126, KCTC 9534, MTCC 1412, NBIMCC 1475, NBRC 13911, NCIMB 12641, NRRL B-16722",1,1,"Actinoplanes italicus",Actinoplanes,italicus,+
7839,"A/6353, FH 2244","DSM 43865, ATCC 31048, BCRC 12121, CBS 355.75, IFO 13997, IMSNU 22127, JCM 3250, KCC A-0250, KCTC 9536, NBRC 13997, NCIMB 12636, NRRL B-16723, SANK 62178, CGMCC 4.5521",1,1,"Actinoplanes liguriensis",Actinoplanes,liguriensis,+
7808,"UNCC 72","DSM 43150, ATCC 15350, CBS 192.64, IFO 12513, KCC A-0061, NBRC 12513, JCM 3061, IFM 0126, IFM 1240, IMET 9246, IMSNU 22063, KCTC 9348, NCIMB 12888, NRRL B-3346, VKM Ac-676",1,1,"Actinoplanes lobatus",Actinoplanes,lobatus,-
7809,"UNCC 431","DSM 43046, ATCC 14538, CBS 188.64, IFO 13243, KCC A-0121, NBRC 13243, JCM 3121, BCRC 13335, CGMCC 4.1488, IFM 1250, IMET 9249, IMSNU 22051, KCTC 1780, NBIMCC 2232, NBRC 102363, NCIMB 12654, NRRL B-3342, VTT E-82151",1,1,"Actinoplanes missouriensis",Actinoplanes,missouriensis,+
7834,"LA 83","DSM 43940, ATCC 49797, BCC 55025, IFO 14916, NBRC 14916, NCIMB 20021, TBRC 2208, JCM 7626, BCRC 16347, IMSNU 20038, KCTC 9257, NRRL B-16691",1,1,"Actinoplanes palleronii",Actinoplanes,palleronii,+
7811,"LL 7-10 (IMRU 3919), MB-T 24","DSM 43808, ATCC 29234, BCC 60402, IFO 13941, IMRU 3919, KCC A-0194, NBRC 13941, TBRC 2207, JCM 3194, BCRC 13338, IFM 1260, IMET 9276, IMSNU 20041, KCTC 9540, NCIMB 12746, NRRL B-16090",1,1,"Actinoplanes rectilineatus",Actinoplanes,rectilineatus,+
7812,"UNCC 79","DSM 43151, CBS 193.64, IAM 14279, IFO 12514, IMET 9268, JCM 3062, KCC A-0062, NBRC 12514, RIA 821, BCC 49176, HAMBI 1928, IFM 1241, KCTC 9119, NCIMB 12730, NRRL B-3347, TBRC 168, VKM Ac-650",1,1,"Actinoplanes regularis",Actinoplanes,regularis,+
